Pennsylvania German	West Frisian	probability
b	b	1.0
d	d	0.618
d	t	0.227
d	-	0.096
f	f	0.697
f	p	0.2
h	h	1.0
j	j	0.605
j	n	0.198
j	ˈɛi̯	0.196
k	ɣ	0.356
k	k	0.335
k	χ	0.245
k	-	0.064
kʰ	k	0.741
kʰ	ʦ	0.238
l	l	0.986
m	m	0.905
m	-	0.095
n	n	0.934
n	-	0.058
p	f	0.789
p	t	0.11
p	p	0.09
p͡f	p	1.0
s	s	0.505
s	t	0.425
t	t	0.914
t	d	0.051
v	v	0.446
v	n	0.37
v	-	0.185
x	χ	0.649
x	k	0.351
ç	χ	0.555
ç	k	0.246
ç	ŋ	0.127
ç	-	0.073
ŋ	ŋ	0.948
ŋ	n	0.052
ɑ	r	0.494
ɑ	ə_r	0.316
ɑ	-	0.168
ə	ə	0.685
ə	-	0.315
ɡ	ɡ	0.851
ɡ	-	0.115
ɣ	-	0.375
ɣ	z	0.357
ɣ	n	0.139
ɣ	ɣ	0.128
ɪ	ə	0.451
ɪ	ɪ	0.315
ɪ	k_ə	0.233
ɾ	r	0.785
ɾ	-	0.1
ɾ	r_j	0.076
ʃ	s	0.584
ʃ	s_k	0.416
ʋ	ʋ	0.48
ʋ	v	0.364
ʋ	ˈuə̯	0.07
ʦ	t	0.715
ʦ	ʦ	0.205
ʦ	d	0.08
ˈa	ˈa	0.34
ˈa	ˈɔː	0.169
ˈa	ˈaː	0.136
ˈa	ˈoə̯	0.1
ˈa	ˈɛi̯	0.093
ˈa	ˈuə̯	0.055
ˈaɪ̯	ˈiː	0.209
ˈaɪ̯	ˈi	0.147
ˈaɪ̯	ˈɛ	0.132
ˈaɪ̯	ˈøə̯	0.118
ˈaɪ̯	ˈuː	0.112
ˈaɪ̯	j	0.082
ˈaɪ̯	ˈɪ	0.08
ˈaɪ̯	ˈyː	0.053
ˈaɪ̯	j_ˈuə̯	0.053
ˈaʊ̯	ˈuː	0.759
ˈaʊ̯	ˈɪə̯	0.124
ˈaʊ̯	ˈyː	0.117
ˈaː	ˈoə̯	0.506
ˈaː	ˈɪ	0.168
ˈaː	r	0.078
ˈaː	ˈɪə̯	0.073
ˈaː	ˈɛ	0.066
ˈaː	ˈa	0.058
ˈaː	ˈɛː	0.052
ˈeː	ˈiə̯	0.388
ˈeː	ˈeː	0.253
ˈeː	ˈɪə̯	0.097
ˈeː	ˈɛi̯	0.072
ˈiː	ˈiə̯	0.571
ˈiː	ˈɪə̯	0.17
ˈiː	ˈɵ	0.08
ˈiː	ˈɔu̯	0.06
ˈiː	j_ˈɪ	0.058
ˈoː	ˈɪə̯	0.309
ˈoː	ˈoə̯	0.248
ˈoː	ˈiə̯	0.209
ˈoː	ˈeː	0.071
ˈoː	ˈuː	0.069
ˈoː	ˈaː	0.052
ˈuː	ˈuə̯	0.75
ˈuː	ˈoː	0.25
ˈɔ	ˈɔ	0.649
ˈɔ	ˈɔu̯	0.116
ˈɔ	ˈaː	0.086
ˈɔ	ˈuː	0.083
ˈɔ	ˈu	0.067
ˈɔɪ̯	ˈaː	1.0
ˈɔː	ˈa	0.273
ˈɔː	ˈɪə̯	0.216
ˈɔː	ə	0.106
ˈɔː	ˈoə̯	0.067
ˈɔː	ˈɛː	0.067
ˈɔː	ˈɪ	0.067
ˈɔː	ˈaː	0.063
ˈɔː	ˈiə̯	0.055
ˈɔː	ˈɛ	0.054
ˈɛ	ˈɪ	0.398
ˈɛ	-	0.122
ˈɛ	ˈi	0.098
ˈɛ	ˈaː	0.093
ˈɛ	ˈɔ	0.081
ˈɛː	ˈɛ	0.333
ˈɛː	j_ˈɛ	0.198
ˈɛː	ˈø	0.154
ˈɛː	ˈɛː	0.154
ˈɛː	-	0.065
ˈɪ	ˈɪ	0.596
ˈɪ	ˈiː	0.147
ˈɪ	ˈi	0.064
ˈɪ	ˈɔ	0.063
ˈʊ	ˈɔ	0.294
ˈʊ	ˈu	0.203
ˈʊ	ˈuː	0.191
ˈʊ	ˈoː	0.101
ˈʊ	ˈy	0.101
