Pennsylvania German	West Frisian	probability
b	b	1.0
d	d	0.649
d	t	0.285
d	ʦ_j	0.048
d	-	0.036
d_ɑ	r	1.0
f	f	0.738
f	p	0.201
f	v_ə	0.057
h	h	1.0
j	j	0.549
j	n	0.181
j	ˈɛi̯	0.167
k	χ	0.36
k	k	0.34
k	-	0.155
k	ɣ	0.125
kʰ	k	0.778
kʰ	ʦ	0.217
l	l	0.932
l	l_j	0.041
l	n	0.032
l_t	t	1.0
m	m	1.0
n	n	0.856
n	-	0.108
p	f	0.496
p	-	0.278
p	p	0.16
p͡f	p	1.0
s	s	0.527
s	t	0.388
s	ɕ	0.045
s	z	0.039
t	t	0.723
t	-	0.258
v	v	0.478
v	n	0.346
v	-	0.173
x	χ	0.642
x	k	0.352
ç	χ	0.453
ç	-	0.214
ç	k	0.197
ç	ŋ	0.104
ŋ	ŋ	0.901
ŋ	n	0.091
ɑ	ə	0.448
ɑ	r	0.435
ɑ	-	0.107
ə	ə	0.703
ə	-	0.295
ɡ	ɡ	0.904
ɡ	-	0.096
ɣ	z	0.341
ɣ	-	0.196
ɣ	n	0.133
ɣ	ɣ	0.122
ɪ	ə	0.444
ɪ	ɪ	0.31
ɪ	k_ə	0.212
ɾ	r	0.823
ɾ	-	0.094
ɾ	z	0.042
ɾ	r_j	0.039
ɾ_ɪ	r	1.0
ʃ	s	0.652
ʃ	s_k	0.343
ʋ	ʋ	0.482
ʋ	v	0.368
ʋ	ˈø	0.053
ʋ	ˈuə̯	0.053
ʋ	-	0.047
ʦ	t	0.778
ʦ	ʦ	0.111
ʦ	d	0.111
ˈa	ˈa	0.373
ˈa	ˈaː	0.139
ˈa	ˈɔː	0.112
ˈa	ˈoə̯	0.097
ˈa	ˈɛi̯	0.083
ˈa_l	ˈɔː	1.0
ˈaɪ̯	ˈiː	0.233
ˈaɪ̯	ˈɛ_j	0.128
ˈaɪ̯	ˈi	0.128
ˈaɪ̯	ˈɪ	0.095
ˈaɪ̯	ˈuː	0.095
ˈaʊ̯	ˈuː	0.728
ˈaʊ̯	ˈyː	0.148
ˈaʊ̯	ˈɪə̯	0.109
ˈaː	ˈoə̯	0.29
ˈaː	r	0.153
ˈaː	ˈa	0.116
ˈaː	ˈɪə̯	0.11
ˈaː	ˈɪ	0.106
ˈeː	ˈiə̯	0.273
ˈeː	ˈeː	0.165
ˈeː	ˈɪə̯	0.122
ˈeː	ˈɛi̯	0.104
ˈeː	ˈiə̯_n	0.098
ˈiː	ˈiə̯	0.612
ˈiː	ˈɪə̯	0.172
ˈiː	ˈɵ	0.114
ˈiː	ˈɪ	0.086
ˈoː	ˈiə̯	0.261
ˈoː	ˈoə̯	0.261
ˈoː	ˈɪə̯	0.205
ˈoː	ˈeː	0.079
ˈoː	ˈuː	0.079
ˈoː_t	ˈɪə̯	0.501
ˈuː	ˈuə̯	0.775
ˈuː	ˈoː	0.208
ˈɔ	ˈɔ	0.771
ˈɔ	ˈɔu̯	0.139
ˈɔ	ˈu	0.078
ˈɔɪ̯	ˈaː	0.501
ˈɔː	ˈa	0.227
ˈɔː	ˈɪə̯	0.187
ˈɔː	ˈaː	0.142
ˈɔː	ˈiə̯	0.081
ˈɔː	ˈoə̯	0.079
ˈɛ	ˈɪ	0.193
ˈɛ	ˈaː	0.135
ˈɛ	-	0.135
ˈɛ	ˈɔ	0.117
ˈɛ	ˈa	0.066
ˈɛː	ˈɛ	0.224
ˈɛː	j_ˈɛ	0.195
ˈɛː	ˈø	0.129
ˈɛː	ˈɛː	0.129
ˈɛː	-	0.095
ˈɪ	ˈɪ	0.577
ˈɪ	ˈɔ	0.092
ˈɪ	ˈiː	0.09
ˈɪ	ˈi	0.063
ˈɪ	ˈɔː	0.045
ˈʊ	ˈuː	0.222
ˈʊ	ˈɔ	0.21
ˈʊ	ˈu	0.143
ˈʊ	ˈy	0.095
ˈʊ	ˈoː	0.072
