Jin	Jin	probability
⁵⁴	⁵	1.0
ʨ_j	k	1.0
ʨ	k	1.0
ʔ	ʔ	1.0
ʐ	nˡ	1.0
ɣ	-	1.0
ə_ʔ	ʔ	1.0
ə_w	a_w	1.0
³¹	³³	1.0
ỹ	-	1.0
v	m	1.0
t	t	1.0
pʰ͡x	p	1.0
p	p	1.0
o	a	1.0
n	nˡ	1.0
m	m	1.0
l	l̃	1.0
kʰ͡x	kʰ	1.0
k	k	1.0
h	h	1.0
a_w	o	1.0
⁵³	³³	0.84
s	s	0.778
ʦʰ	ʦʰ	0.727
ɥ	w	0.714
ɕ	s	0.667
²	²⁴	0.667
z̩	i	0.667
tʰ͡x	tʰ	0.667
æ̃	a_ŋ	0.636
x	h	0.636
w	w	0.636
ŋ	ŋ	0.615
ʦ	ʦ	0.6
ɤ	o	0.6
u	o_w	0.6
i	ɛ	0.6
<#_v	<#	0.6
⁴⁵	²¹³	0.571
ɒ̃	w_ŋ	0.571
ĩ	i	0.571
f	p	0.571
j	j	0.522
¹¹	⁵⁵	0.515
y	ɔ	0.5
y	-	0.5
ũ	ø	0.5
<#	<#_ʦ	0.5
<#	<#_ŋ	0.5
¹¹	⁵³	0.485
⁴⁵	²⁴²	0.429
ɒ̃	o_ŋ	0.429
ĩ	a	0.429
f	h	0.429
e	o_ŋ	0.429
ʦ	t	0.4
ɤ	-	0.4
u	u	0.4
i	ɛ_j	0.4
<#_v	<#_ŋ	0.4
x	-	0.364
a	a	0.348
ʨʰ	ʦ	0.333
ʨʰ	kʰ	0.333
ʨʰ	k	0.333
ə̃	ɛ	0.333
ə̃	w_o	0.333
ə̃	u	0.333
ɕ	-	0.333
²	⁵	0.333
z̩	j_e	0.333
tʰ͡x	tʰ_o	0.333
a	ɑ	0.304
ɥ	-	0.286
e	u	0.286
e	e_ŋ	0.286
ə	j	0.278
ʦʰ	t	0.273
w	-	0.273
ũ	ɔ	0.25
ũ	-	0.25
ŋ	ɥ_ŋ	0.231
ə	w	0.222
s	-	0.222
j	-	0.217
æ̃	ɑ_ŋ	0.182
æ̃	ŋ	0.182
j	ɥ	0.174
a	e	0.174
a	-	0.174
ə	o	0.167
⁵³	²⁴²	0.16
ə	ɥ	0.111
ə	ɔ	0.111
ə	a	0.111
w	e_w	0.091
j	ɛ	0.087
ŋ	u_ŋ	0.077
ŋ	j_ŋ	0.077
