Neapolitan	Neapolitan	probability
ˈɛ_#>	ˈeː_#>	1.0
ˈɔ_sː	ˈɛ_s	1.0
ˈu_kː	ˈɔ_l	1.0
ˈu_j	ˈoː	1.0
ˈi_ʎː	ˈi	1.0
ˈa_tː	ˈa_t	1.0
ˈa_t	ˈa	1.0
ˈa_p	ˈaː_f	1.0
ˈa_#>	ˈaː_#>	1.0
ʧː	-	1.0
ʦː	ʧ	1.0
ʦ	-	1.0
ʤː	-	1.0
ʎː	j	1.0
ɾ_n	r	1.0
ɲ	ɲ	1.0
ə_ɾ	a_r	1.0
ŋ	ŋ	1.0
z	s	1.0
w_ˈɔ	ˈuː	1.0
w_ə	e	1.0
v_ə_#>	f_#>	1.0
tː	t	1.0
t_ˈu	d_ˈu	1.0
t_ˈa	t_ˈaː	1.0
rː	-	1.0
r	r	1.0
o	-	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː_ə_#>	l_#>	1.0
l	l	1.0
kː_ə	c_e	1.0
k_ə_#>	#>	1.0
j_ə	i	1.0
fː	f	1.0
f	f	1.0
dː	t	1.0
d_ə	t	1.0
d	d	1.0
bː	b	1.0
b	b	1.0
a_s	i_s	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_v	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_ʤ	1.0
<#_a	<#	1.0
#>	s_#>	1.0
ə_#>	#>	0.983
s	s	0.905
p	p	0.903
j	j	0.867
<#_l	<#_l	0.833
a	a	0.824
v	v	0.815
ˈa	ˈa	0.806
ɲː	ɲ	0.778
ɾ	r	0.756
ʃː	s	0.714
ə	e	0.711
t	t	0.697
j_ˈɛ	ˈɛ	0.667
ˈi	ˈi	0.645
w	w	0.632
ˈi_ɾ	ˈe_r	0.6
ʤ	-	0.571
ɡ	ɡ	0.545
u	u	0.545
k	k	0.535
ˈe	ˈe	0.529
i	-	0.526
n	n	0.51
ˈo	ˈo	0.5
kː	l	0.5
kː	-	0.5
k_j	p_l	0.5
k_j	k_l	0.5
e	e	0.5
e	-	0.5
i	i	0.474
ʃ	ʧ	0.464
u	o	0.455
ˈɛ	ˈɛ	0.44
ʤ	ʤ	0.429
ʃ	s	0.429
ˈi_ɾ	ˈiː	0.4
k	c	0.395
ˈu	ˈo	0.382
n	ŋ	0.347
j_ˈɛ	ˈi	0.333
<#	<#_ʤ	0.333
<#	<#_v	0.333
<#	<#_j	0.333
ˈu	ˈu	0.324
ˈɛ	j_ˈɛ	0.32
t	d	0.303
ʃː	-	0.286
ˈe	ˈeː	0.235
ˈi	ˈe	0.226
ə	i	0.224
ɲː	-	0.222
ˈɔ	ˈɔ	0.214
w	-	0.211
ˈa	ˈaː	0.194
v	b	0.185
ɡ	k	0.182
ɡ	-	0.182
ˈɔ	ˈo	0.179
ˈu	ˈuː	0.176
a	-	0.176
ˈo	ˈɔ	0.167
ˈo	ˈoː	0.167
ˈo	-	0.167
<#_l	<#	0.167
ˈɛ	ˈiː	0.16
ɾ	d	0.133
j	-	0.133
ˈi	ˈiː	0.129
ˈu	ˈoː	0.118
ˈe	ˈɛ	0.118
ˈe	-	0.118
ɾ	-	0.111
ˈɔ	ˈa_w	0.107
ˈɔ	ˈa	0.107
ˈɔ	w_ˈɛ	0.107
ʃ	f_l	0.107
w	l	0.105
n	ɲ	0.102
p	v	0.097
s	z	0.095
ɡ	ɟ	0.091
ˈɛ	ˈi	0.08
ˈɔ	ˈuː	0.071
ˈɔ	ˈi	0.071
ˈɔ	w_ˈa	0.071
ˈɔ	-	0.071
k	ɡ	0.07
w	ˈɔː	0.053
