Aromanian	Aromanian	probability
ˈɨ	ˈa	1.0
ˈə	ˈi	1.0
ˈu_n	ˈɔ_n	1.0
ˈi_r	ˈi	1.0
ˈa_ʦ	dː	1.0
ˈa_v	ˈɔ	1.0
ʧ	ʃ	1.0
ʎ_#>	ʎː_ə_#>	1.0
ʃ_t	ʃː	1.0
ɨ	-	1.0
ɡ	ɡ	1.0
ŋ	-	1.0
ç	f	1.0
v	v	1.0
t_ˈi_k	ʦ	1.0
r_n	ɾ_n	1.0
r_k	r_k	1.0
r_i	ɾ_ə	1.0
r_#>	l_ə_#>	1.0
p_t	tː	1.0
p_l	k_j	1.0
n_ʦ	ŋ_k	1.0
l_#>	lː_ə_#>	1.0
k_ə	kː_ə	1.0
i_r	ə	1.0
i_n	ə_n	1.0
i_#>	#>	1.0
e	ə	1.0
a_ʤ	a_j	1.0
a_r	r	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_j	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ə	ə	0.955
#>	ə_#>	0.944
p	p	0.9
t	t	0.885
ˈa	ˈa	0.821
n	n	0.75
i	ə	0.745
k	k	0.737
ˈu	ˈu	0.731
f	f	0.714
a	-	0.714
ʦ	ʃ	0.706
s	s	0.684
ʎ	j	0.667
u	ə	0.667
d	d	0.643
ˈi	ˈi	0.625
w	v	0.6
l	w	0.6
b	v	0.556
r	ɾ	0.533
m	m	0.52
ʤ	ʤ	0.5
ʤ	-	0.5
ʣ	d	0.5
ʃ	s	0.5
ʃ	-	0.5
e̯ˈa	ˈe	0.5
j	v	0.462
b	b_w	0.444
w	-	0.4
l	-	0.4
j	j	0.385
<#	<#_w	0.375
<#	<#_a	0.375
o̯ˈa	ˈɔ	0.357
o̯ˈa	ˈo	0.357
d	ɾ	0.357
ˈe	j_ˈɛ	0.312
ˈo	w_ˈɔ	0.304
ɲ	m_j	0.286
ɲ	m	0.286
ɲ	-	0.286
f	-	0.286
a	a	0.286
ˈo	ˈɔ	0.261
ˈo	ˈu	0.261
ˈe	ˈɛ	0.25
ˈe	ˈi	0.25
ʣ	ʤ	0.25
ʣ	-	0.25
<#	<#_l	0.25
s	ʃ	0.211
m	mː	0.2
e̯ˈa	ˈɛ	0.2
e̯ˈa	ˈi	0.2
ˈu	ˈo	0.192
ˈe	ˈe	0.188
u	u	0.182
ˈa	ˈɛ	0.179
ʦ	-	0.176
ˈi	ˈɛ	0.167
ʎ	ʎː	0.167
ʎ	-	0.167
k	kː	0.158
r	-	0.156
j	ə	0.154
ɲ	ɲ	0.143
o̯ˈa	ˈu	0.143
o̯ˈa	-	0.143
ˈi	ˈe	0.125
m	-	0.12
ʦ	t	0.118
i	i	0.118
t	tː	0.115
r	r	0.111
s	ˈɔ_sː	0.105
k	p	0.105
p	-	0.1
e̯ˈa	ˈa	0.1
n	ɲː	0.094
n	nː	0.094
u	o	0.091
r	l	0.089
ˈo	ˈo	0.087
ˈo	w	0.087
ˈi	-	0.083
m	ɡ	0.08
m	n	0.08
ˈu	-	0.077
r	v	0.067
n	-	0.062
u	-	0.061
i	e	0.059
#>	sː_ə_#>	0.056
