Brazilian Portuguese	Romansch	probability
a	ə	1.0
d	d	1.0
f	f	1.0
h	r	1.0
p	p	1.0
ɦ	r	1.0
ʤ	d	1.0
ʧ	-	1.0
b	-	0.051
e	i	0.171
ɐ	n_ə	0.081
ɡ	ɡ	0.461
ʃ	s	0.831
ˈe	ˈi	0.071
ˈe	ˈa	0.141
ˈĩ	n	0.081
ˈo	ˈo	0.051
ˈu	ˈuː	0.081
ˈɐ̃	ˈa	0.571
t	-	0.062
u	ə_n	0.142
ɐ	ə	0.832
ʎ	l	0.362
ˈe	ˈa_j	0.122
ˈo	ˈa	0.2
ˈũ	ˈu	0.482
ˈɐ̃	ˈu	0.142
ˈɔ	ˈuː	0.312
ˈe	ˈɛ	0.193
ˈẽ	n	0.123
ˈẽ	ˈɛ	0.143
ˈẽ	ˈɛ_n	0.153
ˈo	ˈu	0.303
ˈɛ	ˈɛː	0.363
b	v	0.494
i	-	0.964
o	o	0.34
o	u	0.534
s	s	0.594
t	t_ə	0.224
u	i	0.414
v	v	0.994
w̃	w_n	0.554
ɡ	-	0.494
ˈu	ˈi	0.364
ˈɔ	ˈɔː	0.34
b	b	0.455
j̃	ɲ	0.105
j̃	n	0.895
k	k	0.265
k	ʨ	0.665
z	-	0.315
z	ʃ	0.685
ʒ	ʥ	0.405
ʒ	ʃ	0.595
ˈe	ˈe	0.25
ˈẽ	-	0.185
ˈĩ	ˈiː	0.345
ˈõ	ˈu	0.395
ˈõ	ˈu_n	0.605
ˈɐ̃	ˈɔ	0.255
ˈɛ	ˈɛ	0.5
j	ʨ	0.426
n	n	0.956
o	-	0.126
t	t	0.646
u	w	0.156
w	l	0.556
ˈi	ˈiː	0.636
ˈĩ	ˈi	0.356
ˈo	ˈuː	0.186
ˈɛ	j	0.06
j	-	0.417
l	-	0.077
l	l	0.87
m	m	0.957
w	w	0.407
w̃	n	0.347
ɐ	-	0.087
ɾ	-	0.167
ˈe	ˈeː	0.087
ˈẽ	ˈa_j	0.217
ˈi	ˈi	0.317
ˈu	ˈu	0.237
ˈɔ	ˈɔ	0.347
ˈɛ	ˈiə̯	0.077
s	ʧ	0.378
t	ʦ	0.068
u	-	0.288
ʎ	ʎ	0.638
ˈa	-	0.058
ˈa	l_ˈaː	0.088
ˈa	ˈa	0.378
ˈa	ˈaː	0.438
ˈĩ	ˈi_n	0.218
ˈo	ˈɔ	0.148
ˈu	ˈiː	0.318
ˈũ	ˈi	0.518
e	ə	0.829
j	j	0.119
k	-	0.069
w̃	-	0.099
ɾ	r	0.789
ʃ	ʃ	0.169
ˈe	ə	0.089
ˈẽ	ˈiː	0.179
ˈo	ˈɔː	0.09
