Gascon	Romansch	probability
a	ə	1.0
nː	m	1.0
p	p	1.0
y	i	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʤ	d	1.0
ʦ	ʃ	1.0
e	ə_r	0.331
h	f	0.91
r	-	0.081
t	ʨ	0.051
w	w	0.261
ð	-	0.151
ŋ	ŋ	0.151
ʃ	ʃ	0.311
ʎ	ʎ	0.931
ˈɛ	ˈɛ	0.411
j	e	0.262
t	t	0.752
ɔ	ə	0.892
ɣ	-	0.572
ˈe	ə	0.062
ˈi	ˈiː_n	0.062
ˈy	ˈu	0.432
β	v	0.862
w	f	0.193
z	s	0.113
ð	z	0.083
ˈi	ˈiː	0.473
ˈɔ	ˈu	0.103
ˈɛ	ˈeː	0.093
b	v	0.664
u	o	0.14
w	-	0.34
ŋ	w_n	0.284
ˈa	ˈɔ	0.204
ˈe	ˈe	0.094
ˈe	-	0.114
ˈe	ˈɛ	0.304
b	b	0.305
k	r_#>	0.105
k	ʨ	0.475
l	l_j	0.085
l	l	0.85
n	n_t	0.115
ɾ	-	0.125
ɾ	r	0.825
ʒ	ʥ	0.345
ʒ	ʃ	0.655
ˈa	ˈaː_r	0.175
ˈy	ˈiː	0.125
ˈy	ˈi	0.275
ˈɔ	ˈɛ	0.085
ˈɛ	ˈa	0.065
ˈɛ	ˈiə̯	0.135
e	i	0.176
e	ə	0.276
u	u	0.86
w	l	0.206
ð	d	0.766
ˈi	ˈi	0.356
ˈɔ	ˈɔ	0.266
ˈɔ	ˈɔː	0.546
ˈɛ	ˈɛː	0.296
e	r	0.187
m	m	0.977
n	n	0.797
s	ʧ	0.187
z	ʃ	0.887
ɔ	-	0.107
ˈa	-	0.077
ˈa	ˈaː	0.127
ˈe	ˈa_j	0.27
ˈu	ˈuː	0.237
ˈu	ˈu	0.737
j	-	0.738
k	k	0.238
n	n_ʨ	0.088
ŋ	n	0.528
ɣ	ɡ	0.428
ˈe	ˈeː	0.138
ˈi	ˈɛ	0.108
ˈy	ˈuː	0.08
β	w	0.138
d	d	0.959
h	f_j	0.09
k	l_#>	0.059
r	r_n	0.079
r	r	0.839
s	s	0.789
t	-	0.159
ʃ	s	0.689
ʎ	l	0.069
ˈa	ˈa	0.399
ˈy	ˈiː_r	0.089
