Lower Sorbian	Russian	probability
ˈɪ_z	ɪ_z	1.0
ˈɨ	ˈɨ	1.0
ˈɛ_s	ˈo_sʲ	1.0
ˈi	ˈi	1.0
ˈa_s	ˈe_sʲ	1.0
ʨ	tʲ	1.0
ʑ	dʲ	1.0
ʐ	ʐ	1.0
ɲ	nʲ	1.0
ɡ_ˈɛ	ɡ_ɐ	1.0
ɡ	ɡ	1.0
x	x	1.0
vʲ	vʲ	1.0
v	v	1.0
t	t	1.0
s_#>	s_#>	1.0
rʲ	rʲ	1.0
pʲ	pʲ	1.0
n	n	1.0
mʲ	mʲ	1.0
kʲ	kʲ	1.0
j	j	1.0
e	ɪ	1.0
d_w	ɫ	1.0
d	d	1.0
bʲ	bʲ	1.0
<#_ɕ	<#_tʲ	1.0
#>	j_#>	1.0
k	k	0.905
ɕ	tʲ	0.857
ɔ	ə	0.846
r	r	0.824
l	lʲ	0.765
p	p	0.75
m	m	0.75
ˈɪ	ˈe	0.714
ˈu	ˈu	0.714
w	ɫ	0.688
s	s	0.688
ɨ	ɨ	0.667
i	ɪ_j	0.667
a	ˈa	0.667
ˈɔ	ˈo	0.609
ɛ	ɪ	0.6
z	zʲ	0.571
ʦ	ʨ	0.556
ˈɛ	ˈo	0.5
ˈe	ɪ	0.5
ˈa	ˈa	0.5
ʂ	ʂ	0.5
ʂ	r	0.5
ʦ	ʦ	0.444
z	z	0.429
ɛ	ˈe	0.4
ˈe	ˈe	0.333
ˈa	ˈɵ	0.333
ɨ	j	0.333
i	ˈi	0.333
a	ə	0.333
s	sʲ	0.312
ˈɛ	ɐ	0.3
ˈu	ʊ	0.286
p	pʲ	0.25
m	mʲ	0.25
l	ɫ	0.235
ˈɔ	ɐ	0.217
ˈɛ	ˈe	0.2
w	ɫ_ɨ	0.188
r	ɐ_r	0.176
ˈe	ˈo	0.167
ˈa	ˈo	0.167
ɔ	ˈo	0.154
ˈɪ	ˈa	0.143
ˈɪ	ɪ	0.143
ɕ	rʲ	0.143
w	ˈo	0.125
k	x	0.095
ˈɔ	ˈɵ	0.087
ˈɔ	ə	0.087
