Afrikaans	Afrikaans	probability
χ_#>	#>	1.0
ˈɪø̯	-	1.0
ˈɛː	ˈeː	1.0
ˈəɪ̯_#>	#>	1.0
ˈɔː	-	1.0
ˈɑː_t	ˈɒː_d	1.0
ˈɑː_p	ˈɒː	1.0
ˈæː	-	1.0
ˈæ_ɫ	l	1.0
ˈæ	-	1.0
ˈoː	ˈyː	1.0
ˈi_χ	w	1.0
ɦ	h	1.0
ə_ŋ	n	1.0
ə_n	ə_n	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
w	-	1.0
s_k	ʃ	1.0
r_ˈœ	ʀ	1.0
p	p	1.0
m	m	1.0
i	ɛi̯	1.0
d_ə	ə	1.0
b	b	1.0
<#_ˈa	<#_ˈeː	1.0
<#_v	<#	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#	<#_ˈa	1.0
ɫ	l	0.932
v	v	0.926
k	k	0.923
d	d	0.9
ˈi	ˈiː	0.875
r	ʀ	0.869
<#_d	<#_t	0.818
s	s	0.81
t	t	0.769
ˈəɪ̯	ˈi	0.733
v̥	f	0.724
n	n	0.636
ə	ə	0.632
ˈœɪ̯	ˈʏ	0.6
ˈœu̯	-	0.6
ˈœ	-	0.6
ˈɔ	ˈʊ	0.5
j	j	0.5
j	dʲ	0.5
#>	ə_n_#>	0.5
#>	v_ə_#>	0.5
ˈɪə̯	-	0.45
ˈœɪ̯	-	0.4
ˈœu̯	ˈœ	0.4
ˈœ	ˈeː	0.4
ˈu	ˈœ	0.385
χ	ɡ	0.357
d̥	d̥	0.35
ˈɛ	ˈɒ	0.333
ˈɛ	ˈa	0.333
ˈɛ	-	0.333
χ	x	0.321
ˈʊə̯	ˈuː	0.32
ˈu	ˈɛ	0.308
ˈu	-	0.308
ˈɪə̯	ˈiː	0.3
n_d̥	nʲ	0.3
n_d̥	n_ə	0.3
ˈɑː	ˈɛi̯	0.294
ˈɑː	-	0.294
ˈə	ˈi	0.286
ˈə	ˈa	0.286
ˈəɪ̯	ˈiː	0.267
ə	i	0.263
ˈɔ	-	0.25
d̥	dʲ	0.25
d̥	-	0.25
χ	j	0.214
ˈa	ˈɒ	0.207
v̥	v̥	0.207
ˈʊə̯	ˈyː	0.2
n_d̥	z̥	0.2
n_d̥	n	0.2
ˈə	-	0.19
<#_d	<#_tʲ	0.182
t	tʲ	0.179
ˈɑː	ˈeː	0.176
ˈʊə̯	ˈɔ	0.16
n	nʲ	0.152
ˈɪə̯	ˈɛː	0.15
ˈɔ	ˈʏ	0.15
d̥	lʲ	0.15
ˈə	ˈʊ	0.143
ˈa	ˈœ	0.138
s	ʃ	0.138
ˈi	-	0.125
ˈɑː	ˈɔu̯	0.118
ˈɑː	j_ˈa	0.118
χ	ç	0.107
ə	ə_n	0.105
ˈa	ˈʊ	0.103
ˈa	ˈɔː	0.103
ˈa	ˈɒː	0.103
ˈa	ˈuː	0.103
ˈa	ˈa	0.103
ˈɪə̯	ˈɛː_d	0.1
ˈɔ	ˈɔː	0.1
d	-	0.1
ˈə	ˈai̯	0.095
n	n_ə	0.091
ˈʊə̯	ˈɔu̯	0.08
ˈʊə̯	ˈœː	0.08
ˈʊə̯	ˈiː	0.08
ˈʊə̯	-	0.08
k	-	0.077
v	f	0.074
ˈa	ˈɛi̯	0.069
ˈa	-	0.069
v̥	v	0.069
ɫ	lʲ	0.068
n	ˈi_n	0.061
n	-	0.061
s	z	0.052
t	z	0.051
