Insular North Frisian	Insular North Frisian	probability
ˈʏ_#>	ˈuː_#>	1.0
ˈɛː	ˈɛː	1.0
ˈœ_d_aɪ̯_n	eː	1.0
ˈøː	-	1.0
ˈiː_n	ˈeː	1.0
ˈaʊ̯	-	1.0
ˈaɪ̯	-	1.0
ʃ	s	1.0
ɪ	ɪ	1.0
z	-	1.0
x_t	d̥	1.0
v	ʋ	1.0
tʲ	-	1.0
t_#>	ʦ_#>	1.0
s_k_#>	ʃ_#>	1.0
s_k	ʃ	1.0
r	ɾ	1.0
n_ˈøː	n	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
lʲ	l_d̥	1.0
l_ə	l	1.0
kʰ	k	1.0
k_ˈɛ	ˈɪ	1.0
j	j	1.0
h	h	1.0
e	-	1.0
d_ˈiː	d_ˈiː	1.0
b	b	1.0
<#_ˈɔː	<#_ˈa	1.0
<#_j	<#	1.0
ɐ	ɑ	0.941
l	l	0.915
d	d	0.85
ɡ	ɡ	0.846
ŋ	ŋ	0.846
f	f	0.818
#>	ə_#>	0.806
ˈa	ˈa	0.769
ə	ə	0.647
ˈuː_ɐ	ˈaː	0.6
ˈyː	-	0.571
tʰ	ʦ	0.529
ɾ	d̥	0.522
s	s	0.521
ˈɪ	ˈɪ	0.5
ˈɔ	-	0.5
nʲ	n_ə	0.5
nʲ	n_d̥	0.5
s	ʃ	0.479
tʰ	d	0.471
ˈiː	ˈaɪ̯	0.467
ˈɔa̯	ˈoː	0.455
ˈoː	ˈɔː	0.444
ˈyː	ˈaɪ̯	0.429
x	x	0.429
ˈœ	-	0.4
ˈuː_ɐ	ˈa	0.4
p	f	0.4
ˈeː	-	0.389
ˈɔː	ˈɔː	0.385
ˈɔː	ˈa	0.385
t	t	0.378
t	s	0.378
ˈɪ	ˈaɪ̯	0.364
ç	ç	0.364
ç	-	0.364
ə	-	0.353
k	ç	0.353
k	k	0.353
ˈuː	ˈoː	0.333
ˈuː	ˈa	0.333
ˈuː	-	0.333
ˈoː	-	0.333
ˈʏ	ˈaʊ̯	0.316
ˈʏ	-	0.316
ˈɛ	ˈɛ	0.308
ɾ	d	0.304
k	x	0.294
x	-	0.286
ˈʊ	ˈʊ	0.278
ˈɔa̯	ˈa	0.273
ˈɔa̯	-	0.273
ç	k	0.273
ˈɛ	ˈɪ	0.269
ˈœ	ˈʊ	0.267
ˈiː	ˈeː	0.267
ˈiː	-	0.267
ˈɔ	ˈɔ	0.25
ˈɔ	ˈuː	0.25
ˈɔː	-	0.231
ˈa	-	0.231
ˈʊ	ˈɪ	0.222
ˈoː	ˈʊ	0.222
ˈeː	ˈeː	0.222
ˈʏ	ˈʊ	0.211
ˈœ	ˈa	0.2
p	ˈoː_f	0.2
p	f_ə	0.2
p	-	0.2
ˈɛ	ˈiː	0.192
f	b̥	0.182
ˈʊ	ˈuː	0.167
ˈʊ	ˈa	0.167
ˈʊ	-	0.167
ˈeː	ˈɛ	0.167
ˈʏ	ˈaɪ̯	0.158
ˈɛ	-	0.154
ɡ	-	0.154
ŋ	ç	0.154
d	s	0.15
x	ɡ̊	0.143
x	ɑ	0.143
ˈɪ	-	0.136
t	d̥	0.135
ˈœ	ˈuː	0.133
ˈeː	ˈɪ	0.111
ˈeː	ˈiː	0.111
#>	ɑ_#>	0.111
t	d	0.108
ɾ	d_ə	0.087
ɾ	-	0.087
l	ˈɔ_l	0.085
#>	ɡ̊_#>	0.083
ˈɛ	ˈaɪ̯	0.077
ɐ	ɾ	0.059
