Swabian	Bavarian	probability
a	n	0.622
a	a	0.268
a	-	0.108
b	b̥	0.901
b	p	0.054
b	-	0.048
b_a	m	0.486
b̥	p	1.0
b̥͡f	p͡f	1.0
d	d̥	0.69
d	t	0.307
e	ə	0.296
e	j	0.165
e	-	0.08
f	f	1.0
h	h	1.0
i	i	0.486
j	j	1.0
k	k	0.486
kʰ	kʰ	0.914
kʰ	-	0.072
l	l	0.472
l	j	0.403
l	i	0.043
l	ə	0.043
l	ˈo	0.036
m	m	1.0
n	n	0.921
n	-	0.05
n	m	0.038
p͡f	p͡f	0.66
p͡f	p	0.156
s	s	0.979
s	-	0.031
t	d̥	0.5
t	t	0.5
x	x	1.0
ç	ç	0.631
ç	x	0.354
ŋ	ŋ	1.0
ə	n	1.0
ɡ	ɡ̊	0.694
ɡ	ŋ	0.118
ɡ	-	0.109
ɡ	k	0.074
ɪ	ŋ	0.758
ɪ	i	0.087
ʁ	r	0.944
ʁ	-	0.056
ʃ	ʃ	0.885
ʃ	s	0.101
ʋ	ʋ	1.0
ʌ	a	0.871
ʌ	ɐ	0.126
ʕ	-	0.669
ʕ	r	0.326
ʕ_ʦ	ʦ	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.293
ˈa	ˈo	0.243
ˈa	ˈɒ	0.23
ˈa	ˈoɐ̯	0.093
ˈa	ˈoː	0.081
ˈae̯	ˈai̯	0.786
ˈae̯	ˈi	0.162
ˈao̯	ˈau̯	0.632
ˈao̯	ˈaː	0.161
ˈao̯	ˈou̯	0.107
ˈao̯	ˈa	0.08
ˈaː	ˈoː	0.278
ˈaː	ˈɔ	0.223
ˈaː	ˈɒː	0.169
ˈaː	ˈo	0.169
ˈaː	ˈa	0.118
ˈe	ˈi	0.603
ˈe	ˈe	0.272
ˈe	ˈɛ	0.084
ˈeə̯	ˈeɐ̯	0.361
ˈeə̯	ˈeː	0.361
ˈeə̯	ˈe	0.202
ˈeː	ˈeː	0.372
ˈeː	ˈi	0.324
ˈeː	ˈe	0.186
ˈeː	ˈɛː	0.084
ˈi	ˈi	0.7
ˈi	ˈu	0.101
ˈi	ˈiː	0.101
ˈi	ˈy	0.056
ˈi	ˈiɐ̯	0.045
ˈiə̯	ˈiɐ̯	0.752
ˈiə̯	ˈe	0.242
ˈiː	ˈiː	0.74
ˈiː	ˈu	0.133
ˈo	ˈu	0.435
ˈo	ˈo	0.435
ˈo	ˈɔ	0.129
ˈoː	ˈoː	0.284
ˈoː	ˈoɐ̯	0.223
ˈoː	ˈou̯	0.135
ˈoː	ˈaː	0.111
ˈoː	ˈɛ	0.111
ˈu	ˈu	0.761
ˈu	ˈuɐ̯	0.232
ˈuə̯	ˈuɐ̯	1.0
ˈɔ	ˈɔ	0.633
ˈɔ	ˈoɐ̯	0.229
ˈɔ	ˈaː	0.094
ˈɔe̯	ˈoɐ̯	0.896
ˈɔe̯	ˈai̯	0.093
ˈɔə̯	ˈeɐ̯	1.0
ˈɔː	ˈɒː	0.57
ˈɔː	ˈɔ	0.138
ˈɔː	ˈaː	0.125
ˈɔː	ˈoɐ̯	0.084
ˈəi̯	ˈai̯	0.922
ˈəi̯	ˈoɐ̯	0.074
ˈɛ	ˈɛ	0.38
ˈɛ	ˈe	0.367
ˈɛ	ˈɒ	0.09
ˈɛ	ˈi	0.065
ˈɛ	-	0.061
ˈɛː	ˈeː	0.413
ˈɛː	ˈɑː	0.219
ˈɛː	ˈɛ	0.219
ˈɛː	ˈɛː	0.094
ˈɪ	ˈi	0.684
ˈɪ	ˈʏ	0.291
ˈʌ	ɐ	0.486
