Swabian	Bavarian	probability
a	n	0.665
a	a	0.215
a	-	0.119
b	b̥	0.827
b	m	0.128
b̥͡f	p͡f	0.932
b̥͡f	p	0.068
d	d̥	0.755
d	t	0.236
e	ə	0.568
e	-	0.277
e	j	0.155
eə̯	eɐ̯	1.0
f	f	1.0
h	h	0.965
i	i	1.0
j	j	1.0
kʰ	kʰ	0.985
l	l	0.557
l	j	0.373
m	m	0.923
m	ə	0.068
n	n	0.962
p͡f	p͡f	1.0
s	s	0.988
t	d̥	0.5
t	t	0.5
x	x	1.0
ç	ç	0.651
ç	x	0.349
ŋ	ŋ	1.0
ɡ	ɡ̊	0.762
ɡ	ŋ	0.171
ɡ	k	0.054
ɪ	-	0.672
ɪ	i	0.328
ʁ	r	0.981
ʃ	ʃ	0.859
ʃ	s	0.141
ʋ	ʋ	1.0
ʌ	a	0.761
ʌ	ɐ	0.239
ʕ	-	0.665
ʕ	r	0.23
ʕ	s	0.105
ʣ	ʦ	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.328
ˈa	ˈo	0.253
ˈa	ˈɒ	0.169
ˈa	ˈe	0.088
ˈa	ˈoː	0.084
ˈa	ˈoɐ̯	0.051
ˈae̯	ˈai̯	0.81
ˈae̯	ˈeː	0.105
ˈao̯	ˈau̯	0.609
ˈao̯	ˈaː	0.247
ˈao̯	ˈa	0.067
ˈao̯	ˈou̯	0.052
ˈaː	ˈoː	0.38
ˈaː	ˈɔ	0.323
ˈaː	ˈo	0.119
ˈaː	ˈa	0.098
ˈaː	ˈɒː	0.08
ˈe	ˈi	0.901
ˈe	ˈɛ	0.06
ˈeə̯	ˈeɐ̯	0.663
ˈeə̯	ˈe	0.337
ˈeː	ˈeː	0.465
ˈeː	ˈi	0.343
ˈeː	ɐ	0.193
ˈi	ˈi	0.642
ˈi	ˈu	0.109
ˈi	ˈeɐ̯	0.109
ˈi	ˈiɐ̯	0.077
ˈi	ˈiː	0.054
ˈiə̯	ˈiɐ̯	0.837
ˈiə̯	ˈe	0.163
ˈiː	ˈiː	0.685
ˈiː	ˈeː	0.183
ˈiː	ˈu	0.133
ˈo	ˈu	0.541
ˈo	ˈo	0.315
ˈo	ˈɔ	0.143
ˈoː	ˈoː	0.312
ˈoː	ˈou̯	0.214
ˈoː	ˈaː	0.188
ˈoː	ˈoɐ̯	0.168
ˈoː	ˈɛ	0.118
ˈu	ˈu	0.722
ˈu	ˈuɐ̯	0.176
ˈu	ˈaː	0.102
ˈuə̯	ˈuɐ̯	1.0
ˈuː	ˈuɐ̯	0.861
ˈuː	ˈu	0.139
ˈɔ	ˈo	0.427
ˈɔ	ˈɔ	0.333
ˈɔ	ˈoɐ̯	0.203
ˈɔe̯	ˈoɐ̯	0.883
ˈɔe̯	ˈai̯	0.117
ˈɔə̯	ˈeɐ̯	1.0
ˈɔː	ˈaː	0.402
ˈɔː	ˈɒː	0.393
ˈɔː	ˈoɐ̯	0.151
ˈɔː	ˈɔ	0.054
ˈəi̯	ˈai̯	0.948
ˈəi̯	ˈoɐ̯	0.052
ˈɛ	ˈe	0.379
ˈɛ	ˈɛ	0.359
ˈɛ	ˈʏ	0.068
ˈɛ	ˈi	0.068
ˈɛ	ˈɒ	0.066
ˈɛ	ˈo	0.06
ˈɛː	ˈeː	0.472
ˈɛː	ˈɛː	0.231
ˈɛː	ˈɑː	0.148
ˈɛː	ˈɛ	0.148
ˈɪ	ˈi	0.813
ˈɪ	ˈʏ	0.187
ˈʌ	ɐ	1.0
