East Frisian Low Saxon	East Frisian Low Saxon	probability
χ_t	tː	1.0
χ	-	1.0
ˈʊə̯	ˈʉ	1.0
ˈʊ	ˈʉ	1.0
ˈɪə̯	-	1.0
ˈɛːɪ̯	-	1.0
ˈɛə̯	ˈyːœ̯	1.0
ˈɔː	ˈɔː	1.0
ˈɔ	-	1.0
ˈɒːɒ̯	-	1.0
ˈɑːʊ̯	-	1.0
ˈɑɪ̯	-	1.0
ˈɑ_l	ˈɔː	1.0
ˈœy̯	ˈyːœ̯	1.0
ˈœ	-	1.0
ˈøː_ɐ	r	1.0
ˈøy̯	ˈyːœ̯	1.0
ˈæːɪ̯	-	1.0
ˈyːʏ̯	ˈʉːə̯	1.0
ˈyː	ˈʏ	1.0
ˈuːu̯	-	1.0
ˈoːo̯	-	1.0
ˈoː_ɐ	ˈʉə̯	1.0
ˈiːi̯	ˈɪː	1.0
ʊ	ˈʉ̃ːə̯	1.0
ɫ	ɣ_ɛ	1.0
ɡ̊	ɡ	1.0
ɡ_n	ɑ	1.0
ə	-	1.0
ɑɪ̯	ɔ̃	1.0
ɐ_n	a	1.0
ɐ_#>	#>	1.0
ŋ_k	kː	1.0
ŋ	ŋ_ɡ	1.0
z̥_#>	s_#>	1.0
w	w	1.0
v̥	v	1.0
v_ˈæɪ̯	w	1.0
t_v	tʰ	1.0
r	r	1.0
o	ˈo	1.0
n_n	nː_ɑ	1.0
n_#>	#>	1.0
l_#>	ɽ_#>	1.0
h_ˈoː	ˈoː	1.0
d̥	ð	1.0
d_n	ð_ɑ	1.0
b	b	1.0
<#_ˈɑː	<#_ˈɑ	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ɽ	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
<#	<#_j	1.0
s	s	0.906
f	f	0.895
z	s	0.85
ˈɑʊ̯	ˈʉːə̯	0.8
d	tʰ	0.786
t	t	0.762
m	m	0.762
ˈuː	ˈɑːu̯	0.75
ɣ̊	ɣ	0.75
ɐ	r	0.711
ˈʏ	-	0.667
ˈøːø̯	-	0.667
p	p	0.667
ˈɪ	ˈɪ	0.64
ˈiː	ˈɑːi̯	0.6
v	w	0.579
d̥_#>	d_#>	0.571
ɣ̊_#>	ɣ_#>	0.556
ˈoː	-	0.545
ˈʏə̯	ˈʏ	0.5
ˈʏə̯	-	0.5
ˈɒː	-	0.5
ˈɑːɑ̯	ˈɔ	0.5
ˈɑːɑ̯	ˈɑ	0.5
ˈøː	ˈʉː	0.5
ˈeːe̯	ð_ɛ	0.5
ˈeːe̯	-	0.5
ˈeː	-	0.5
k	k	0.484
ˈoː	ˈœː	0.455
ɣ̊_#>	#>	0.444
n	n	0.438
ˈɑː	ˈɑ	0.429
ˈæɪ̯	ˈiːe̯	0.429
d̥_#>	#>	0.429
#>	ɑ_#>	0.417
ˈɑ	-	0.4
ɡ	ʥ	0.375
ɡ	ɣ	0.375
l	ɽ	0.37
ˈɒː	ˈɑː	0.357
ˈʏ	j	0.333
ˈɛ	ˈɛ	0.333
ˈɛ	j	0.333
ˈɛ	-	0.333
ˈɑ	ˈɑ	0.333
ˈøːø̯	rː	0.333
k	ʨ	0.323
#>	r_#>	0.306
ˈiː	ˈɪː	0.3
ˈeː	ˈæ	0.3
n	ɑ	0.297
ˈɑː	ˈæ	0.286
ˈɑː	-	0.286
ˈæɪ̯	j_ˈʉːə̯	0.286
ˈɑ	ˈɑː	0.267
ˈøː	ˈœː	0.25
ˈøː	-	0.25
ˈuː	ˈʉː	0.25
ɣ̊	ʥː	0.25
ɡ	ɣ_ɛ	0.25
d	-	0.214
v	-	0.211
ˈɑʊ̯	-	0.2
ˈeː	ˈʉːə̯	0.2
l	lː	0.185
p	pː	0.167
p	pʰ	0.167
ɐ	ɛ	0.158
v	w_ˈɛː	0.158
z	s_j	0.15
l	l	0.148
ˈɒː	ˈɔ	0.143
ˈæɪ̯	ˈʉːə̯	0.143
ˈæɪ̯	ˈɛ	0.143
m	-	0.143
ˈɪ	ˈɪː	0.12
ˈɪ	j	0.12
t	tː	0.119
t	-	0.119
l	ˈɔː	0.111
l	-	0.111
f	v	0.105
ˈiː	ˈɪ̃ː	0.1
k	kː	0.097
k	-	0.097
m	mː	0.095
n	ɔ	0.094
n	nː	0.094
#>	ʉ_#>	0.083
#>	ð_#>	0.083
ˈɪ	-	0.08
ɐ	-	0.079
l	ˈʉːə̯	0.074
s	ˈɛ_s	0.062
#>	ɽ_#>	0.056
#>	v_#>	0.056
ɐ	d_ɛ	0.053
v	ʏ	0.053
