Standard German	Limburgish	probability
ˈɛː	-	1.0
ˈyː	ˈøː	1.0
ˈa_l	ˈaː	1.0
ʦ	t	1.0
ʃ_t	s_t	1.0
ɪ_ç	ə_ɣ̊	1.0
ɪ	ɪ	1.0
ɡ̊	ɣ̊	1.0
ɡ_ə	ɣ̊	1.0
ə_n	ə	1.0
ɐ_t	ʀ_d̥	1.0
ɐ_n	ʀ_ə	1.0
ç_t	x	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
tʰ	d	1.0
t_n	j_ə	1.0
s_t	s	1.0
s	t	1.0
p͡f	p	1.0
n_ɐ	n_ə	1.0
m	m	1.0
kʰ	k	1.0
k_s	s	1.0
k_n	k_ə	1.0
j	j	1.0
h	ɦ	1.0
f_ʁ	v_ʀ	1.0
f_n	p_ə	1.0
eː	i	1.0
d̥	d̥	1.0
d_ɐ	ʀ	1.0
b̥	v̥	1.0
b_n	v_ə	1.0
a	-	1.0
ʁ	ʀ	0.945
l	l	0.919
d	d	0.907
v	β	0.87
b	b	0.853
ɡ	ɣ	0.844
ˈʊ	ˈʊː	0.766
ˈiː	ˈeː	0.751
n	n	0.713
f	v	0.698
ç	k	0.637
ə	-	0.634
ŋ	ŋ	0.632
ˈʏ	-	0.624
k	k	0.583
x	x	0.568
ˈøː	-	0.562
ˈɪ	ˈɪː	0.537
ɐ	ʀ	0.513
ˈɔʏ̯	ˈœi̯	0.505
t	d̥	0.502
ˈɔʏ̯	-	0.495
ˈaː	ˈɒː	0.476
ʃ	s	0.476
ˈeː	ˈeː	0.471
ˈaɪ̯	ˈɛː	0.45
ˈøː	ˈyː	0.438
ˈoː	-	0.438
x	k	0.432
ˈuː	ˈʊː	0.43
ˈa	ˈaː	0.418
k	-	0.417
ˈɔ	ˈɔ	0.414
ˈeː	ˈi	0.392
ˈaʊ̯	ˈuː	0.392
ˈaɪ̯	ˈiː	0.384
ˈʏ	ˈœ	0.376
ŋ	ŋ_k	0.368
ʃ	ʃ	0.361
ˈuː	-	0.355
ˈoː	ˈu	0.341
ɐ	ʀ_ə	0.315
ˈa	ˈɑ	0.306
ˈaʊ̯	ˈɔu̯	0.273
ˈɛ	ˈɪ	0.265
n	ə	0.256
f	p	0.255
ˈaʊ̯	ˈɔː	0.252
ˈiː	-	0.249
t	t	0.248
ˈɔ	ˈɔː	0.228
ˈɔ	ˈʊː	0.226
ˈoː	ˈoː	0.222
ˈaː	ˈaː	0.222
ˈuː	ˈoː	0.215
ə	ə	0.205
ˈa	ˈɑː	0.203
ˈɛ	ˈæː	0.202
ç	ŋ	0.182
ç	x	0.182
ˈaː	-	0.176
ɐ	ə_ʀ	0.172
ʃ	z	0.163
ə	ˈɛ_j	0.161
t	-	0.159
ɡ	-	0.156
ˈɛ	-	0.15
ˈɛ	ˈeː	0.147
ˈɛ	ˈɑ	0.14
ˈeː	-	0.137
ˈɪ	ˈeː	0.136
ˈɔ	-	0.133
ˈaː	ˈɑː	0.126
ˈɪ	ˈɛː	0.112
ˈaɪ̯	-	0.104
ˈɛ	ˈɛ	0.095
d	-	0.093
t	j_ə	0.091
ˈɪ	ˈi	0.087
b	v_ə	0.085
ˈɪ	ˈɛ	0.082
ˈaʊ̯	-	0.082
ˈʊ	ˈɔ	0.081
ˈʊ	ˈœː	0.081
ˈʊ	ˈʊ	0.072
v	β_ˈɪː	0.065
v	-	0.065
ˈaɪ̯	ˈi	0.062
b	-	0.061
ʁ	-	0.055
