Romanian	Lombard	probability
a	a	0.511
a	ˈa	0.387
a	e	0.102
b	b	0.601
b	-	0.22
b	m	0.056
d	d	0.716
d	-	0.175
d	t	0.109
e	-	0.682
e	a	0.176
e	e	0.109
e̯ˈa	ˈe_j	0.518
e̯ˈa	ˈe	0.415
f	f	0.901
f	b	0.099
i	ĩ	0.305
i	-	0.188
i	ã	0.188
i	ˈɛ	0.117
i	e	0.08
i	i	0.054
j	-	0.737
j	j	0.092
k	k	0.67
k	ʧ	0.131
k	-	0.073
k	ɡ	0.064
kʲ	ʧ	1.0
l	l	0.848
l	j	0.109
m	m	0.699
m	ɲ	0.168
m	-	0.133
n	n	0.454
n	-	0.448
n	ɲ	0.083
o	u	0.598
o	e	0.289
o	ʋ	0.114
o̯ˈa	ˈɔ	0.391
o̯ˈa	ˈa	0.184
o̯ˈa	ˈø	0.171
o̯ˈa	ˈyː	0.147
o̯ˈa	ˈu	0.07
p	p	0.503
p	-	0.339
p	f	0.089
p	k_w	0.069
r	r	0.445
r	-	0.43
r	l	0.125
s	s	0.754
s	-	0.178
t	t	0.603
t	-	0.159
t	d	0.157
u	u	0.39
u	-	0.202
u	e	0.161
u	ˈɔ	0.081
v	ʋ	0.93
v	v	0.07
w	-	0.545
w	f	0.41
z	d	0.362
z	ɡ	0.262
z	w	0.15
z	ʦ	0.15
z	-	0.076
ŋ	ˈũː	0.824
ŋ	ʤ	0.176
ə	a	0.662
ə	-	0.229
ɡ	ɡ	0.748
ɡ	ʤ	0.23
ɨ	-	0.677
ɨ	ˈãː	0.215
ɨ	ã	0.107
ʃ	s	0.928
ʃ	ʃ	0.072
ʒ	ʤ	0.729
ʒ	d	0.271
ʤ	ʤ	0.671
ʤ	k	0.138
ʤ	ʦ	0.138
ʤ	-	0.053
ʦ	t	0.27
ʦ	-	0.192
ʦ	z	0.19
ʦ	d	0.185
ʦ	ʦ	0.109
ʦ	s	0.054
ʧ	ʧ	0.346
ʧ	-	0.235
ʧ	s	0.152
ʧ	ʦ	0.146
ʧ	k	0.073
ʧʲ	t	0.867
ʧʲ	k	0.133
ˈa	ˈa	0.413
ˈa	ˈɛ	0.307
ˈa	ˈaː	0.065
ˈa	ˈy	0.054
ˈe	ˈɛ	0.44
ˈe	ˈe	0.305
ˈe	-	0.065
ˈe	ˈeː	0.061
ˈe	ˈa	0.053
ˈi	ˈi	0.264
ˈi	-	0.194
ˈi	ˈẽː	0.133
ˈi	ˈe	0.078
ˈi	ʋ	0.062
ˈi	ˈeː	0.062
ˈi	j	0.061
ˈi	ˈɛ̃ː	0.061
ˈi	ˈɛ	0.06
ˈo	ˈɔ	0.28
ˈo	-	0.205
ˈo	ˈøː	0.161
ˈo	ˈø	0.122
ˈo	ˈyː	0.096
ˈo	ˈu	0.081
ˈu	ˈu	0.196
ˈu	ˈy	0.164
ˈu	ˈø	0.144
ˈu	ˈyː	0.126
ˈu	ˈo	0.111
ˈu	-	0.099
ˈu	ˈɔ	0.082
ˈə	ˈe	0.669
ˈə	a	0.331
ˈɨ	ˈẽː	0.394
ˈɨ	ˈa	0.268
ˈɨ	ˈãː	0.205
ˈɨ	ˈe	0.133
