Scots	Nynorsk Norwegian	probability
b	b	1.0
d	d	0.638
d	-	0.271
d	lː	0.047
d	tʰ	0.041
e	-	0.561
e	j	0.425
f	f	0.795
f	ʋ	0.202
h	h	0.947
h	-	0.054
i	e	0.479
j	ˈoː	0.289
j	-	0.144
j	ɡ	0.144
j	ˈyː	0.138
j	j	0.138
k	k	0.649
k	ʰkː	0.121
k	ç	0.091
k	kʰ	0.088
kʰ	kʰ	1.0
l	l	0.814
l	ɡ_l	0.052
l	j	0.037
l	e_l	0.037
l	-	0.036
m	m	0.763
m	m_j	0.115
m	mː	0.066
m	ʃ	0.055
n	n	0.719
n	-	0.164
n	nː	0.084
n	ŋ	0.03
n_d	nː	1.0
p	p	0.922
p	-	0.056
pʰ	pʰ	1.0
r	ɾ	0.896
r	-	0.082
r_d	ɾ	1.0
s	s	0.867
s	ʃ	0.075
s	sː	0.037
s	-	0.029
s_w	s	1.0
t	t	0.849
t	-	0.061
t	s	0.046
t	çː	0.042
tʰ	tʰ	0.882
tʰ	ç	0.1
v	ʋ	0.583
v	m	0.229
v	-	0.144
w	ʋ	0.588
w	ˈuː	0.204
w	-	0.128
w	v	0.048
w	ˈɔ	0.038
w_ˈɔ	ˈʉ	1.0
x	-	0.517
x	k	0.297
x	ɡ	0.106
x_t	ʰtː	1.0
z	s	1.0
ç	ɡ	1.0
ð	-	0.457
ð	d	0.389
ð	nː	0.064
ŋ	ŋː	0.703
ŋ	ɲ	0.164
ŋ	ŋ	0.108
ŋ_k	ʰkː	0.479
ə	e	0.38
ə	-	0.206
ə	ɾ_e	0.101
ə	ɑ	0.088
ə	ɛ	0.055
əi̯	e	0.644
əi̯	ɑ	0.234
ɡ	ɡ	0.545
ɡ	ɡː	0.213
ɡ	j	0.119
ɡ	-	0.087
ɪ	-	0.594
ɪ	ɪ	0.392
ɫ	l	0.784
ɫ	lː	0.119
ɹ	ɾ	1.0
ʃ	s_k	0.519
ʃ	ʃ	0.441
ʍ	kʰ	0.479
ʧ	ç	0.5
ʧ	k	0.5
ˈa	ˈɔ	1.0
ˈaːɪ̯	ˈɛ	0.574
ˈaːɪ̯	ˈʉː	0.275
ˈe	ˈæɪ̯	0.292
ˈe	ˈɑː	0.162
ˈe	ˈyː	0.157
ˈe	ˈɛ	0.091
ˈe	ˈɑ	0.091
ˈei̯	-	0.185
ˈei̯	ˈoː	0.145
ˈei̯	ˈæʉ̯	0.127
ˈei̯	ˈœʏ̯	0.096
ˈei̯	ˈyː	0.077
ˈei̯_d	ˈæʉ̯	1.0
ˈeː	ˈɑː	0.335
ˈeː	ˈoː	0.221
ˈeː	ˈæɪ̯	0.063
ˈi	ˈøː	0.204
ˈi	ˈʏ	0.188
ˈi	ˈæʉ̯	0.188
ˈi	ˈeː	0.121
ˈiː	ˈeː	0.274
ˈiː	ˈøː	0.161
ˈiː	ˈyː	0.11
ˈiː	ˈoː	0.066
ˈiː	ˈiː	0.066
ˈoe̯	ˈɛ	1.0
ˈø	ˈuː	0.543
ˈø	ˈoː	0.35
ˈø	ˈɑ	0.076
ˈø_d	ˈuː	1.0
ˈɑ	ˈɑ	0.602
ˈɑ	ˈæɪ̯	0.096
ˈɑ	ˈɑː	0.091
ˈɑ	ˈɛ	0.091
ˈɑ	ˈoː	0.07
ˈɑː	ˈɑ	0.403
ˈɑː	ˈɑ_l	0.141
ˈɑː	-	0.085
ˈɑː	ˈoː	0.085
ˈɑː	ˈeː	0.085
ˈɔ	ˈɔ	0.315
ˈɔ	ˈʊ	0.239
ˈɔ	ˈʏ	0.102
ˈɔ	-	0.102
ˈɔ	ˈuː	0.102
ˈəi̯	ˈiː	0.662
ˈəi̯	-	0.108
ˈəi̯	ˈɪ	0.082
ˈəi̯	ˈyː	0.076
ˈəi̯	ˈeː	0.056
ˈɛ	ˈʉː	0.251
ˈɛ	ˈɑ	0.18
ˈɛ	ˈɑː	0.116
ˈɛ	ˈiː	0.076
ˈɛ	ˈɛ	0.062
ˈɪ	ˈɪ	0.237
ˈɪ	ˈiː	0.163
ˈɪ	ˈʏ	0.147
ˈɪ	ˈuː	0.129
ˈɪ	ˈʊ	0.059
ˈɪ_ð	ˈuː	1.0
ˈʉ	ˈʉː	0.547
ˈʉ	ˈʊ	0.156
ˈʉ	ˈʉ	0.121
ˈʉ	-	0.105
ˈʌ	ˈɔ	0.392
ˈʌ	ˈʉ	0.392
ˈʌ	ˈæ	0.119
ˈʌʉ̯	ˈoː	0.248
ˈʌʉ̯	ˈʉ	0.216
ˈʌʉ̯	ˈiː	0.216
θ	tʰ	0.465
θ	ç	0.217
θ	-	0.109
θ	nː	0.083
θ	d	0.072
