Megleno-Romanian	Megleno-Romanian	probability
ˈɔ	ˈa	1.0
ʦ_i	dː	1.0
ʤ	ɟ_u	1.0
ʒ	ɟ	1.0
ʃ_ˈa	s_ˈe	1.0
ʃ_t	ʃː	1.0
ʃ_k	ʒ	1.0
ɲ	-	1.0
ɡ	ɡ	1.0
w_ˈo	ˈo	1.0
v	v	1.0
r_ˈa	r_a	1.0
r_#>	l_u_#>	1.0
p_ˈe	p_ˈɛ	1.0
p_t	tː	1.0
p_#>	p_u_#>	1.0
p	p	1.0
n_ə	n_u	1.0
kʲ	p	1.0
k_ʎ	c	1.0
j_n	n	1.0
j	ʤ	1.0
i_#>	#>	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_t	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#	1.0
<#	<#_f	1.0
m	m	0.882
#>	u_#>	0.8
ə	a	0.781
s	s	0.765
o̯ˈa	ˈɔ	0.75
t	t	0.733
r	r	0.725
ˈa	ˈa	0.72
e̯ˈa	ˈɛ	0.714
n	n	0.692
u	u	0.688
ˈu	ˈɔ	0.667
ʎ	ʎ	0.667
k	k	0.667
w	v	0.6
ˈe	ˈɛ	0.583
i	e	0.576
ˈi	ˈi	0.529
l	lː	0.5
ˈi	ˈɛ	0.471
ʦ	ʧ	0.455
ˈo	ˈɔ	0.429
z	ɟ	0.429
z	-	0.429
ˈe	ˈe	0.417
w	j	0.4
ˈu	ˈu	0.333
ʎ	-	0.333
e̯ˈa	-	0.286
ʦ	k	0.273
o̯ˈa	ˈo	0.25
l	l	0.25
l	j	0.25
ˈo	ˈu	0.214
ˈo	ˈo	0.214
i	-	0.212
ˈa	ˈɛ	0.2
u	o	0.188
ʦ	t	0.182
k	kː	0.167
k	-	0.167
ə	e	0.156
n	-	0.154
i	i	0.152
ˈo	-	0.143
z	ʣ	0.143
t	tː	0.133
t	-	0.133
u	-	0.125
s	z	0.118
s	-	0.118
m	ɡ	0.118
n	ŋ	0.115
#>	e_#>	0.1
#>	a_#>	0.1
ʦ	ʧː	0.091
ˈa	ˈe	0.08
r	-	0.075
ə	-	0.062
i	a	0.061
