Occitan	Aromanian	probability
a	ə	0.351
a	a	0.182
a	-	0.119
a	i	0.076
a	ɨ	0.074
a	ˈa	0.073
a	e	0.051
b	b	0.672
b	ɡ	0.283
d	ʣ	0.545
d	d	0.324
d	-	0.123
e	i	0.678
e	u	0.091
e	a	0.066
e	-	0.054
f	f	0.566
f	ç	0.35
f	-	0.083
i	i	0.413
i	j	0.276
i	ˈi	0.222
i	-	0.089
j	i	0.358
j	-	0.283
j	e̯ˈa	0.177
j	p	0.077
j	t	0.068
k	k	0.842
k	ʦ	0.064
l	l	0.467
l	ʎ	0.262
l	r	0.124
l	-	0.11
m	m	0.671
m	ɲ	0.275
n	n	0.768
n	-	0.099
n	m_t	0.058
p	p	0.496
p	k	0.308
p	ɲ	0.087
p	t	0.069
r	r	0.854
r	r_n	0.13
s	s	0.444
s	ʦ	0.164
s	-	0.136
s	ʃ_t	0.102
s	ʃ	0.097
t	t	0.72
t	ʦ	0.131
t	-	0.089
u	u	0.521
u	-	0.228
u	ˈo	0.1
u	i	0.064
u	ɨ	0.057
v	j	0.533
v	v	0.38
v	-	0.068
w	w	0.239
w	v	0.234
w	-	0.192
w	ˈo	0.091
w	l	0.08
w	j	0.07
w	i	0.064
y	u	1.0
z	ʦ	0.237
z	k	0.232
z	s	0.212
z	d	0.136
z	-	0.13
z	t	0.052
ð	t	0.861
ð	ʦ	0.139
ŋ	n	0.334
ŋ	ŋ	0.305
ŋ	-	0.254
ŋ	m	0.108
ɔ	ə	0.768
ɔ	i	0.133
ɔ	-	0.082
ɡ	ɡ	0.569
ɡ	-	0.356
ɡ	b	0.075
ɣ	k	0.72
ɣ	ɡ	0.215
ɣ	-	0.065
ɥ	o̯ˈa	0.498
ɥ	ˈo	0.31
ɥ	ˈɨ	0.146
ɲ	ɲ	0.508
ɲ	m	0.278
ɲ	n	0.214
ɾ	r	0.905
ɾ	-	0.09
ʎ	ʎ	0.39
ʎ	n	0.195
ʎ	-	0.138
ʎ	j	0.138
ʎ	ʣ	0.138
ʒ	ʤ	0.594
ʒ	ʣ	0.259
ʒ	ɡ	0.089
ʤ	k	0.891
ʤ	ʃ	0.058
ʤ	ʣ	0.051
ʦ	ʦ_i	0.752
ʦ	k	0.148
ʦ	ʦ	0.1
ʧ	p_t	0.486
ʧ	t_i	0.32
ʧ	t	0.099
ʧ	ʣ	0.068
ˈa	ˈa	0.579
ˈa	ˈɨ	0.217
ˈe	e̯ˈa	0.445
ˈe	ˈi	0.264
ˈe	ˈe	0.152
ˈe	-	0.063
ˈi	ˈi	0.61
ˈi	ˈi_r	0.109
ˈi	ˈu	0.07
ˈi	ˈə	0.062
ˈi	ʣ_ˈi	0.056
ˈu	ˈu	0.65
ˈu	o̯ˈa	0.126
ˈu	ˈo	0.1
ˈu	ˈu_k	0.051
ˈy	ˈu	0.718
ˈy	e̯ˈa	0.147
ˈy	u	0.095
ˈɔ	ˈo	0.409
ˈɔ	ˈu	0.318
ˈɔ	o̯ˈa	0.249
ˈɛ	-	0.293
ˈɛ	ˈa	0.185
ˈɛ	ˈi	0.178
ˈɛ	ˈe	0.132
ˈɛ	i	0.068
ˈɛ	e̯ˈa	0.053
β	p	0.4
β	-	0.384
β	ɡ	0.111
β	t	0.081
