Swedish	Swedish	probability
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈɑː_r	ˈɒː	1.0
ˈæː	-	1.0
ˈæ	ˈɪɛ̯	1.0
ʊ	-	1.0
ʈː	t	1.0
ʈ	t	1.0
ʂ	s	1.0
ɵ	ɪ	1.0
ɳ	n	1.0
ɪ	-	1.0
ɡ_ɛ	ɡ	1.0
ɛ_r	ɐ	1.0
ɛ_#>	#>	1.0
ɛ	-	1.0
ɖ	ˈɔː_d̥	1.0
ɔ	aɪ̯	1.0
ŋː	ŋ	1.0
v_#>	ʋ_#>	1.0
tː	t	1.0
tʰ	d	1.0
t	t	1.0
sː	s	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
rː	ç	1.0
r_ˈœ	r	1.0
r_m	m	1.0
r_#>	#>	1.0
pː	p	1.0
p	p	1.0
nː_a	n_n	1.0
nː	n	1.0
n_d	n	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʰ	k	1.0
jː	ɡ	1.0
j_ˈʉː	ˈaɪ̯	1.0
h	h	1.0
f	f	1.0
d_a	d_n	1.0
b	b	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_l	1.0
<#_d	<#_d	1.0
n	n	0.923
d	d̥	0.913
v	v	0.875
ˈiː	ˈiː	0.833
ˈɔ	-	0.778
ˈa	ˈa	0.739
k	k	0.733
ˈœ	-	0.714
kː	k	0.714
ˈuː	ˈoː	0.7
ɡ	x	0.667
ˈoː	ˈɔː	0.625
ˈyː	-	0.6
ɧ	ʃ	0.6
ɡː	-	0.6
ɕ	k	0.6
ˈɑː	ˈaː	0.571
r	ɐ	0.541
ˈʏ	ˈʏ	0.5
ˈɵ	ˈʊ	0.5
ˈɛː	ˈɪɛ̯	0.5
ˈɛː	-	0.5
ŋ	ŋ	0.5
ŋ	-	0.5
<#	<#_j	0.5
<#	<#_d	0.5
s	s	0.485
ˈøː	ˈaʊ̯	0.471
ˈeː	ˈeː	0.455
a	n	0.455
ˈɑː	ˈa	0.429
#>	n_#>	0.417
ˈyː	ˈyː	0.4
ɧ	s	0.4
ɡː	ɡ	0.4
ɕ	d	0.4
ˈɛ	ˈɛ	0.381
r	r	0.378
j	x	0.375
j	-	0.375
s	ʃ	0.364
ˈʉː	ˈuː	0.333
ˈuː	-	0.3
ˈøː	ˈøː	0.294
ˈœ	ˈuːə̯	0.286
kː	ŋ_k	0.286
ˈʉː	ˈaɪ̯	0.278
ˈʉː	-	0.278
a	ə	0.273
a	-	0.273
ˈʏ	ˈyː	0.25
ˈʏ	-	0.25
ˈɵ	v_ˈʊ	0.25
ˈoː	-	0.25
j	h	0.25
ˈɔ	x	0.222
#>	d̥_#>	0.208
ˈeː	ˈɪə̯	0.182
ˈeː	ˈɪ	0.182
ˈeː	ˈaɪ̯	0.182
ˈøː	-	0.176
ˈɵ	-	0.167
ˈiː	-	0.167
s	z	0.152
ˈɛ	ˈɪɛ̯	0.143
ɡ	ɡ	0.133
ɡ	ç	0.133
k	k_ə	0.133
k	-	0.133
ˈoː	ˈa	0.125
v	ʋ	0.125
#>	ç_#>	0.125
ˈʉː	ˈʊ	0.111
ˈɛ	ˈɪ	0.095
ˈɛ	ˈø	0.095
ˈɛ	ˈeː	0.095
ˈɛ	ˈa	0.095
ˈɛ	-	0.095
ˈa	ˈɔ	0.087
ˈa	ˈaː	0.087
ˈa	-	0.087
d	-	0.087
ˈɵ	ˈyə̯	0.083
#>	ɐ_#>	0.083
#>	v_n_#>	0.083
#>	k_#>	0.083
r	-	0.081
n	n_ˈaɪ̯	0.077
ɡ	ɣ	0.067
ˈøː	ˈyːœ̯	0.059
