Catalan	Campidanese	probability
b	b	0.919
b	-	0.081
d	d	0.852
d	nː	0.109
f	f	1.0
i	e	0.409
i	i	0.385
i	j	0.145
i	a	0.061
j	-	0.563
j	e	0.361
j	j	0.076
k	k	0.824
k	ɣ	0.124
l	l	0.478
l	-	0.273
l	r	0.137
l	ɖː	0.063
m	m	0.928
n	n	0.909
n	-	0.091
p	p	0.9
r	r	0.727
r	rː	0.231
s	s	0.564
s	z	0.166
s	ʧ	0.116
s	-	0.056
t	t	0.81
t	ð	0.101
u	o	0.553
u	ˈo	0.231
u	-	0.104
u	u	0.076
w	ʒ_i	0.209
w	w	0.198
w	i	0.169
w	u	0.116
w	v	0.095
w	e	0.088
w	-	0.071
z	ð	0.532
z	-	0.31
z	z	0.158
ð	ð	0.687
ð	t	0.19
ð	rː	0.122
ŋ	ŋ	0.499
ŋ	-	0.254
ŋ	v	0.247
ə	a	0.628
ə	i	0.154
ə	u	0.094
ə	-	0.065
ə	e	0.058
ɡ	ɡ	0.681
ɡ	b	0.131
ɡ	ɣ	0.094
ɡ	ʃː	0.094
ɣ	k	0.385
ɣ	ɡ	0.231
ɣ	ɣ	0.23
ɣ	-	0.154
ɲ	ɲː	0.383
ɲ	nː	0.355
ɲ	n	0.262
ɾ	r	0.786
ɾ	-	0.082
ɾ	e_r	0.062
ʃ	ʃː	0.904
ʃ	s	0.096
ʎ	l	0.471
ʎ	ɖː	0.202
ʎ	ʣ	0.102
ʎ	j	0.089
ʎ	sː	0.084
ʎ	-	0.052
ʒ	b	0.199
ʒ	j	0.162
ʒ	-	0.147
ʒ	ʒ	0.147
ʒ	ʤ	0.13
ʒ	d	0.13
ʒ	f	0.084
ʤ	ɣ	1.0
ʧ	z	1.0
ˈa	ˈa	0.949
ˈe	ˈe	0.738
ˈe	ˈi	0.162
ˈi	ˈi	0.774
ˈi	ˈe	0.064
ˈo	ˈu	0.671
ˈo	ˈo	0.3
ˈu	ˈu	0.743
ˈu	ˈo	0.226
ˈɔ	ˈo	0.927
ˈɛ	ˈe	0.493
ˈɛ	ˈi	0.368
ˈɛ	i	0.062
β	β	0.397
β	-	0.28
β	p	0.177
β	b	0.146
