Brazilian Portuguese	Neapolitan	probability
a	a	0.669
a	ˈa	0.286
b	p	0.439
b	v	0.336
b	b	0.115
b	-	0.073
d	t	0.59
d	d	0.326
d	-	0.062
e	-	0.32
e	e	0.138
e	i	0.138
e	ə	0.104
e	ˈo	0.079
e	l	0.061
e	a	0.059
ẽ	ə	0.601
ẽ	i	0.399
f	f	1.0
h	ɾ	0.467
h	-	0.275
h	r	0.136
h	ə_ɾ	0.091
i	ə	0.716
i	i	0.117
i	-	0.088
i	e	0.057
ĩ	ŋ	0.648
ĩ	-	0.352
j	-	0.542
j	ˈɛ	0.135
j	ˈa	0.114
j	j	0.103
j̃	n	0.642
j̃	ɲː	0.275
j̃	ʃː	0.083
k	k	0.774
k	kː	0.108
k	ʧː	0.058
l	l	0.636
l	lː	0.243
l	sː	0.121
m	m	0.75
m	mː	0.223
n	n	0.805
n	nː	0.119
n	i	0.076
o	u	0.261
o	o	0.232
o	j	0.182
o	-	0.173
o	ə	0.084
o	a	0.068
õ	u	1.0
p	p	0.957
s	s	0.383
s	ʃ	0.316
s	ʃː	0.182
s	ʦː	0.054
t	t	0.492
t	tː	0.248
t	n_t	0.206
u	ə	0.925
ũ	e	1.0
v	v	0.871
v	-	0.056
w	w	0.27
w	l	0.255
w	ɾ	0.201
w	-	0.108
w	ə	0.051
w̃	n	1.0
z	-	0.533
z	ʃ	0.159
z	nː	0.097
z	ʤ	0.072
z	z	0.072
z	s	0.066
ɐ	ə	0.987
ɐ̃	a	1.0
ɡ	ɡ	0.475
ɡ	k	0.38
ɡ	-	0.098
ɦ	ɾ	0.945
ɾ	ɾ	0.602
ɾ	r	0.204
ɾ	-	0.096
ɾ	ə_ɾ	0.053
ʃ	ʃ	0.308
ʃ	s	0.279
ʃ	k	0.196
ʃ	-	0.126
ʃ	ʃː	0.062
ʎ	ʎː	0.472
ʎ	kː	0.355
ʎ	-	0.097
ʎ	l	0.077
ʒ	ʤ	0.558
ʒ	j	0.356
ʤ	d	0.429
ʤ	-	0.422
ʤ	nː	0.091
ʤ	t	0.058
ʧ	n_t	0.433
ʧ	tː	0.429
ʧ	t	0.1
ˈa	ˈa	0.969
ˈe	ˈi	0.295
ˈe	ˈe	0.289
ˈe	-	0.172
ˈe	j	0.125
ˈe	ˈɛ	0.118
ˈẽ	ˈi	0.561
ˈẽ	ˈɛ	0.218
ˈẽ	ˈe	0.163
ˈẽ	ˈa	0.058
ˈi	ˈi	0.685
ˈi	ˈe	0.1
ˈi	-	0.055
ˈi	ˈu	0.053
ˈĩ	ˈi	0.767
ˈĩ	i	0.141
ˈĩ	ˈɛ	0.061
ˈo	ˈu	0.326
ˈo	w_ˈɔ	0.325
ˈo	ˈɔ	0.205
ˈo	ˈo	0.092
ˈo	-	0.053
ˈõ	ˈo	0.394
ˈõ	ˈu	0.325
ˈõ	ˈɔ	0.281
ˈu	ˈu	0.94
ˈũ	ˈu	0.71
ˈũ	ˈo	0.29
ˈɐ̃	ˈa	0.902
ˈɐ̃	ˈu	0.051
ˈɔ	ˈu	0.407
ˈɔ	ˈɔ	0.342
ˈɔ	ˈo	0.132
ˈɔ	ˈa	0.119
ˈɛ	ˈɛ	0.869
ˈɛ	ˈe	0.119
