Ligurian	Gallurese	probability
ˈɔː	ˈɔ	1.0
ˈøː	ˈɔ	1.0
ˈø	ˈɔ	1.0
ˈyː	ˈu	1.0
ˈy	ˈu	1.0
ˈe_j	ˈi	1.0
ˈe_d	i_d	1.0
ˈa	ˈa	1.0
ʤ_u	u	1.0
ɲ	ɲː	1.0
z_e	ɟː	1.0
w_e	u	1.0
v_u	u	1.0
v_e	i	1.0
t_r	l_t	1.0
sː	j	1.0
s_u	sː_u	1.0
r_ˈa	r_ˈa	1.0
r_n	rː	1.0
r_b	l_b	1.0
p	p	1.0
o	u	1.0
m_e	mː_u	1.0
l_e	ɖː_i	1.0
k_r	k_r	1.0
d	d	1.0
b	b	1.0
a	a	0.979
f	f	0.96
k	k	0.918
m	m	0.912
i	i	0.901
u	u	0.896
ˈɔ	ˈɔ	0.891
ˈaː	ˈa	0.863
ˈi	ˈi	0.799
ŋ	n	0.797
ʒ	ʧ	0.777
l	ɖː	0.756
ʃ	ʃː	0.732
e	i	0.714
ˈiː	ˈi	0.599
s	s	0.536
t	t	0.531
r	r	0.522
ʧ	p_j	0.5
ʧ	c	0.5
ˈe	ˈɛ	0.485
v	v	0.485
ɡ	ɡ	0.478
t	tː	0.469
n	nː	0.454
ˈɛ	ˈe	0.437
n	n	0.423
ɡ	k	0.409
w	-	0.407
z	ɟ	0.392
z	z	0.391
ˈe	ˈe	0.388
ˈeː	ˈɛ	0.382
ˈɛː	ˈa	0.38
ˈɛ	-	0.38
ˈuː	ˈu	0.363
ʤ	cː	0.36
ˈu	ˈo	0.359
r	l	0.344
ʤ	ɖː	0.317
j	-	0.307
v	p	0.302
s	ʧ	0.298
ˈu	ˈu	0.296
ˈɛː	ˈɛ	0.287
ˈeː	ˈe	0.276
j	r	0.274
ˈuː	ˈo	0.273
ˈiː	-	0.272
ˈu	ˈɔ	0.271
ʃ	-	0.268
ˈɛː	-	0.249
ˈeː	ˈi	0.247
l	l	0.244
j	a_r	0.239
w	ˈo	0.223
w	u	0.223
ˈi	-	0.201
ˈuː	ˈu_l	0.187
ˈɛ	ˈɛ	0.184
ʤ	u_l	0.183
ˈuː	ˈɔ	0.177
ŋ	ŋ	0.16
w	u_r	0.148
z	ʧ	0.145
ʤ	b_j	0.14
ˈaː	ˈa_l	0.137
v	-	0.13
e	a	0.13
ˈiː	j	0.129
ˈe	ˈi	0.127
n	ɲː	0.124
ʒ	ʒ	0.12
ɡ	-	0.113
ˈɔ	w	0.109
ʒ	-	0.103
s	ʦ	0.1
i	-	0.099
ˈeː	ˈɛ_l	0.096
j	j	0.093
m	mː	0.088
j	o_j	0.087
ˈɛː	ˈa_i	0.084
v	b	0.083
k	kː	0.082
ˈu	-	0.074
u	r_u	0.074
z	ʣ	0.072
e	-	0.069
r	rː	0.068
s	ʦː	0.066
r	-	0.065
