Old High German	Afrikaans	probability
ˈɛ_h	ˈi	1.0
ˈɑː	ˈɑː	1.0
ˈɑ_l	ˈœu̯	1.0
ˈɑ_h	ˈɑː	1.0
ˈou̯	ˈʊə̯	1.0
ˈio̯	ˈi	1.0
ˈie̯	ˈi	1.0
ˈeː	ˈi	1.0
ˈe	ˈɛ	1.0
ʦː	t	1.0
ʦ	t	1.0
ɛ	ə	1.0
ə	-	1.0
ɑ_r	r	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː	k	1.0
x	-	1.0
w_ɑ	ˈœu̯	1.0
v	v	1.0
tː	d̥	1.0
s̻ː	t	1.0
s̻	t	1.0
s_t	s_t	1.0
s_l	s_ɫ	1.0
s	s	1.0
rː	r	1.0
r_n	r_ə	1.0
r	r	1.0
p͡f	p	1.0
p	p	1.0
oː	-	1.0
nː	n	1.0
mː	ˈɛ_m	1.0
m	m	1.0
lː	ɫ	1.0
l	ɫ	1.0
kʰ	k	1.0
j	j	1.0
h	ɦ	1.0
fː	p	1.0
f_ɑ	p	1.0
e	-	1.0
b_ɑ	v̥	1.0
f	v̥	0.951
ˈoː	ˈʊə̯	0.92
k	k	0.887
ˈuo̯	ˈu	0.885
ɡ	χ	0.884
ˈiː	ˈəɪ̯	0.852
w	v	0.85
o	-	0.827
ˈuː	ˈœɪ̯	0.804
d	d	0.761
b	b	0.76
x_t	χ	0.752
ɑ	-	0.73
ˈɑ	ˈa	0.703
u	ə	0.681
ˈi	ˈə	0.676
ˈei̯	ˈɪə̯	0.649
t	d̥	0.626
ˈu	ˈɔ	0.583
i	-	0.583
kː	k	0.581
n	n	0.559
ˈo	ˈʊə̯	0.455
n	-	0.441
kː	χ	0.419
ˈɛ	ˈɪə̯	0.406
ˈo	ˈɔ	0.404
ˈiu̯	-	0.371
i	ə	0.357
ˈiu̯	ˈyː	0.354
ˈei̯	ˈəɪ̯	0.351
u	-	0.319
ˈɛ	-	0.296
ˈiu̯	ˈi	0.274
ɑ	ə	0.27
x_t	χ_t	0.248
b	-	0.24
ˈu	ˈœ	0.219
ˈɑ	ˈɑː	0.212
ˈuː	-	0.196
o	w	0.173
d	-	0.158
ˈɛ	ˈæ	0.156
ˈi	-	0.15
w	-	0.15
ˈiː	ˈə	0.148
t	t	0.147
ˈɛ	ˈæː	0.142
ˈo	-	0.142
ˈi	ˈæ	0.133
t	-	0.129
ˈu	ˈʊə̯	0.125
ɡ	-	0.116
ˈuo̯	ˈu_j	0.115
k	-	0.113
t	d	0.098
ˈɑ	-	0.086
d	d̥	0.081
ˈoː	ˈoː	0.08
ˈu	ˈɪø̯	0.074
i	i	0.06
