Middle High German	Swedish	probability
ˈɑː	ˈoː	1.0
ˈyə̯	ˈøː	1.0
ˈoː	ˈøː	1.0
ˈou̯	ˈøː	1.0
ʦː	tː	1.0
ʃː	s_k	1.0
ʃ_w	s	1.0
ɛ	ˈɛ_tː	1.0
ə_r	r	1.0
ə_n	a	1.0
ɑː	ˈoː	1.0
ɑ	-	1.0
ŋ_ɡ	ŋː	1.0
ŋ_k	kː	1.0
ŋ	ŋː	1.0
x_t	tː	1.0
w_ˈo	ˈɵ	1.0
v	f	1.0
tː	ˈeː	1.0
t_ˈiə̯	j_ˈʉː	1.0
t_ə	t_ɛ	1.0
s̻	t	1.0
rː	rː	1.0
r_ʦ	ʈː	1.0
r_ə	r	1.0
r_t	ɖ	1.0
r_s	ʂ	1.0
r_n	ɳ	1.0
p	p	1.0
oː	a	1.0
ou̯	ˈøː	1.0
nː	nː	1.0
n_d	nː	1.0
mː	mː	1.0
lː	lː	1.0
kʰ	kʰ	1.0
k	-	1.0
i	ɪ	1.0
h_ə	ɔ	1.0
fː	p	1.0
d̥	d	1.0
b_ə	v_ɛ	1.0
r	r	0.927
l	l	0.846
w	v	0.839
ɡ	ɡ	0.824
ˈuə̯	ˈuː	0.778
ˈiː	ˈiː	0.776
m	m	0.766
x	k	0.763
b	b	0.752
n	n	0.733
kː	ɡː	0.716
h	h	0.714
ˈuː	ˈʉː	0.692
s	s	0.688
ʦ	tʰ	0.677
ˈei̯	ˈeː	0.668
xː	k	0.667
p͡f	-	0.643
s̻ː	t	0.622
d	tʰ	0.617
ˈi	ˈɪ	0.595
ɡ̊	ɡ	0.594
ˈe	ˈɛ	0.59
ˈyː	-	0.588
ˈɑ	ˈa	0.535
ə_l	ɛ_l	0.516
t	d	0.513
ˈiə̯	ˈʉː	0.491
ə_l	l	0.484
ʃ	s	0.458
ə	ɛ	0.455
ˈu	ˈɵ	0.426
ʃ	ɧ	0.414
ˈyː	ˈyː	0.412
ˈe	-	0.41
f	p	0.398
ˈy	-	0.395
s̻ː	tː	0.378
ˈy	ˈɵ	0.359
p͡f	pʰ	0.357
f	v	0.352
xː	kː	0.333
ʦ	-	0.323
ə	a	0.316
ˈiə̯	ˈyː	0.292
kː	-	0.284
ˈɛ	ˈɛ	0.265
ˈɑ	ˈɑː	0.264
f	pː	0.249
ˈy	ˈʏ	0.246
ɡ̊	ŋ	0.244
ˈo	ˈuː	0.243
x	-	0.237
m	mː	0.234
ˈu	ˈʊ	0.231
ˈi	-	0.226
ˈiː	-	0.224
ˈuə̯	-	0.222
ˈu	ˈɔ	0.221
ˈiə̯	-	0.217
t	t	0.211
s	ɧ	0.211
d	-	0.194
ˈei̯	-	0.193
ˈo	ˈɵ	0.189
d	d	0.189
ˈuː	ˈɵ	0.182
h	-	0.182
ˈo	ˈɔ	0.178
t	-	0.178
ɡ	-	0.176
ˈo	ˈoː	0.162
ɡ̊	j	0.162
w	-	0.161
b	v	0.159
ˈei̯	ˈɛ	0.139
ˈɛ	ˈɛː	0.134
ˈɛ	-	0.13
ˈo	ˈœ	0.13
ˈi	ˈiː	0.128
ʃ	s_k	0.128
ˈuː	-	0.126
ə	-	0.125
ˈɛ	ˈæː	0.123
ˈɛ	ˈæ	0.123
ˈɛ	j	0.123
ˈu	ˈœ	0.121
l	j	0.116
ˈɑ	ˈoː	0.109
ə	ɡː	0.104
h	j	0.104
ˈɛ	ˈeː	0.101
s	sː	0.101
ˈo	ˈʉː	0.097
ˈɑ	ˈɛ	0.092
b	-	0.089
n	-	0.083
n	nː	0.079
t	s	0.074
n	a	0.073
ˈi	ˈœ	0.051
