English	Zeelandic	probability
θ_ˈɪ	d_ˈɪ	1.0
θ	d	1.0
ˈɜː	-	1.0
ˈɛ	-	1.0
ˈəʊ̯_ɫ	ˈɑu̯	1.0
ˈɐ_n	n	1.0
ʧ	k	1.0
ʤ	x_ə	1.0
ɹ_ˈiː	ɾ_ˈiː	1.0
ɹ_ˈe	ˈɔ	1.0
ɹ	ɾ	1.0
ɡ	ə	1.0
ɜː	ˈæ	1.0
əʊ̯	x	1.0
ŋ	ŋ	1.0
ð_ə	ɾ	1.0
ð	d	1.0
z	z_ə	1.0
v	v_ə	1.0
t	t	1.0
p	p	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
k_s	s	1.0
k	k	1.0
j	j	1.0
h	ˈʊə̯	1.0
f	v	1.0
b	b	1.0
n	n	0.958
w	ʋ	0.928
ˈuː	-	0.791
ɫ	ɫ	0.787
ˈæ	ˈɑ	0.773
ɪ	-	0.744
s	z	0.678
ˈaʊ̯	ˈyː	0.611
ˈeɪ̯	ˈɛː	0.568
ʃ	s	0.568
ˈɒ	ˈɑ	0.56
d	d̥	0.487
ˈəʊ̯	ˈɪə̯	0.46
d	d	0.459
ˈɔː	ɾ	0.444
ə	ɾ	0.441
ˈɒ	ˈɔ	0.44
ˈɑː	ˈɑ	0.435
ʃ	s_x	0.432
ˈaʊ̯	-	0.389
ˈəʊ̯	-	0.356
ˈʊ	ˈɔ	0.333
ˈʊ	ˈuː	0.333
ˈʊ	-	0.333
s	s	0.322
ˈɪ	ˈi	0.31
ə	ə_ɾ	0.309
ˈaɪ̯	ˈɪ	0.307
ˈɐ	ˈu	0.292
ˈɑː	ɫ_ə	0.29
ˈɐ	ˈøː	0.29
ˈɪ	ˈɪ	0.285
ˈɑː	ˈæ	0.275
ˈaɪ̯	ˈi	0.273
ɪ	i	0.256
ə	ə	0.25
ˈɐ	ˈɔ	0.241
ˈaɪ̯	x	0.238
ˈæ	-	0.227
ˈe	ˈʊə̯	0.216
ɫ	ə_ɫ	0.213
ˈuː	x	0.209
ˈiː	ˈɛː	0.209
ˈe	ˈeː	0.199
ˈiː	ˈʊə̯	0.195
ˈɔː	-	0.191
ˈe	ˈɪ	0.189
ˈe	ˈæ	0.187
ˈəʊ̯	ˈæi̯	0.184
ˈɔː	ˈʊə̯_ɾ	0.182
ˈɔː	ɾ_ə	0.182
ˈɐ	ˈyː	0.178
ˈiː	ˈuː	0.157
ˈɪ	ˈiː	0.155
ˈeɪ̯	ˈɑ	0.149
ˈeɪ̯	ˈɑ_x	0.142
ˈeɪ̯	ˈæ_x	0.141
ˈe	-	0.128
ˈaɪ̯	ˈyː	0.121
ˈiː	ˈiː	0.103
ˈiː	ˈi	0.097
ˈɪ	ˈeː	0.087
ˈiː	iː	0.086
ˈe	ˈɪə̯	0.081
w	-	0.072
ˈiː	ˈɪə̯	0.067
ˈaɪ̯	ˈʊə̯_x	0.06
ˈiː	ˈeː	0.059
ˈɪ	ˈʏ	0.056
ˈɪ	ˈæ	0.056
ˈɪ	ɾ	0.053
d	-	0.053
