Latin	Portuguese	probability
a	ɐ	0.84
a	-	0.124
ae̯	i	0.618
ae̯	ɐ	0.367
au̯	o_w	0.53
au̯	i	0.172
au̯	ɔ	0.172
aː	ɐ	0.795
aː	ˈa	0.068
aː	w	0.064
aː	-	0.062
aː_d	ɐ	0.492
ãː	ɐ	0.886
ãː	-	0.079
b	v	0.462
b	b	0.393
b	-	0.06
d	d	0.495
d	-	0.32
d	ð	0.062
d	s	0.06
d_i	ʒ	1.0
e	-	0.539
e	ɐ	0.144
e	ˈi	0.105
e	ɨ	0.102
e	j	0.074
eː	ɨ	0.297
eː	ɨ_ɣ	0.253
eː	-	0.126
eː	ɐ	0.126
eː	j	0.089
eː	ˈe	0.089
f	f	0.873
f	ʃ	0.068
f_ɫ	ʃ	0.242
h	-	1.0
h_ˈɔ	ˈɔ	1.0
i	-	0.461
i	j	0.418
i	ˈi	0.069
i	u	0.05
iː	i	0.266
iː	ĩ	0.231
iː	ɨ	0.153
iː	ˈĩ	0.153
iː	-	0.142
j	ʒ	1.0
k	k	0.433
k	ɣ	0.21
k	-	0.169
k	s	0.12
k_ɛ̃ː	ʃ	1.0
k_ʊ	j	1.0
kʷ	k	0.485
kʷ	ɣ_w	0.288
kʷ	k_ˈɐ̃	0.087
kʷ	s	0.08
l	l	0.74
l	-	0.15
l	ɾ	0.087
l_ˈaː	ˈa	1.0
lʲ	l	0.608
lʲ	-	0.313
lʲ_ãː	ɐ	1.0
lʲ_i	ʎ	1.0
lʲ_ʊ̃ː	u	1.0
m	m	0.865
m	-	0.109
m_b	b	1.0
m_n	n	1.0
n	n	0.483
n	-	0.29
n	ɲ	0.211
n_d	d	0.242
n_e	ɲ	1.0
n_i	ɲ	1.0
n_t	t	1.0
n_ɛ̃ː	j̃	0.492
n_ʊ̃ː	ˈõ	0.242
o	-	0.392
o	i	0.392
o	ɔ	0.125
oː	u	0.663
oː	j	0.077
oː	ɐ̃	0.077
oː	w̃	0.063
oː	-	0.061
oː	w	0.061
p	p	0.64
p	-	0.187
p	β	0.171
r	ɾ	0.743
r	ʁ	0.161
r	-	0.08
r_s	s	1.0
r_ɛ	ɾ	1.0
s	s	0.383
s	ʃ	0.377
s	-	0.142
t	t	0.522
t	ð	0.206
t	-	0.16
t	j_t	0.089
t_i	s	1.0
tʰ	ð	1.0
u	ɾ	0.574
u	-	0.283
uː	u	0.667
uː	ˈu	0.333
w	v	0.862
w	-	0.108
ŋ	-	0.569
ŋ	ẽ	0.141
ŋ	ɡ	0.141
ŋ	ɲ	0.141
ɔ	u	0.501
ɔ	-	0.125
ɔ	ɔ	0.125
ɔ	õ	0.072
ɔ	w	0.072
ɔ	o	0.058
ɛ	-	0.272
ɛ	ˈe	0.26
ɛ	ɨ	0.187
ɛ_ãː	ɐ	0.492
ɛ_k	ɨ	1.0
ɛ_r	ɾ	1.0
ɛ̃	ɨ	0.562
ɛ̃	ɫ	0.178
ɛ̃	j	0.155
ɛ̃ː	ɨ	0.58
ɛ̃ː	-	0.195
ɛ̃ː	w̃	0.097
ɛ̃ː	ɐ	0.06
ɡ	-	0.408
ɡ	ʒ	0.206
ɡ	ɡ	0.18
ɡ	j	0.106
ɡ	ɣ	0.077
ɡ_ɛ	ʒ	0.492
ɡʷ	ɡ	0.594
ɡʷ	w	0.392
ɪ	-	0.364
ɪ	ɨ	0.21
ɪ	i	0.077
ɪ	ɐ̃	0.073
ɪ	j	0.067
ɪ	ˈi	0.058
ɪ_t	ð	0.492
ɪ̃	-	0.492
ɫ	l	0.372
ɫ	-	0.313
ɫ	ʎ	0.089
ɫ	ɫ	0.072
ɫ_ɛ̃ː	ɫ	0.242
ɫ_ˈaː	ˈa	1.0
ɫ_ˈoː	ˈo	1.0
ʊ	w	0.323
ʊ	-	0.239
ʊ	j	0.197
ʊ	ũ	0.12
ʊ	u	0.089
ʊ_s	u	1.0
ʊ_ɫ	ʎ	1.0
ʊ̃ː	u	0.799
ʊ̃ː	-	0.122
ʊ̃ː	w̃	0.057
ˈa	ˈa	0.774
ˈa	ˈɐ	0.096
ˈa	ɐ	0.064
ˈa_k	ˈɐ	1.0
ˈa_n	ˈɐ̃	1.0
ˈa_ŋ	ˈɐ̃	1.0
ˈae̯	ˈɛ	0.492
ˈau̯	w	0.514
ˈau̯	ˈo	0.251
ˈau̯	ˈɔ	0.219
ˈaː	ˈa	0.637
ˈaː	ˈɐ	0.181
ˈaː_l	ˈa	0.492
ˈaː_n	ˈɐ̃	1.0
ˈe	ˈe	0.242
ˈeː	ˈe	0.597
ˈeː	ˈa	0.123
ˈeː	ɨ	0.089
ˈeː	ˈɐ	0.089
ˈeː	ˈɨ	0.072
ˈeː_n	ˈɐ	1.0
ˈeː_ɡ	ˈɐ	0.492
ˈi	ˈi	1.0
ˈiː	ˈi	0.873
ˈĩː	ˈi	1.0
ˈo	-	0.211
ˈo	ˈɔ	0.104
ˈoe̯	ˈe	0.242
ˈoː	ˈo	0.498
ˈoː	ˈɔ	0.377
ˈoː	ɨ	0.076
