Swiss German	Swiss German	probability
χː_tː	ʰt	1.0
ˈøː	-	1.0
ˈøi̯	-	1.0
ˈø	-	1.0
ˈæː	-	1.0
ˈyː_χː	i	1.0
ˈyə̯	ˈaːi̯	1.0
ˈuː	ˈuː	1.0
ˈe	ˈɛ	1.0
ɣ̊_n	n̥	1.0
ɡ̊_ˈɒ	ɟ̊	1.0
ɡ̊_ə	a	1.0
ɡ̊_#>	r̥_#>	1.0
ə_#>	#>	1.0
ŋ_kː	ʰk	1.0
ŋ_#>	d̥_ʏ_r̥_#>	1.0
æ	aːu̯	1.0
z̥_#>	s_#>	1.0
w	ˈou̯	1.0
v̥	f	1.0
tː_#>	ð_#>	1.0
r_ˈyə̯	r	1.0
r_#>	#>	1.0
p͡f	pʰ	1.0
pː	p	1.0
n_d̥	nː	1.0
l_d̥	t͡l̥	1.0
<#_ʋ	<#	1.0
<#_tː	<#_d̥	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
m	m	0.913
ʋ	v	0.889
ŋ	ŋ	0.857
h	h	0.85
ˈiː	ˈiː	0.818
z̥	s	0.8
sː	t	0.8
ˈuə̯	ˈoːu̯	0.727
ʒ̊	s	0.706
ʃː	s	0.7
ɣ̊	kʰ	0.7
ˈau̯	ˈœːy̯	0.667
b̥	b̥	0.667
<#_ɡ̊	<#_ɡ̊	0.667
kː	-	0.625
<#_r	<#_r	0.625
χː_#>	k_#>	0.6
ˈiə̯	j_ˈoːu̯	0.6
fː	p	0.6
l	l	0.594
ə	a	0.559
#>	ʏ_r̥_#>	0.506
ˈeː	ˈɑːu̯	0.5
ˈeː	ˈoːu̯_r̥	0.5
ʦ	tʰ	0.5
i	ʏ	0.5
r	r	0.492
r	r̥	0.476
ɡ̊	ɡ̊	0.444
ˈi	ˈɪ	0.429
n	n	0.423
d̥	θ	0.423
ˈɒ	ˈa	0.407
χː_#>	#>	0.4
ˈæi̯	ˈɛːi̯	0.4
ˈiə̯	-	0.4
tː	ð	0.385
tː	t	0.385
<#_r	<#_r̥	0.375
χː	k	0.357
χː	-	0.357
ˈɒː	ˈaː	0.357
ˈy	-	0.333
ˈu	ˈʏ	0.333
ˈu	-	0.333
ˈau̯	-	0.333
ʦ	t	0.333
i	ɡ̊_ʏ	0.333
<#_ɡ̊	<#	0.333
ˈyː	ˈiː	0.308
ˈoː	ˈœːy̯	0.308
ˈoː	-	0.308
d̥	ð	0.308
ˈæi̯	ˈɛi̯	0.3
ˈæi̯	-	0.3
ʃː	s_k	0.3
ɣ̊	cʰ	0.3
ˈɒː	ˈɑːu̯	0.286
ˈuə̯	-	0.273
d̥	d̥	0.269
ˈo	ˈʏ	0.25
ˈo	ˈɔ	0.25
ˈo	-	0.25
kː	ɟ̊ː	0.25
ˈyː	j	0.231
ˈoː	ˈɔː	0.231
n	t͡n̥	0.231
ˈɒ	ˈaː	0.222
ˈy	ˈɪː	0.222
ˈy	ˈɪ	0.222
ˈy	ˈai̯	0.222
ɡ̊	ɣ	0.222
l	t͡l̥	0.219
ˈæ	ˈɛ	0.217
ˈæ	j	0.217
ˈæ	-	0.217
ˈɒː	-	0.214
#>	r̥_#>	0.212
z̥	s_j	0.2
fː	ʰp	0.2
fː	v_ʏ	0.2
n	nː	0.192
l	l̥	0.188
ˈiː	-	0.182
ʒ̊	s_c	0.176
ˈu	ˈɔ	0.167
ˈu	ˈu	0.167
ʦ	-	0.167
i	ɑu̯	0.167
b̥	v	0.167
ˈyː	ˈʏː	0.154
ˈyː	ˈi	0.154
ˈyː	j_ˈoːu̯	0.154
ˈoː	ˈɔ	0.154
n	-	0.154
h	ç	0.15
ˈɒ	ˈœ	0.148
χː	ˈɔu̯	0.143
χː	c	0.143
ˈɒː	ˈa	0.143
ˈi	ˈi	0.143
ˈi	j_ˈɛː	0.143
ŋ	ɲ	0.143
ə	ʏ	0.132
ˈo	ˈʏː	0.125
ˈo	ˈɪ	0.125
kː	ʰc	0.125
ʒ̊	s_k	0.118
ə	ɪ	0.118
#>	a_#>	0.118
ˈɒ	ˈɑu̯	0.111
ˈɒ	-	0.111
ʋ	kʰ_v	0.111
ɡ̊	ˈuː	0.111
ɡ̊	ɟ̊	0.111
ɡ̊	x	0.111
sː	s	0.1
b̥	v_ʏ	0.1
ˈi	ˈɪː	0.095
ˈi	ˈɛː	0.095
ˈi	j	0.095
ˈæ	ˈɛː	0.087
ˈæ	ˈau̯	0.087
ˈæ	ˈa	0.087
ˈæ	j_ˈɛ	0.087
m	-	0.087
tː	θ	0.077
tː	ʰt	0.077
tː	s	0.077
#>	ɪ_#>	0.071
b̥	-	0.067
ə	-	0.059
#>	n_#>	0.059
