Sicilian	Sicilian	probability
ˈi_ɾ	ˈɛ_ɾ	1.0
ˈi_v	ˈi	1.0
ˈi_kː	ˈi_k	1.0
ˈa	ˈa	1.0
ʧː	-	1.0
ʤː	ɣ	1.0
ʤ	j	1.0
ʐː	r	1.0
ʈː	t_ɔ	1.0
ʈ	-	1.0
ʃ	i_s	1.0
ɾ_n	r	1.0
ɽ	ɾ	1.0
ɲ	n_ʣ	1.0
ɪ_ɕ	ɣ	1.0
ɟː	ʣ	1.0
ç	f_ɾ	1.0
z	z	1.0
w	-	1.0
v_ˈa	ˈa	1.0
tː	t	1.0
sː	s	1.0
r	ɾ	1.0
o	ɔ	1.0
n_ɪ	nː_ɛ	1.0
n_ɕ	ŋ_ɡ	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	ʣ	1.0
l_i	l_ɛ	1.0
kː	k	1.0
k_w	b	1.0
fː	f	1.0
f	f	1.0
dː	t	1.0
d	d	1.0
cː	j	1.0
c	p_ɾ	1.0
bː	-	1.0
b	b	1.0
a_t	a_ð	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʐ	<#_ɾ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
a	a	0.972
l	l	0.944
s	s	0.926
ʊ	u	0.899
p	p	0.892
ɪ	ɛ	0.833
ˈi	ˈi	0.826
ɾ	ɾ	0.756
ˈu	ˈu	0.738
v	b	0.714
#>	ɛ_#>	0.714
ŋ	m	0.667
<#_a	<#_a	0.667
k	k	0.655
nː	nː	0.625
ˈo	ˈo	0.6
ʃː	s_k	0.6
ɪ_#>	#>	0.6
k_ɾ	k_ɾ	0.6
t	t	0.594
ɖː	ɖː	0.583
ɾ_ʊ	ɾ_u	0.571
<#_ˈɔ	<#_ˈo	0.571
ɕ	k	0.562
ɡ	b	0.556
ˈɛ	ˈɛ	0.543
ˈɔ	ˈɔ	0.536
ˈe	ˈɛ	0.5
ˈe	ˈe	0.5
ʦː	t	0.5
ʦː	-	0.5
ɲː	ɲ	0.5
ɲː	n_ʣ	0.5
k_ˈu	k_ˈu	0.5
k_ˈu	k	0.5
<#_j	<#_ʣ	0.5
<#_j	<#	0.5
ˈɛ	ˈe	0.457
u	u	0.444
j	b	0.444
ɕ	ɣ	0.438
ɾ_ʊ	u	0.429
<#_ˈɔ	<#_ˈɔ	0.429
t	ð	0.406
ˈo	ˈɔ	0.4
ʃː	ʃ	0.4
ɪ_#>	i_#>	0.4
k_ɾ	ɾ	0.4
nː	-	0.375
i	i	0.368
ˈɔ	ˈo	0.357
k	ɣ	0.345
ŋ	-	0.333
u	ɔ	0.333
<#_a	<#_o	0.333
#>	ð_ɛ_#>	0.286
i	e	0.263
ɖː	l	0.25
ɡ	ɡ	0.222
ɡ	-	0.222
u	-	0.222
j	ɣ	0.222
j	j_z	0.222
ˈu	ˈɔ	0.214
v	-	0.214
ɖː	s	0.167
i	ɛ	0.158
ɾ	-	0.133
j	ɛ̆	0.111
p	β	0.108
ˈɔ	ˈu	0.107
i	ˈi	0.105
i	-	0.105
ˈi	ˈɛ	0.087
ˈi	ˈe	0.087
s	ʦ	0.074
v	i	0.071
ɾ	i	0.067
ʊ	ɛ	0.056
l	-	0.056
