Standard German	Bavarian	probability
ˈʊ	ˈu	1.0
ˈɛː	-	1.0
ˈɛ_n	n	1.0
ˈɛ	ˈe	1.0
ˈɔʏ̯	ˈai̯	1.0
ˈœ	ˈe	1.0
ˈøː	ˈeː	1.0
ˈaɪ̯_n	ˈoɐ̯	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ʁ_ə	ɐ	1.0
ʁ	r	1.0
ɡ_n	ŋ	1.0
ɡ	ɡ̊	1.0
ə_n	a	1.0
ɐ_n	ɐ_n	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
z̥	s	1.0
z	s	1.0
x	x	1.0
v	ʋ	1.0
tʰ	d̥	1.0
t_n	d̥_n	1.0
t	d̥	1.0
s_ə	s	1.0
s_n	s_n	1.0
p͡f	b̥͡v̥	1.0
p	b̥	1.0
m	m	1.0
l_d̥	j_d̥	1.0
kʰ	kʰ	1.0
k	ɡ̊	1.0
h	h	1.0
eː	eː	1.0
d̥	d̥	1.0
d_ˈɔ	d̥_ˈo	1.0
d	d̥	1.0
b_n	m	1.0
a	a	1.0
f	f	0.894
ˈɪ	ˈi	0.882
ˈuː	ˈuɐ̯	0.833
ə	-	0.798
b	b̥	0.779
ˈeː	ˈeː	0.758
ˈɔ	ˈo	0.756
ˈiː	ˈiɐ̯	0.722
n	n	0.692
ˈyː	ˈiɐ̯	0.635
ç	x	0.602
ˈaɪ̯	ˈai̯	0.596
ˈʏ	ˈi	0.578
l	l	0.56
s	s	0.509
ɪ_ç	ɡ̊	0.5
ɪ_ç	i	0.5
ˈaʊ̯	ˈau̯	0.474
ˈoː	ˈoː	0.461
l	j	0.44
ˈaʊ̯	ˈaː	0.438
ˈʏ	ˈu	0.422
ˈaɪ̯	ˈoɐ̯	0.404
ç	ç	0.398
ˈoː	ˈou̯	0.391
ˈyː	ˈi	0.365
ˈaː	ˈɒː	0.344
ˈaː	ˈoː	0.28
ˈiː	ˈi	0.278
ˈa	ˈɑ	0.273
s	ʃ	0.273
ˈɔ	ˈu	0.244
ˈeː	ˈe	0.242
b	β	0.221
s	sː	0.218
ˈa	ˈo	0.202
ˈa	ˈɒ	0.197
ˈaː	ˈɑː	0.188
ˈaː	-	0.188
n	a	0.17
ˈuː	ˈu	0.167
ˈoː	ˈo	0.148
ˈa	ˈɒː	0.143
ˈa	-	0.135
ə	a	0.131
n	-	0.111
f	fː	0.106
ˈaʊ̯	ˈa	0.088
ə	n	0.07
ˈɪ	ˈiː	0.059
ˈɪ	-	0.059
