Čakavian	Lower Sorbian	probability
̌_iː	ɪ	1.0
̌	-	1.0
̂_oː	ɔ	1.0
̂_o	ɛ	1.0
̂_iː	i	1.0
̂_eː	ɪ	1.0
̂_e	ɔ	1.0
̂_aː	ɔ	1.0
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʒ	ʐ	1.0
ʋ_#>	v_ɨ_#>	1.0
ɲ	ɲ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
z	z	1.0
t_i	ɕ	1.0
s_#>	s_#>	1.0
s	s	1.0
r̩	r	1.0
r_̌	r	1.0
r_̂	rʲ	1.0
oː	ɛ	1.0
o_#>	ɔ_#>	1.0
k	k	1.0
j	j	1.0
eː	e	1.0
d̥	d̥	1.0
c	ʦ	1.0
b̥	b̥	1.0
b	b	1.0
a_t	ɕ	1.0
a_n	ɨ_m	1.0
a_k	kʲ_i	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_l	<#_l	1.0
#>	ɨ_#>	1.0
̂	-	0.929
uː	u	0.818
a	a	0.794
d	d	0.765
n	n	0.75
x	x	0.714
̂_i	ɨ	0.667
aː	ɔ	0.667
o	ɔ	0.643
ʋ	vʲ	0.625
ʋ_̂	vʲ	0.6
m	m	0.571
p	p	0.556
iː	ɨ	0.556
t	t	0.526
l	w	0.522
p	pʲ	0.444
iː	ɪ	0.444
m	mʲ	0.429
i	i	0.417
r	r	0.4
ʋ	v	0.375
t	ɕ	0.368
e	e	0.364
l	l	0.348
̂_i	a	0.333
r	rʲ	0.333
i	ɪ	0.333
aː	e	0.333
x	k	0.286
n	ɲ	0.25
i	ɛ	0.25
d	ʑ	0.235
e	ɛ	0.227
o	ɛ	0.214
ʋ_̂	v_a	0.2
ʋ_̂	v	0.2
uː	w	0.182
e	ɔ	0.182
a	-	0.147
o	v_ɛ	0.143
e	a	0.136
r	ʂ	0.133
r	ɕ	0.133
l	-	0.13
t	ʨ	0.105
e	ɪ	0.091
a	ɔ	0.059
