Campidanese	Latin	probability
a	ãː	0.643
a	a	0.129
a	aː	0.053
ă	-	1.0
b	w	0.404
b	b	0.355
b	ɡ	0.13
b	-	0.055
d	d	0.966
e	ɛ	0.454
e	ɛ̃ː	0.1
e	-	0.091
e	ɪ_ɫ	0.084
e	eː	0.079
e	ˈaː	0.058
e_n	ɛ̃ː	0.489
ĕ	ɛ	0.239
f	f	1.0
i	ɛ̃ː	0.413
i	ɛ	0.277
i	-	0.118
i_n	ɛ̃ː	1.0
i_s	s	1.0
j	i	0.199
j	ʊ_ɫ	0.188
j	r_ɛ	0.177
j	w_ɛ̃ː	0.139
j	t	0.08
j	j	0.07
j	ˈi	0.07
j	iː	0.058
k	k	0.845
k	kʷ	0.101
k	ˈa_p	0.055
l	ɫ	0.678
l	l	0.173
l	lʲ	0.117
m	m	1.0
n	n	0.835
n	-	0.103
o	ɔ	0.438
o	oː	0.234
o	o	0.092
o	ˈoː	0.092
o	a	0.071
o	au̯	0.056
p	p	1.0
r	r	0.816
r	-	0.108
r	ɫ	0.065
s	s	0.721
s	-	0.135
s	p	0.063
s	lʲ	0.062
t	t	0.822
t	k_t	0.125
u	ʊ̃ː	0.761
u	ʊ	0.089
u	-	0.06
ŭ	-	1.0
v	b	0.843
v	ŋ	0.101
w	-	0.633
w	ɔ	0.117
w	kʷ	0.094
w	ɪ	0.079
z	-	0.502
z	s	0.295
z	ɡ	0.093
z	d	0.069
z_ă	s	0.489
z_ĕ	s	1.0
z_ŏ	s	1.0
z_ŭ	s	1.0
ð	t	0.718
ð	tʰ	0.08
ð	ɡ	0.08
ð	ɫ	0.066
ð	d	0.053
ŋ	ŋ	1.0
ɖ	lʲ	0.933
ɖ	d	0.066
ɡ	ɡ	0.497
ɡ	ɡʷ	0.264
ɡ	k	0.099
ɡ	-	0.071
ɣ	k	0.869
ɣ	m	0.089
ɲ	n	0.5
ɲ	m	0.274
ɲ	e	0.11
ɲ	i	0.077
ʃ	s	0.516
ʃ	k	0.271
ʃ	p	0.144
ʃ	-	0.051
ʒ	k	0.791
ʒ	s	0.132
ʒ	t	0.069
ʣ	lʲ	0.807
ʣ	n	0.189
ʤ	-	0.409
ʤ	ɡ	0.348
ʤ	d	0.224
ʦ	t	1.0
ʧ	k	0.864
ʧ	kʷ	0.135
ˈa	ˈa	0.515
ˈa	ˈaː	0.401
ˈe	ˈɛ	0.537
ˈe	ˈeː	0.265
ˈe	ˈɛ_k	0.07
ˈi	ˈiː	0.403
ˈi	ˈɪ	0.388
ˈi	ɪ	0.056
ˈo	ˈɔ	0.579
ˈo	ˈoː	0.201
ˈo	ˈʊ	0.054
ˈu	ˈuː	0.506
ˈu	ˈʊ	0.39
ˈu	ˈu	0.072
β	b	0.405
β	p	0.388
β	w	0.14
β	-	0.057
