Portuguese	Aromanian	probability
b	b	1.0
i	i	1.0
n	n	1.0
w	-	1.0
w̃	n_i	1.0
z	ʦ	1.0
ð	t	1.0
ɲ	n	1.0
ˈẽ	ˈi_n	1.0
ˈĩ	ˈi	1.0
ˈõ	ˈu	1.0
ˈũ	ˈu	1.0
ˈɨ	ˈi	1.0
j	p	0.181
s	ʃ_t	0.171
ɐ	ˈa	0.061
ɡ	m	0.361
ɨ	-	0.11
ɨ	ə	0.161
ɫ	r_i	0.401
ʃ	j	0.181
ˈe	ˈe	0.091
ˈe	ˈi	0.131
ˈo	ˈu_n	0.111
ˈɐ̃	ˈi	0.111
ˈɔ	ˈu	0.111
ˈɔ	ˈo	0.351
β	p	0.691
j	w	0.102
j̃	e	0.292
l	ʎ	0.082
l	-	0.182
m	m	0.752
t	ʦ	0.172
t	t	0.792
v	v	0.272
ɐ	i	0.092
ɐ	ə	0.622
ˈa	ˈa	0.902
f	ç	0.653
k	ʦ	0.053
m	ɲ	0.233
s	s	0.383
v	-	0.3
v	j	0.323
ʃ	ʦ_i	0.103
ʎ	k_ʎ	0.603
ˈo	ˈa	0.073
ˈu	-	0.053
ˈɛ	e̯ˈa	0.263
ˈɛ	ˈe	0.353
k	k	0.904
l	l	0.64
s	ʃ	0.124
ɣ	k	0.904
ʒ	ʣ	0.604
d	d	0.395
d	ʣ	0.605
p	k	0.35
p	p	0.65
ɐ	-	0.145
ɾ	r_i	0.35
ɾ	r	0.535
ʁ	r	0.375
ʁ	a_r	0.625
ˈe	-	0.075
ˈi	ˈu	0.125
ˈi	ˈi	0.875
ˈo	o̯ˈa	0.095
ˈɐ̃	ˈɨ	0.275
ˈɛ	ˈa	0.385
s	ʦ	0.296
u	u	0.696
ɣ	ɡ	0.096
ʃ	s	0.426
ʒ	ʤ	0.396
ˈe	e̯ˈa	0.456
ˈo	ˈu	0.196
ˈɐ	ˈa	0.186
ˈɐ	e̯ˈa	0.216
ˈɐ̃	-	0.406
f	f	0.347
j	n	0.137
l	r	0.097
v	b	0.077
ɾ	-	0.097
ʎ	-	0.397
ˈe	i	0.247
ˈo	ˈo	0.457
ˈu	ˈu	0.947
ˈɐ	ˈi	0.217
j̃	-	0.708
u	-	0.088
u	i	0.088
u	ə	0.128
ɐ	a	0.08
ˈa	ˈi	0.098
ˈo	o̯ˈa_m	0.068
ˈɐ	-	0.078
ˈɐ	ˈe	0.258
ˈɐ̃	ˈɨ_n	0.208
ˈɔ	o̯ˈa	0.538
j	i	0.059
j	-	0.479
ɡ	ɡ	0.639
ɨ	i	0.729
ɫ	e	0.599
ʃ	-	0.229
β	-	0.309
