Portuguese	Campidanese	probability
b	b	0.905
b	-	0.094
d	d	0.9
d	ɖ	0.068
d	n	0.051
f	f	1.0
i	i	0.668
i	a	0.162
i	-	0.123
i	ˈa	0.051
ĩ	j	0.515
j	-	0.2
j	e	0.14
j	i	0.14
j	j	0.14
j	n	0.137
j	ʃ	0.101
j	o	0.051
j	z	0.051
j_t	t	1.0
j̃	i	1.0
k	k	0.935
l	l	0.686
l	ɖ	0.266
m	m	0.98
n	n	0.749
n	r	0.139
n	-	0.059
n	ɲ	0.054
o	a	0.34
o	ˈo	0.34
p	p	1.0
s	s	0.692
s	ʧ	0.121
s	ʦ	0.067
t	t	0.93
u	u	0.872
ũ	m	0.136
v	b	0.668
v	β	0.15
v	-	0.068
v	v	0.059
v_ɨ	j	0.413
v_ɨ	ˈi	0.095
w	u	0.428
w	w	0.276
w	o	0.096
w	e	0.084
w	i	0.073
w_t	t	0.515
w_ɾ	r	1.0
w̃	i	0.701
w̃	u	0.276
z	-	0.297
z	s	0.297
z	ʒ	0.297
z	r	0.078
ð	ð	0.676
ð	t	0.137
ð	d	0.11
ð	s	0.063
ɐ	a	0.744
ɐ	-	0.083
ɐ	n_a	0.064
ɐ	ˈa	0.052
ɐ̃	m	0.574
ɐ̃	i	0.296
ɐ̃_j̃	e	1.0
ɔ	o	1.0
ɡ	ɡ	0.734
ɡ	b	0.189
ɣ	ɣ	0.645
ɣ	-	0.121
ɣ	k	0.105
ɣ	ɡ	0.102
ɨ	i	0.514
ɨ	e	0.246
ɨ	ˈi	0.063
ɨ_v	e	0.515
ɨ_ɾ	e	0.265
ɫ	l_i	0.702
ɫ	l	0.186
ɫ	r	0.094
ɲ	n	0.701
ɲ	ɲ	0.182
ɲ	ŋ	0.105
ɾ	r	0.501
ɾ	r_i	0.169
ɾ	r_e	0.103
ɾ	-	0.071
ɾ	e_r	0.063
ʁ	r	0.846
ʁ	-	0.153
ʃ	s	0.406
ʃ	ʒ_i	0.108
ʃ	ʃ	0.087
ʃ	z_ŏ	0.07
ʃ	f_r	0.061
ʃ	z_ă	0.059
ʃ	ʧ	0.053
ʎ	j	0.369
ʎ	ʣ	0.283
ʎ	-	0.172
ʎ	ɣ	0.099
ʎ	l	0.066
ʒ	ʤ	0.327
ʒ	b	0.248
ʒ	ʒ	0.248
ʒ	j	0.163
ˈa	ˈa	0.875
ˈa	-	0.104
ˈe	ˈi	0.459
ˈe	ˈe	0.3
ˈe	e	0.162
ˈe	i	0.074
ˈẽ	ˈe_n	0.603
ˈẽ	ˈe	0.14
ˈẽ	e	0.112
ˈi	ˈi	0.805
ˈi	ˈi_l	0.109
ˈi	ˈa	0.083
ˈĩ	ˈi_n	0.841
ˈĩ	ŋ	0.115
ˈo	ˈo	0.759
ˈo	ˈu	0.211
ˈo_w	ˈa	1.0
ˈõ	ˈo_n	0.715
ˈõ	n	0.28
ˈu	ˈu	0.934
ˈu	u	0.069
ˈũ	i	0.136
ˈũ	ˈu	0.136
ˈɐ	ˈe	0.384
ˈɐ	ˈa	0.306
ˈɐ	ˈi	0.163
ˈɐ	-	0.089
ˈɐ	r_ˈe	0.053
ˈɐ̃	ˈa_n	0.549
ˈɐ̃	ˈo_n	0.146
ˈɐ̃	n_a	0.084
ˈɐ̃	ˈe_n	0.084
ˈɐ̃	ˈi_n	0.068
ˈɐ̃	ˈa	0.064
ˈɐ̃_k	v	1.0
ˈɔ	ˈo	0.849
ˈɔ	ˈu	0.104
ˈɔ	ˈa	0.055
ˈɛ	ˈe	0.926
ˈɛ	n_ˈe	0.054
ˈɛ_v	ˈi	0.136
ˈɨ	ˈe	0.515
ˈɨ	e	0.07
β	β	0.499
β	p	0.201
β	k	0.175
β	-	0.116
