American English	Northern Low Saxon	probability
b	b	0.934
b	-	0.066
d	d	0.852
d	-	0.096
d	t	0.052
f	f	0.965
h	h	1.0
i	ɪ	0.616
i	i	0.16
i	aɪ̯	0.124
i	-	0.1
j	ɡ	0.601
j	ʒ	0.325
j	ˈɛː	0.074
k	ɡ	0.677
k	k	0.323
kʰ	kʰ	0.939
kʰ	-	0.061
l	l	1.0
m	m	1.0
n	n	0.969
oʊ̯	-	0.801
oʊ̯	n	0.199
p	b	0.843
p	p	0.157
pʰ	pʰ	1.0
s	z	0.442
s	s	0.401
s	ʃ	0.158
t	t	0.734
t	d	0.266
tʰ	tʰ	0.941
tʰ	b	0.059
tː	t	1.0
v	m	0.611
v	f	0.326
v	v	0.063
w	v	0.905
w	-	0.095
z	s	0.512
z	n	0.403
z	z	0.085
ð	d	0.604
ð	l	0.257
ð	n	0.139
ŋ	ŋ	0.91
ŋ	ɪ	0.09
ə	-	0.962
ɚ	ɐ	0.938
ɡ	ɡ	0.719
ɡ	-	0.244
ɪ	-	1.0
ɫ	l	0.768
ɫ	ɡ_l	0.18
ɫ	-	0.052
ɹ	r	0.591
ɹ	ɐ	0.244
ɹ	-	0.165
ɾ	d	0.566
ɾ	x	0.434
ʃ	ʃ	1.0
ʔ	d	0.814
ʔ	ç	0.087
ʔ	t	0.072
ʤ	ç	0.535
ʤ	ɡ	0.465
ʧ	ɡ	0.519
ʧ	kʰ	0.481
ˈaɪ̯	ˈiː	0.296
ˈaɪ̯	ˈɪ	0.267
ˈaɪ̯	ˈaɪ̯	0.17
ˈaɪ̯	ˈyː	0.077
ˈaɪ̯	ˈeː	0.063
ˈaʊ̯	ˈuː	0.57
ˈaʊ̯	ˈaʊ̯	0.186
ˈaʊ̯	ˈʊ	0.146
ˈaʊ̯	ˈoː	0.056
ˈeɪ̯	ˈoː	0.349
ˈeɪ̯	ˈa	0.322
ˈeɪ̯	ˈɛ	0.13
ˈeɪ̯	ˈeɪ̯	0.118
ˈeɪ̯	ˈaʊ̯	0.08
ˈi	ˈɔʏ̯	0.229
ˈi	ˈaɪ̯	0.174
ˈi	ˈoː	0.13
ˈi	ˈaʊ̯	0.123
ˈi	ˈiː	0.12
ˈi	ˈuː	0.066
ˈi	ˈeː	0.054
ˈoʊ̯	ˈaɪ̯	0.478
ˈoʊ̯	ˈaʊ̯	0.17
ˈoʊ̯	ˈʊ	0.105
ˈoʊ̯	ˈøː	0.098
ˈoʊ̯	ˈɪ	0.079
ˈu	ˈaʊ̯	0.341
ˈu	ˈoː	0.198
ˈu	ˈaɪ̯	0.128
ˈu	ɐ	0.092
ˈu	ˈeː	0.087
ˈu	ə	0.063
ˈu	ˈʏ	0.055
ˈæ	ˈa	0.764
ˈæ	ˈaː	0.186
ˈæ	ˈɛ	0.05
ˈɑ	ˈɔ	0.278
ˈɑ	ˈoː	0.248
ˈɑ	ˈaː	0.183
ˈɑ	ˈa	0.172
ˈɑ	ˈɛɪ̯	0.088
ˈɔ	ˈaʊ̯	0.318
ˈɔ	ˈaː	0.168
ˈɔ	ˈeː	0.168
ˈɔ	ˈɔ	0.116
ˈɔ	ˈa	0.085
ˈɔ	ˈaɪ̯	0.085
ˈɔ	ˈøː	0.059
ˈɛ	ˈeː	0.182
ˈɛ	ˈɛ	0.138
ˈɛ	ˈaɪ̯	0.107
ˈɛ	ˈaʊ̯	0.107
ˈɛ	ˈʏ	0.099
ˈɛ	ˈoː	0.09
ˈɛ	ˈɪ	0.077
ˈɛ	ˈœ	0.055
ˈɝ	ˈɔː	0.375
ˈɝ	ˈœ	0.333
ˈɝ	ɐ	0.175
ˈɝ	ˈaː	0.116
ˈɪ	ˈɪ	0.566
ˈɪ	ˈʏ	0.156
ˈɪ	ˈø	0.062
ˈɪ	ˈɔʏ̯	0.056
ˈʊ	ˈʊ	0.449
ˈʊ	ˈaʊ̯	0.414
ˈʊ	ˈuː	0.136
ˈʌ	ˈʊ	0.413
ˈʌ	ˈoː	0.142
ˈʌ	ˈʏ	0.095
ˈʌ	ˈuː	0.088
ˈʌ	ˈøː	0.069
ˈʌ	ˈɛɪ̯	0.062
ˈʌɪ̯	ˈɪ	0.359
ˈʌɪ̯	ˈiː	0.285
ˈʌɪ̯	ˈa	0.227
ˈʌɪ̯	ˈɛ	0.128
θ	d	0.817
θ	-	0.114
θ	t	0.069
