Swabian	Old Frisian	probability
ˈɔə̯	ˈoː	1.0
ˈɔ	ˈɔː	1.0
ˈuː	ˈoː	1.0
ˈiː_ɡ	ʣ	1.0
ˈiː	ˈi̯aː	1.0
ˈiə̯	ˈi̯aː	1.0
ʕ	r	1.0
ʋ	w	1.0
ʃ_d	s_t	1.0
ʁ_ˈae̯	r	1.0
ɪ_ɡ	ə_x	1.0
ɡ_s	k_s	1.0
t	d	1.0
s_ˈa	s_ˈa	1.0
s_a	t_ə	1.0
kʰ	ʦ	1.0
i	i_ŋ	1.0
h	h	1.0
eə̯	iː_n	1.0
e	ə	1.0
d_ʁ	d_r	1.0
b̥͡f	pː	1.0
l	l	0.926
m	m	0.909
n	n	0.862
ˈe	ˈi	0.818
ʁ	r	0.796
ŋ	ŋ_ɡ	0.777
ˈɛ	ˈe	0.752
ˈuə̯	ˈoː	0.75
a	ə	0.723
f	f	0.706
ˈɔː	ˈeː	0.705
ˈoː	ˈaː	0.683
ˈao̯	ˈuː	0.669
ˈɛː	ˈe	0.667
b	b	0.664
ʃ	s_k	0.66
x	x	0.627
ˈo	ˈu	0.616
ˈəi̯	ˈiː	0.615
ʦ	t	0.613
ʌ	ə_r	0.612
ˈɪ	ˈi	0.562
ˈu	-	0.556
d	d	0.544
ˈi	ˈi	0.541
s	s	0.519
ˈae̯	ˈeː	0.514
ˈaː	ˈe	0.507
ˈɔe̯	ˈɛː	0.504
ˈeː	ˈɛː	0.5
ˈeː	ˈe	0.5
ç	k	0.5
ˈae̯	ˈɛː	0.486
ˈɪ	-	0.438
ˈa	ˈa	0.434
ʦ	tː	0.387
x	k	0.373
ʃ	s	0.34
b	v	0.336
ˈɛː	-	0.333
ˈao̯	ˈaː	0.331
ʌ	r	0.323
ɡ	ɣ	0.319
s	t	0.318
ˈoː	ˈu	0.317
d	θ	0.3
ç	-	0.296
ˈɔː	ˈɔː	0.295
f	p	0.294
ˈɔe̯	ˈaː	0.286
ˈi	-	0.265
ˈaː	-	0.253
ˈa	ˈe	0.251
ˈuə̯	ˈeː	0.25
ˈaː	ˈoː	0.24
ɡ	ɡ	0.234
ˈəi̯	ˈi	0.231
ɡ	j	0.23
ˈo	ˈo	0.225
ŋ	ŋ	0.223
ˈu	ˈu	0.222
ˈu	ˈe	0.222
ˈɔe̯	ˈɛː_n	0.21
ʁ	-	0.204
ç	k_ə	0.204
ˈi	ˈo	0.194
ˈa	ˈɔː	0.19
ˈe	ˈe	0.182
ˈo	ˈɔː	0.159
ˈəi̯	ˈi̯uː	0.154
ˈɛ	ˈi	0.152
s	z	0.143
ˈa	-	0.125
n	nː	0.102
a	j_ə	0.102
ˈɛ	ˈeː	0.097
m	mː	0.091
ɡ	k	0.083
a	a	0.076
ʌ	e_r	0.065
ɡ	kː	0.06
ɡ	ɡː	0.053
d	ð	0.053
a	n	0.05
