Old High German	Nynorsk Norwegian	probability
ˈɑː	ˈoː	1.0
ˈɑ_x	ˈɔ	1.0
ˈiː_t	ˈiː	1.0
ˈie̯	ˈeː	1.0
ˈi_x	ˈeː_ɡ	1.0
ˈi_n	ˈiː	1.0
ˈei̯	ˈæɪ̯	1.0
ʦ	tʰ	1.0
ɡ_r	ɡ_ɾ	1.0
ɡ_eː	j	1.0
ɛ_h	tː	1.0
ɛ	e	1.0
ə	ɑ	1.0
ɑ_n	ɑ	1.0
ŋ_ɡ	ŋː	1.0
ŋ_k	ʰkː	1.0
x_t	ʰtː	1.0
x	k	1.0
v	ɾ_ˈuː	1.0
tː	-	1.0
s̻ː	t	1.0
s_t	s_t	1.0
s_k	ʂ	1.0
rː	ɾ	1.0
r_ʦ	ɾ_t	1.0
r_d	ˈuː_ɾ	1.0
p͡f	pʰ	1.0
p	p	1.0
oː	ɑ	1.0
ou̯	ˈæʉ̯	1.0
nː	nː	1.0
n_t	nː	1.0
n_s	sː	1.0
n_d	nː	1.0
mː	m_j	1.0
lː	lː	1.0
kː	ɡː	1.0
kʰ	kʰ	1.0
k	k	1.0
i_ŋ	ŋ	1.0
fː	p	1.0
e_n	ɑ	1.0
e	-	1.0
r	ɾ	0.986
m	m	0.934
s	s	0.885
s̻	t	0.849
l	l	0.848
o	e	0.833
i	-	0.833
ˈiː	ˈiː	0.822
ɡ	ɡ	0.818
f	f	0.807
ŋ	ŋː	0.76
b	b	0.738
n	n	0.736
ˈuː	ˈʉː	0.677
h	h	0.667
ˈɑ	ˈɑ	0.659
xː	k	0.658
ˈuo̯	ˈuː	0.649
d	tʰ	0.647
ˈoː	ˈæʉ̯	0.593
ˈe	ˈɛ	0.59
w	ʋ	0.579
ˈou̯	ˈæʉ̯	0.563
u	e	0.56
ˈi	ˈɪ	0.508
ˈeː	ˈøː	0.5
ˈeː	ˈoː	0.5
ˈiu̯	ˈyː	0.451
t	-	0.449
u	-	0.44
ˈou̯	ˈœʏ̯	0.437
ˈe	-	0.41
ˈio̯	ˈʉː	0.408
ˈoː	ˈœʏ̯	0.407
ˈio̯	ˈyː	0.399
ɑ	-	0.388
ˈu	ˈʉ	0.379
ˈiu̯	-	0.354
ˈuo̯	ˈøː	0.351
xː	ç	0.342
h	-	0.333
ˈuː	-	0.323
t	d	0.301
ɑ	ə	0.286
w	-	0.277
ˈo	-	0.265
ˈɛ	ˈɛ	0.251
ˈo	ˈʊ	0.251
ˈo	ˈʉ	0.245
ŋ	ɲ	0.24
ˈɛ	-	0.222
ˈɛ	j	0.215
d	-	0.213
ˈɑ	ˈɑː	0.212
ˈu	ˈɔ	0.21
ˈu	ˈʏ	0.208
ˈiu̯	ˈʏ	0.194
ˈio̯	-	0.193
b	ʋ	0.192
ɑ	ɑ	0.183
ɡ	j	0.182
ˈiː	ˈɛ	0.178
o	n	0.167
ˈɛ	ˈeː	0.161
s̻	ʰtː	0.151
ˈi	ˈʏ	0.15
t	ʰtː	0.15
ɑ	e	0.143
ˈo	ˈɔ	0.142
d	d	0.14
l	lː	0.119
s	ʂ	0.115
ˈi	ˈiː	0.104
t	t	0.1
n	-	0.099
f	ʋ	0.098
ˈo	ˈʉː	0.097
ˈi	ˈɛ	0.097
i	e	0.096
ˈɛ	ˈæː	0.092
ˈi	ˈeː	0.092
n	nː	0.092
w	kʰ_ʋ	0.085
ˈu	ˈʊ	0.083
f	p	0.079
n	ɑ	0.073
i	e_ɾ	0.071
b	-	0.069
ˈɑ	ˈɛ	0.066
m	mː	0.066
ˈɑ	-	0.064
ˈɛ	ˈæ	0.06
ˈu	ˈœ	0.06
ˈu	-	0.06
w	v	0.059
