Danish	Old High German	probability
ˈɛː	ˈɑ	1.0
ˈɔː	ˈɑː	1.0
ˈɔ	ˈuː	1.0
ˈɒˀ	ˈɑː	1.0
ˈœː	ˈe	1.0
ˈøˀ_ð̞ˠ	s̻	1.0
ˈø_m	mː	1.0
ˈø	-	1.0
ˈæˀ	ˈɑ	1.0
ˈæ	ˈɑ	1.0
ˈyː	ˈio̯	1.0
ˈy	-	1.0
ˈoː	-	1.0
ˈi	ˈi	1.0
ˈeː	-	1.0
ʨ	d_ˈo	1.0
ɡ̊_d̥	x_t	1.0
ɕ	s	1.0
ɐˀ_n	r_n	1.0
ɐˀ	r	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ_ɡ	1.0
pʰ	p͡f	1.0
mˀ	m	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
jˀ	ɡ_ɑ	1.0
j_ˈɛ	ˈɛ	1.0
i	ɑ_ɡ	1.0
h	h	1.0
e	ɑ	1.0
b̥_ə	f_ɑ	1.0
s	s	0.971
f	f	0.904
b̥	b	0.877
ʋ	w	0.849
ˈɛˀ	-	0.826
ˈuˀ	ˈuː	0.816
n	n	0.798
ˈøˀ	ˈoː	0.784
ˈoˀ	ˈuo̯	0.774
ˈiˀ	ˈiː	0.738
ʁ	r	0.733
ˈu	ˈu	0.722
ˈœ	ˈu	0.717
ʦʰ	d	0.713
ˈɔˀ	ˈɑː	0.704
ˈe	ˈi	0.665
d̥	t	0.655
ˈeˀ	ˈei̯	0.65
ˈuː	ˈuː	0.631
ˈɑˀ	ˈɑ_r	0.625
ɡ̊	k	0.624
ˈʌ	-	0.616
ˈo	-	0.598
ˈyˀ	ˈio̯	0.571
ˈɛ	ˈɛ	0.564
nˀ	n_t	0.537
ˈøː	ˈuo̯	0.536
ˈœˀ	-	0.515
ˈiː	ˈiː	0.507
ˈɑ	ˈɑ	0.506
ˈiː	-	0.493
ɐ	r	0.488
ˈøː	ˈoː	0.464
ˈyˀ	ˈiu̯	0.429
ˈo	ˈo	0.402
ð̞ˠ	t	0.398
w	b	0.393
lˀ	l	0.377
ˈɑˀ	-	0.375
ˈuː	-	0.369
j	ˈɛ	0.321
ð̞ˠ	s̻	0.32
ˈɔˀ	h_ɑ	0.296
ə	ɑ	0.289
ˈœˀ	ˈoː	0.287
ʦʰ	ʦ	0.287
w	ɡ	0.285
ˈœ	-	0.283
ˈɛ	ˈi	0.282
lˀ	l_b	0.282
nˀ	n	0.278
ˈiˀ	ˈi	0.262
j	ɡ	0.259
w	b_ɑ	0.24
j	h	0.237
ˈɑ	ˈi	0.236
ˈoˀ	ˈu_r	0.226
ˈeˀ	-	0.221
ɡ̊	kː	0.22
ə	ɑ_n	0.218
ˈøˀ	ou̯	0.216
ˈʌ	ˈu	0.214
ɐ	ɑ_r	0.214
ˈœˀ	rː	0.198
ð̞ˠ	s̻ː	0.197
lˀ	lː	0.196
nˀ	nː	0.185
ˈuˀ	-	0.184
j	ˈei̯	0.182
d̥	ʦ	0.182
ˈɛˀ	ˈie̯	0.174
ˈʌ	ˈɑ	0.17
ˈu	ˈo	0.17
d̥	x_t	0.163
ˈɛ	x	0.153
ə	o	0.145
lˀ	l_d	0.145
ə	e_n	0.138
ˈe	ˈe	0.136
ʁ	r_ˈou̯	0.136
n	nː	0.136
ə	n	0.131
ˈɑ	ˈɛ	0.129
ˈɑ	-	0.129
ˈeˀ	ˈeː	0.128
ɐ	i	0.123
ˈu	w_ˈo	0.108
ʁ	r_ˈiː	0.108
ˈe	ˈɑ	0.105
ʋ	w_ˈi	0.104
f	f_ˈo	0.096
ˈe	ˈɛ	0.095
ð̞ˠ	d	0.086
w	ɑ	0.082
ɡ̊	x	0.081
ə	-	0.079
ɡ̊	ɡ_ˈɛ	0.075
b̥	fː	0.074
n	n_d	0.066
ɐ	r_ɑ	0.059
ɐ	r_i	0.059
ɐ	ɛ_r	0.058
