Ladin	Ladin	probability
ˈɛ_k	ɡː	1.0
ˈɛ_f	β_u	1.0
ˈɛ_d	ʧː	1.0
ˈu	ˈu	1.0
ˈe_j	ˈe	1.0
ˈe_#>	ˈa_#>	1.0
ˈa_w	ˈa	1.0
ˈa	ˈa	1.0
ʧ	ʦ	1.0
ʥ	ʤ	1.0
ʤ	ʤː	1.0
ɲ	ɲː	1.0
ŋ	ŋ	1.0
z	z	1.0
w_r	r_i	1.0
u	u	1.0
r_ˈe	r	1.0
p_l	p_j	1.0
p_#>	p_u_#>	1.0
o_l	u_r	1.0
l_j	l_i	1.0
k_l	ʧ	1.0
k_#>	ɡ_u_#>	1.0
j_ˈɛ	ˈe	1.0
j_t	dː_u	1.0
i	i	1.0
e_r	r_u	1.0
d_a	dː_a	1.0
b	b	1.0
a_ʧ	e	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_i	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
a	a	0.938
f	f	0.905
ˈi	ˈi	0.88
p	p	0.87
n	n	0.854
k	k	0.783
d	d	0.72
ˈɔ	ˈɔ	0.682
#>	u_#>	0.673
m	m	0.667
w	ˈɔ	0.65
ˈo	ˈo	0.621
t	t	0.6
s_#>	j_#>	0.6
<#	<#_b	0.6
v	v	0.583
r	r	0.571
e	i	0.565
ʨ	k	0.545
ʃ	ʦ	0.538
ɡ	ɡ	0.538
s	s	0.536
ʒ	ʤ	0.5
o	u	0.5
e_#>	ˈi_#>	0.5
e_#>	#>	0.5
ˈɛ	ˈɛ	0.48
ɡ	-	0.462
ʦ	ʦː	0.429
ʦ	ʦ	0.429
s_#>	#>	0.4
<#	<#_i	0.4
ˈe	ˈɛ	0.35
ʒ	-	0.333
m	mː	0.333
j	ʎː	0.333
j	-	0.333
#>	i_#>	0.327
ʃ	-	0.308
ˈe	ˈi	0.3
o	-	0.3
t	tː	0.286
l	r	0.267
l	dː	0.267
e	a	0.261
ˈɛ	ˈa	0.24
ˈɔ	ˈo	0.227
ʨ	-	0.227
v	β	0.208
ˈe	ˈe	0.2
o	r	0.2
l	j	0.2
s	sː	0.179
e	u	0.174
ˈo	ˈu	0.172
ʒ	ʒ	0.167
j	ˈe	0.167
j	i_d	0.167
ʃ	ɬ	0.154
ˈe	-	0.15
w	-	0.15
ʦ	ʣ	0.143
s	ɬ	0.143
ˈɛ	ˈe	0.14
ʨ	ʦ	0.136
l	u	0.133
p	pː	0.13
v	-	0.125
ˈi	-	0.12
d	-	0.12
t	dː	0.114
ˈo	ˈɔ	0.103
ˈo	-	0.103
r	rː	0.102
w	ˈo	0.1
w	ˈa	0.1
f	β	0.095
ˈɔ	ˈa	0.091
ʨ	kː	0.091
k	u	0.087
k	k_w	0.087
v	b	0.083
d	ʧː	0.08
d	dː	0.08
s	z	0.071
s	-	0.071
l	lː	0.067
l	i	0.067
n	nː	0.062
r	ɬ	0.061
r	j	0.061
r	i	0.061
r	-	0.061
ˈɛ	u	0.06
