Gothic	Swedish	probability
a	a	0.419
a	-	0.379
a	ɛ	0.17
a	ɪ	0.035
aː	-	0.473
b	b	0.834
b	v	0.103
b	-	0.056
d	d	0.721
d	-	0.167
d	lː	0.065
d	ɡː	0.042
e	-	0.473
f	f	0.859
f	-	0.079
f	v	0.052
f_s	v	1.0
h	h	0.489
h	-	0.321
h	ŋː	0.067
h	ŋ	0.044
h	ɡ	0.039
h_t	tː	1.0
i	-	0.639
i	ɪ	0.179
i	ɵ	0.179
i_f	v	1.0
i_l	l	0.473
iː	-	0.473
j	-	0.709
j	r	0.158
j	ˈyː	0.107
k	kʰ	0.552
k	k	0.133
k	kː	0.126
k	sː	0.09
k	-	0.044
k_s	k	0.473
kʷ	kʰ	1.0
l	l	0.826
l	-	0.066
l	ɛ_l	0.059
l	l_ɛ	0.043
lː	lː	1.0
m	m	0.824
m	mː	0.17
m_s	m	1.0
n	-	0.479
n	n	0.452
n	nː	0.046
n	r	0.026
n_s	n	1.0
n_θ	nː	1.0
nː	nː	1.0
oː	a	0.701
oː	-	0.142
oː	n	0.073
oː	ɛ	0.069
p	p	0.583
p	pː	0.263
p	v	0.089
p_s	p	1.0
r	r	0.802
r	-	0.047
r	ˈuː	0.039
r	ˈæ	0.039
r	ɖ	0.035
r_n	ɳ	1.0
s	-	0.603
s	s	0.323
s	ɧ	0.072
s_k	ɧ	1.0
t	t	0.3
t	tʰ	0.239
t	-	0.134
t	tː	0.124
t	ʈː	0.08
t_s	t	0.618
t_s	tː	0.367
u	-	0.539
u	ʊ	0.207
u	ˈʉː	0.136
u	ɛ	0.095
w	v	0.561
w	-	0.35
w	ˈʏ	0.084
w_ˈu	ˈɵ	1.0
x	ɡ	0.473
z	r	0.359
z	s	0.17
ð	-	0.784
ð	r	0.116
ŋ	-	0.53
ŋ	ˈɵ	0.304
ŋ	ŋ	0.097
ŋ_ɡ	ŋː	1.0
ɔː	a	0.224
ɡ	ɡ	0.535
ɡ	j	0.256
ɡ	ŋ	0.074
ɡ	-	0.057
ɡ	k	0.055
ɡʷ	ŋː	1.0
ɡːʷ	ɡ	0.473
ɣ	ɡ	1.0
ʍ	v	0.206
ʍ	-	0.18
ˈa	ˈa	0.47
ˈa	ˈɑː	0.181
ˈa	ˈɛ	0.161
ˈa	ˈoː	0.078
ˈa	ˈɔ	0.063
ˈeː	ˈoː	0.641
ˈeː	ˈæː	0.202
ˈeː	ˈɑː	0.126
ˈi	ˈɪ	0.332
ˈi	-	0.202
ˈi	ˈɛ	0.174
ˈi	ˈeː	0.122
ˈi	ˈɛː	0.043
ˈiu̯	ˈʉː	0.372
ˈiu̯	ˈɛː	0.26
ˈiu̯	-	0.123
ˈiu̯	ʊ	0.077
ˈiu̯	ˈʏ	0.054
ˈiː	ˈiː	0.699
ˈiː	ˈeː	0.121
ˈiː	ˈɪ	0.112
ˈoː	ˈuː	0.671
ˈoː	ˈʊ	0.187
ˈoː	ˈyː	0.11
ˈu	ˈɵ	0.461
ˈu	ˈʊ	0.145
ˈu	ˈoː	0.096
ˈu	ˈœ	0.073
ˈu	ˈa	0.058
ˈuː	ˈʉː	0.796
ˈuː	ˈʊ	0.151
ˈɔ	ˈuː	0.416
ˈɔ	ˈøː	0.215
ˈɔ	ˈʉː	0.187
ˈɔ	ˈʊ	0.122
ˈɔː	ˈøː	0.592
ˈɔː	ˈɵ	0.149
ˈɔː	ˈɔ	0.149
ˈɔː	ˈoː	0.073
ˈɔː_s	ˈœː	1.0
ˈɛ	j	0.352
ˈɛ	ˈɛ	0.352
ˈɛ	ˈæː	0.105
ˈɛ	ˈiː	0.066
ˈɛ	ˈeː	0.066
ˈɛː	ˈeː	0.398
ˈɛː	ˈɛ	0.251
ˈɛː	ˈʉː	0.144
ˈɛː	ˈɛː	0.098
ˈɛː	ˈoː	0.068
ˈɛː_w	ˈøː	1.0
β	-	0.583
β	v	0.398
θ	d	0.437
θ	tʰ	0.166
θ	-	0.153
θ	ɖ	0.088
θ	ɕ	0.067
θ_s	d	1.0
θ_u	d	0.473
