Gothic	Swedish	probability
f	f	1.0
i	-	1.0
iː	-	1.0
j	-	1.0
kʷ	kʰ	1.0
nː	nː	1.0
ð	-	1.0
ŋ	-	1.0
ɣ	ɡ	1.0
ʍ	v	1.0
ˈeː	ˈoː	1.0
ˈiː	ˈiː	1.0
ˈoː	ˈuː	1.0
ˈuː	ˈʉː	1.0
ˈɔː	ˈøː	1.0
ˈɛ	ˈɛ	1.0
k	kʰ	0.291
ˈa	ɛ_#>	0.1
ˈi	ˈɛ	0.301
ˈɔ	ˈøː	0.131
a	-	0.642
s	-	0.352
s	s	0.572
w	v	0.802
ɡ	-	0.412
ˈa	ˈɛ	0.142
ˈi	ˈeː	0.052
ˈɛː	ˈeː	0.742
β	v	0.332
d	d	0.733
l	l	0.983
m	m	0.783
p	pː	0.163
θ	tʰ	0.273
k	k	0.494
oː	-	0.264
t	tː	0.204
t	t	0.544
u	ʊ	0.584
ɡ	ɡ_ɛ	0.114
k	-	0.145
n	-	0.115
n	n	0.865
ˈiu̯	ˈɛː	0.095
ˈu	ˈɵ	0.845
b	b	0.986
h	-	0.146
h	h	0.756
oː	a	0.736
s	ɧ	0.076
t	tʰ	0.196
u	-	0.416
ɡ	ɡ	0.376
ˈa	ˈɑː	0.126
ˈi	ˈɪ	0.616
θ	-	0.36
d	-	0.267
m	mː	0.217
p	p	0.837
r	r	0.977
ˈa	j_#>	0.087
ˈa	ˈoː	0.127
ˈa	ˈa	0.37
ˈiu̯	-	0.537
θ	d	0.367
a	ɛ	0.358
h	ŋː	0.098
w	-	0.198
ɡ	ŋ	0.098
ˈiu̯	ˈʉː	0.368
ˈu	ˈoː	0.108
ˈɛː	ˈɛ	0.258
β	-	0.668
k	kː	0.069
ˈɔ	ˈuː	0.869
