Campidanese	Neapolitan	probability
ă	-	1.0
f	f	1.0
nː	nː	1.0
sː	sː	1.0
z	-	1.0
ŋ	ŋ	1.0
ɖː	lː	1.0
ɲː	ɲː	1.0
ʃː	ʃː	1.0
ʒ	ʃ	1.0
ʣ	ʎː	1.0
ʤ	-	1.0
ˈu	ˈu	1.0
e	i	0.071
i	ə	0.811
j	kː_j	0.731
k	kː	0.171
k	k	0.771
rː	ɾ_n	0.71
t	w_t	0.061
ˈi	ˈe	0.161
a	a	0.12
b	v	0.92
d	-	0.12
l	l	0.892
m	mː	0.172
o	o	0.12
ð	t	0.942
ɡ	-	0.2
ʧ	ʃ	0.892
p	k_j	0.113
r	r	0.163
t	t	0.743
ˈi	ˈi	0.813
β	v	0.063
e	ə	0.874
rː	-	0.184
u	ə	0.944
w	w	0.874
ɣ	k	0.784
ˈe	ˈɛ	0.424
a	ə	0.875
i	i	0.115
j	j	0.055
j	ə	0.065
j	-	0.15
o	ə	0.175
o	u	0.705
rː	rː	0.105
ˈa	ˈa	0.955
ˈe	ˈi	0.165
ˈo	ˈu	0.145
ˈo	ˈɔ	0.295
b	p	0.056
t	tː	0.196
w	-	0.126
ɣ	-	0.216
ˈo	ˈo	0.16
ˈo	w_ˈɔ	0.36
n	-	0.157
p	p	0.887
ˈe	ˈe	0.107
ˈe	j_ˈɛ	0.257
β	p	0.737
d	d	0.88
k	-	0.058
l	-	0.088
m	m	0.828
n	n	0.798
r	-	0.228
s	ʃ	0.218
s	s	0.768
ð	-	0.058
ɡ	ɡ	0.8
ʧ	j	0.108
r	ɾ	0.609
β	-	0.199
