Nuorese	Nuorese	probability
β_ɛ	w_ə	1.0
ˈɔ_n	ˈu_n	1.0
ˈi_ɾ	ˈi_r	1.0
ʦ	-	1.0
ʣ_u_#>	ʎ_#>	1.0
ɾ_ˈa	l_e̯ˈa	1.0
ɾ_u	ʎ_u	1.0
ɾ_b	r_b	1.0
ɾ_a	ʎ_i	1.0
ɲ	n_j	1.0
ɣ	-	1.0
ɛ̆	-	1.0
ɛ_#>	#>	1.0
ɖː_u_#>	l_#>	1.0
ɖː	-	1.0
ŋ	-	1.0
ð	d	1.0
z_ɔ̆_#>	#>	1.0
z	-	1.0
u_#>	#>	1.0
t_ɾ	t_r	1.0
s_k	ʃ_t	1.0
s_i	ʃ	1.0
p_ˈɛ	k_e̯ˈa	1.0
n_ɛ	n_e	1.0
n_u_#>	n_#>	1.0
n_t	m_t	1.0
l_u_#>	r_#>	1.0
l	r	1.0
k_ɾ	k_ʎ	1.0
k_u_#>	k_#>	1.0
e	i	1.0
d	d	1.0
b_i	j_i	1.0
ă	-	1.0
a_t	ə_t	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_o	<#_u	1.0
<#_n	<#_n	1.0
<#_i	<#	1.0
<#	<#_a	1.0
p	p	0.917
n	n	0.905
s	s	0.88
ɛ	i	0.86
<#_l	<#_l	0.857
ɾ	r	0.84
ˈu	ˈu	0.826
ˈo	ˈo	0.818
m	m	0.806
β	-	0.75
k	k	0.75
a	ə	0.745
u	u	0.714
k_ɛ	ʦ_i	0.714
nː	n	0.7
t	t	0.679
i	i	0.667
<#_b	<#	0.667
<#_a	<#_a	0.667
ˈa	ˈa	0.643
f	f	0.643
o	u	0.6
j	j	0.6
ɡ	ʣ	0.571
ɔ	u	0.556
b	b	0.556
ˈɔ	o̯ˈa	0.55
ɛ_ɾ	i_r	0.545
ˈe	ˈe	0.533
ˈi	ˈi	0.531
ɡ	ɡ	0.429
o	-	0.4
j	-	0.4
ʣ	ʤ	0.375
ʣ	ʎ	0.375
r	r_n	0.375
r	r	0.375
f	ç	0.357
i	-	0.333
b	v	0.333
<#_b	<#_j	0.333
<#_a	<#	0.333
ˈɛ	ˈi	0.3
nː	-	0.3
k_ɛ	k_ə	0.286
ɛ_ɾ	r	0.273
ˈe	e̯ˈa	0.267
β	w	0.25
ˈɛ	ˈa	0.25
ˈɛ	e̯ˈa	0.25
ˈɔ	ˈo	0.25
ˈi	e̯ˈa	0.25
ʣ	-	0.25
r	a_r	0.25
ɔ	i	0.222
ɔ	-	0.222
ˈa	ˈɨ	0.214
k	ʦ	0.205
ˈɛ	ˈe	0.2
ˈe	ˈi	0.2
ˈo	ˈu	0.182
ɛ_ɾ	e̯ˈa_r	0.182
t	p_t	0.179
ɾ	l	0.16
u	ə	0.143
u	i	0.143
t	ʦ	0.143
<#_l	<#_ʎ	0.143
ˈi	ˈe	0.125
s	ʃ	0.12
b	z_b	0.111
ˈɔ	ˈu	0.1
ˈɔ	u	0.1
m	ɲ	0.097
m	-	0.097
ˈa	-	0.095
n	-	0.095
ˈi	-	0.094
ˈu	o̯ˈa	0.087
ˈu	-	0.087
a	-	0.085
p	k	0.083
ɛ	-	0.07
a	i	0.064
a	a	0.064
