Friulian	Friulian	probability
ˈɔː	ˈɔ	1.0
ˈɔ	ˈɔ	1.0
ˈoː_r	ˈo_r	1.0
ˈiː_#>	ˈi_r_#>	1.0
ˈeː_#>	ˈe_r_#>	1.0
ˈeː	ˈe	1.0
ˈaː_t_#>	ˈa_#>	1.0
ˈaː_#>	ˈa_r_#>	1.0
ˈaː	ˈa	1.0
ˈa_t	ˈa_t	1.0
ˈa_s	ˈa_s	1.0
ˈa_l	ˈa_l	1.0
ʧ_i	s_i	1.0
ɟ	-	1.0
ŋ_#>	n_#>	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈi	ˈo	1.0
w_ˈa	ˈɔ	1.0
w_r	r_o	1.0
v	v	1.0
u_r	o_r	1.0
t_#>	d_o_#>	1.0
s_ˈa	s_ˈa	1.0
r_t	r_t	1.0
r_i	r_e	1.0
r_e	r_a	1.0
r_#>	r_o_#>	1.0
r	r	1.0
p_l	p_j	1.0
p	p	1.0
l_i	ʧ_o	1.0
l_#>	ɰ_o_#>	1.0
k_o	k_o	1.0
k_l	ʧ	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈu	z_ˈu	1.0
i_#>	e_r_#>	1.0
f_#>	v_o_#>	1.0
e_n	e_ŋ	1.0
e_m	e_m	1.0
d_e	a	1.0
b	b	1.0
a_r	a_r	1.0
a_d	a	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_z	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_i	<#_i	1.0
<#_a	<#_a	1.0
<#	<#_ɡ	1.0
ˈa	ˈa	0.938
c	k	0.913
m	m	0.909
t	t	0.905
s	s	0.881
e	a	0.877
d	d	0.867
f	f	0.84
ˈo	ˈo	0.839
ˈi	ˈi	0.828
ŋ	ŋ	0.821
ˈe	ˈe	0.792
ˈu	ˈu	0.765
ɡ	ɡ	0.75
s_#>	z_e_#>	0.75
<#_ɡ	<#_ɡ	0.75
k	k	0.704
z	z	0.7
<#_l	<#_ɰ	0.688
ʧ	s	0.684
ˈɛ	ˈe	0.667
ˈiː	ˈi	0.667
o	o	0.667
ɲ	ɲ	0.615
n	n	0.568
#>	o_#>	0.568
ˈɛ_l	o	0.5
ˈuː	ˈu	0.5
ˈuː	ˈo	0.5
u	o	0.5
u	-	0.5
n	ŋ	0.432
w	w	0.429
i	e	0.409
j	j	0.391
ɲ	n	0.385
l	l	0.379
ˈɛ	ˈɛ	0.333
ˈoː	ˈu	0.333
ˈoː	ˈo	0.333
ˈoː	-	0.333
ˈiː	j_ˈe	0.333
o	-	0.333
#>	e_#>	0.324
i	o	0.318
ʧ	z	0.316
<#_l	<#	0.312
z	-	0.3
w	o	0.286
w	-	0.286
j	ˈɛ	0.261
j	-	0.261
ˈɛ_l	ˈɛ_o	0.25
ˈɛ_l	ˈɛ	0.25
ɡ	-	0.25
s_#>	#>	0.25
<#_ɡ	<#	0.25
ˈu	-	0.235
l	ɰ	0.207
k	ɡ	0.185
i	i	0.182
ˈo	-	0.161
f	v	0.16
l	j	0.138
ˈe	ˈɛ	0.125
k	k_o	0.111
ŋ	-	0.107
ˈi	ˈe	0.103
l	o	0.103
l	-	0.103
e	e	0.096
t	-	0.095
m	ŋ	0.091
i	r	0.091
j	ʤ_o	0.087
c	-	0.087
ˈe	-	0.083
ŋ	n	0.071
s	z	0.071
ˈi	ˈɛ	0.069
l	ʧ	0.069
d	t	0.067
d	-	0.067
ˈa	ˈɔ	0.062
