Kashubian	Belarusian	probability
<#	i	1.0
<#_d	<#_d	1.0
<#_k	<#_k	1.0
<#_l	<#_lʲ	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_x	<#_x	1.0
<#_z	<#_zʲ	1.0
<#_ɡ	<#_ɣ	1.0
<#_ʒ	<#_ʐ	1.0
<#_ʣ	<#_ʣʲ	1.0
<#_ʦ	<#_ʦʲ	1.0
<#_ʧ	<#_ʧ	1.0
a_ŋ	æ	1.0
b	b	1.0
e	e	1.0
f_#>	w_#>	1.0
f_j	vʲ	1.0
i	i	1.0
i_#>	ɨ_#>	1.0
j_ˈɞ	æ	1.0
k	k	1.0
l	lʲ	1.0
l_#>	lʲ_#>	1.0
m	m	1.0
m_j	mʲ	1.0
m_ə	m_#>	1.0
n	n	1.0
p	pʲ	1.0
p_#>	p_#>	1.0
p_j	<#_pʲ	1.0
r	r	1.0
s_#>	s_#>	1.0
t	t	1.0
t_#>	t_#>	1.0
u̯ɛ_#>	a_#>	1.0
u̯ˈɛ_ʐ	ˈo_r	1.0
w_ˈɔ	ɫ_a	1.0
x_#>	x_#>	1.0
ŋ	æ	1.0
ɔ_#>	a_#>	1.0
ɛ_#>	a_#>	1.0
ɡ	ɣ	1.0
ɲ_#>	nʲ	1.0
ʐ	r	1.0
ʣ	ʣʲ	1.0
ʦ	ʦ	1.0
ʦ_#>	ʦʲ_#>	1.0
ʧ_i	kʲ_i_#>	1.0
ˈa_#>	ˈa	1.0
ˈa_ŋ	ˈæ	1.0
ˈi	ˈi	1.0
ˈõ	ˈu	1.0
ˈu	ˈo	1.0
ˈə	ˈɨ	1.0
ˈɞ_w	ˈo_w	1.0
k_#>	k_#>	0.571
ʃ	ʂ	0.571
w	-	0.2
<#_v	<#_v	0.333
a_#>	ˈa_#>	0.733
u̯ˈɛ	ˈo	0.333
z	zʲ	0.333
ˈɛ	ˈɵ	0.143
ˈɛ	ˈɛ	0.143
d	d	0.714
ˈe	ˈe	0.714
ˈɔ	ˈo	0.714
<#_j	<#	0.5
<#_j	<#_j	0.5
<#_s	<#_sʲ	0.375
<#_s	<#_s	0.625
<#_u̯ˈɛ	<#_a	0.5
<#_u̯ˈɛ	<#_v_ˈo	0.5
j	vʲ	0.5
j	ˈe	0.5
s	s	0.375
s	sʲ	0.625
v	vʲ	0.25
v	-	0.25
v	v	0.5
ˈa	-	0.375
ˈa	ˈe	0.625
ˈɞ	a	0.5
ˈɞ	ˈa	0.5
d	ʣʲ	0.286
ˈe	a	0.286
ˈɔ	a	0.286
ˈɛ	ˈo	0.286
<#_v	<#_vʲ	0.667
a_#>	a_#>	0.267
u̯ˈɛ	a	0.667
z	z	0.667
w	ɫ	0.8
k_#>	x_#>	0.429
ʃ	ʧ	0.429
ˈɛ	ˈe	0.429
