West Flemish	Dutch	probability
b	b	1.0
d	d	0.961
d	-	0.046
f	f	1.0
h	χ	0.948
h	-	0.058
j	j	0.699
j	ˈɛi̯	0.164
k	k	0.872
k	-	0.125
l	ɫ	0.975
l	l	0.04
l_v	l	1.0
m	m	1.0
n	n	1.0
p	p	1.0
s	s	0.978
t	t	1.0
v	v	1.0
v_ə	f	0.27
w	ɫ	0.675
w	w	0.304
z	z	0.963
z	s	0.051
ç	χ	0.519
ŋ	ŋ	1.0
ə	-	0.71
ə	ə	0.267
ɦ	χ	0.952
ɦ	ɦ	0.048
ɪ	ɪ	1.0
ɾ	ɾ	0.96
ɾ	-	0.044
ʃ	s	1.0
ʋ	ʋ	0.898
ʋ	-	0.065
ʋ	w	0.05
ˈeː	ˈeː	1.0
ˈi	ˈɛi̯	1.0
ˈiə̯	ˈi	0.745
ˈiə̯	ˈyː	0.116
ˈiə̯	ˈɛi̯	0.06
ˈiə̯	ˈɪ	0.054
ˈiə̯	ˈœy̯	0.053
ˈoː	ˈoː	0.78
ˈoː	ɦ_ˈoː	0.174
ˈoː	-	0.049
ˈu	ˈɑu̯	0.432
ˈu	ˈɔ	0.34
ˈu	ɦ_ˈɔ	0.214
ˈuə̯	ˈu	1.0
ˈyː	ˈœy̯	0.91
ˈyː	ˈɛi̯	0.084
ˈæ	ˈɛ	0.931
ˈæ	ˈɑ	0.072
ˈøː	ˈoː	0.644
ˈøː	ˈøː	0.254
ˈœ	ˈɔ	0.391
ˈœ	ˈʏ	0.307
ˈœ	ˈɪ	0.176
ˈœ	ˈɛi̯	0.09
ˈɑ	ˈɑ	1.0
ˈɒː	ˈaː	0.771
ˈɒː	ɦ_ˈaː	0.127
ˈɒː	ˈɑ	0.096
ˈɔ	ˈɔ	0.847
ˈɔ	ˈɑ	0.088
ˈɔ	ˈaː	0.069
ˈɛ	ˈɪ	0.54
ˈɛ	ˈɛ	0.317
ˈɛ	ˈɛi̯	0.111
ˈɛː	ˈeː	0.678
ˈɛː	ˈɛi̯	0.155
ˈɛː	ˈaː	0.134
ˈɪ	ˈɪ	0.793
ˈɪ	ˈʏ	0.078
ˈɪ	-	0.07
ˈɪ	ˈɛ	0.07
ˈʏ	ˈʏ	0.519
