German	Icelandic	probability
b	b̥	0.73
b	v	0.219
b	-	0.05
d	θ	0.653
d	ð	0.261
d	-	0.082
f	f	0.593
f	p	0.122
f	v_ʏ	0.074
f	p_ʏ	0.065
f	ʰp	0.043
f	f_j	0.036
f	-	0.034
f	v	0.033
h	h	0.887
h	ç	0.086
j	ˈu	0.66
j	-	0.144
k	ɡ̊	0.194
k	k	0.169
k	ɣ_ʏ	0.122
k	ʰk	0.111
k	rː̥	0.081
k	ɟ̊ː	0.081
k	ɡ̊ː	0.081
k	c	0.079
kʰ	kʰ	0.657
kʰ	cʰ	0.155
kʰ	-	0.076
l	l	0.645
l	l̥	0.282
l	l̥_ʏ	0.029
l	l_ʏ	0.026
l	-	0.026
m	m	0.574
m	m_ʏ	0.286
m	-	0.099
m	n̥	0.042
n	-	0.389
n	n	0.341
n	a	0.092
n	nː	0.073
n	n̥	0.054
n	t_n̥	0.03
n_d	nː	1.0
p	v_ʏ	0.583
p	-	0.229
p	f	0.141
p͡f	ʰp	0.407
p͡f	v	0.041
s	s	0.396
s	t	0.268
s	t_ʏ	0.173
s	sː	0.064
s	ʰt	0.049
s	ð	0.041
t	ð	0.349
t	t	0.184
t	-	0.12
t	ð_ʏ	0.109
t	d̥_ʏ	0.092
t	d̥	0.072
t	ʰt_ʏ	0.04
t	n	0.026
tʰ	d̥	0.856
tʰ	θ	0.138
v	v	0.69
v	-	0.258
v	ʰt	0.047
x	r̥	0.301
x	j	0.228
x	k	0.067
x_t	ʰt	1.0
z	s	0.916
z	r	0.044
z	v	0.043
ç	-	0.262
ç	k	0.242
ç	ɡ̊_ʏ	0.113
ç	ɡ̊	0.103
ç	ɣ	0.059
ç	c	0.055
ç	s	0.054
ç	x	0.054
ŋ	ŋ	0.939
ŋ	ɲ	0.047
ŋ_k	ʰk	1.0
ɐ	r̥	0.343
ɐ	r	0.29
ɐ	ɪ	0.196
ɐ	r_t	0.099
ɐ	-	0.046
ɐ	rː̥	0.026
ə	a	0.467
ə	-	0.308
ə	j_a	0.05
ə	ʏ	0.047
ə	ɡ̊_a	0.042
ə	ɪ	0.037
ə	ˈœː	0.025
ə	ˈɑːu̯	0.025
ɡ	ɡ̊	0.498
ɡ	ɟ̊	0.238
ɡ	-	0.139
ɡ	ɣ	0.109
ɪ	u	0.253
ɪ	ɑu̯	0.253
ɪ	-	0.147
ɪ	ɛː	0.096
ɪ	ŋ	0.091
ʁ	r	0.681
ʁ	-	0.172
ʁ	r_j	0.103
ʁ	s	0.043
ʃ	s	0.623
ʃ	s_k	0.203
ʃ	s_c	0.159
ʦ	tʰ	0.587
ʦ	t	0.229
ʦ	d̥	0.09
ʦ	ɣ	0.09
ˈa	ˈa	0.404
ˈa	ˈaː	0.155
ˈa	ˈɑu̯	0.143
ˈa	ˈɛ	0.069
ˈa	ˈaːi̯	0.062
ˈa	u	0.04
ˈa	ˈɔ	0.04
ˈa	ˈɔu̯	0.04
ˈa	ˈœ	0.031
ˈaɪ̯	ˈiː	0.473
ˈaɪ̯	ˈɛːi̯	0.249
ˈaɪ̯	ˈɛ	0.084
ˈaɪ̯	ˈœː	0.07
ˈaɪ̯	ˈɛi̯	0.057
ˈaɪ̯	ˈeːi̯	0.044
ˈaʊ̯	ˈuː	0.406
ˈaʊ̯	ˈœːy̯	0.288
ˈaʊ̯	ˈa	0.098
ˈaʊ̯	ˈiː	0.098
ˈaʊ̯	ˈœː	0.073
ˈaː	ˈaː	0.311
ˈaː	ˈɑːu̯	0.216
ˈaː	ˈœ	0.114
ˈaː	ˈɛːi̯	0.075
ˈaː	ˈɛː	0.075
ˈaː	ˈa	0.059
ˈaː	ˈaːu̯	0.049
ˈaː	ˈɔː	0.048
ˈeː	j_ˈoːu̯	0.239
ˈeː	j	0.142
ˈeː	ˈɛ	0.142
ˈeː	ˈɛː	0.124
ˈeː	ˈɑːu̯	0.094
ˈeː	ˈɪː	0.094
ˈeː	ˈaː	0.072
ˈeː	ˈœː	0.066
ˈiː	j_ˈoːu̯	0.277
ˈiː	ˈɛː	0.193
ˈiː	j	0.178
ˈiː	ˈiː	0.118
ˈiː	j_ˈuː	0.102
ˈiː	ˈʏː	0.102
ˈoː	ˈœːy̯	0.321
ˈoː	ˈɑːu̯	0.141
ˈoː	ˈʏ	0.107
ˈoː	ˈʏː	0.107
ˈoː	ˈɔ	0.079
ˈoː	ˈɛːi̯	0.078
ˈoː	ˈɔː	0.076
ˈoː	ˈaːu̯	0.055
ˈuː	ˈoːu̯	0.65
ˈuː	ˈuː	0.136
ˈuː	ˈiː	0.091
ˈuː	ˈɔu̯	0.091
ˈyː	ˈaːi̯	0.488
ˈyː	ˈi	0.28
ˈyː	ˈai̯	0.163
ˈøː	ˈou̯	0.175
ˈøː	ˈœy̯	0.133
ˈøː	ˈɛːi̯	0.133
ˈœ	ˈʏ	0.574
ˈœ	ˈou̯	0.268
ˈɔ	ˈɔ	0.276
ˈɔ	ˈʏ_t	0.209
ˈɔ	ˈɪ	0.124
ˈɔ	ˈu	0.082
ˈɔ	ˈɔu̯	0.082
ˈɔ	ˈʏː	0.082
ˈɔ	ˈʏ	0.063
ˈɔ	ˈou̯	0.048
ˈɔ	ˈœː	0.029
ˈɔʏ̯	ˈiː	0.466
ˈɔʏ̯	ˈʏː	0.134
ˈɔʏ̯	ˈʏ	0.095
ˈɔʏ̯	ˈeːi̯	0.089
ˈɔʏ̯	ˈi	0.089
ˈɔʏ̯	ˈai̯	0.06
ˈɛ	ˈɛ	0.461
ˈɛ	ˈa	0.14
ˈɛ	ˈɛː	0.088
ˈɛ	ˈaːi̯	0.064
ˈɛ	ˈɪ	0.064
ˈɛ	ˈʏː	0.064
ˈɛ	ˈœ	0.052
ˈɛ	j_ˈɛ	0.05
ˈɛː	ˈɑːu̯	0.354
ˈɛː	ˈœ	0.077
ˈɪ	ˈɪ	0.349
