German	Icelandic	probability
b	b̥	0.73
b	v	0.219
b	-	0.05
d	θ	0.653
d	ð	0.261
d	-	0.082
f	f	0.585
f	p	0.122
f	v_ʏ	0.074
f	p_ʏ	0.065
f	ʰp	0.043
h	h	0.887
h	ç	0.086
j	ˈu	0.66
j	-	0.145
k	ɡ̊	0.291
k	k	0.173
k	ɣ_ʏ	0.126
k	ʰk	0.114
k	rː̥	0.083
kʰ	kʰ	0.657
kʰ	cʰ	0.156
kʰ	-	0.076
l	l	0.66
l	l̥	0.312
l	-	0.026
m	m	0.574
m	m_ʏ	0.286
m	-	0.099
m	n̥	0.042
n	-	0.393
n	n	0.341
n	a	0.093
n	n̥	0.078
n	nː	0.074
n_d	nː	1.0
p	v_ʏ	0.583
p	-	0.229
p	f	0.141
p͡f	ʰp	0.407
p͡f	v	0.042
s	s	0.396
s	t	0.268
s	t_ʏ	0.173
s	sː	0.064
s	ʰt	0.049
t	ð	0.358
t	t	0.189
t	ð_ʏ	0.112
t	-	0.103
t	d̥_ʏ	0.095
tʰ	d̥	0.856
tʰ	θ	0.138
v	v	0.693
v	-	0.255
v	ʰt	0.046
x	j	0.285
x	r̥	0.133
x	k	0.082
x_t	ʰt	1.0
z	s	0.916
z	r	0.044
z	v	0.043
ç	-	0.262
ç	k	0.242
ç	ɡ̊_ʏ	0.113
ç	ɡ̊	0.103
ç	ɣ	0.059
ŋ	ŋ	0.939
ŋ	ɲ	0.047
ŋ_k	ʰk	1.0
ɐ	r̥	0.343
ɐ	r	0.29
ɐ	ɪ	0.196
ɐ	r_t	0.099
ɐ	-	0.046
ə	a	0.467
ə	-	0.308
ə	j_a	0.05
ə	ʏ	0.047
ə	ɡ̊_a	0.042
ɡ	ɡ̊	0.498
ɡ	ɟ̊	0.238
ɡ	-	0.139
ɡ	ɣ	0.109
ɪ	ɑu̯	0.253
ɪ	u	0.253
ɪ	-	0.148
ɪ	ɛː	0.097
ɪ	ŋ	0.091
ʁ	r	0.64
ʁ	-	0.172
ʁ	r_j	0.143
ʁ	s	0.043
ʃ	s	0.623
ʃ	s_k	0.203
ʃ	s_c	0.159
ʦ	tʰ	0.587
ʦ	t	0.229
ʦ	ɣ	0.09
ʦ	d̥	0.09
ˈa	ˈa	0.411
ˈa	ˈaː	0.143
ˈa	ˈɑu̯	0.143
ˈa	ˈɛ	0.069
ˈa	ˈaːi̯	0.062
ˈaɪ̯	ˈiː	0.486
ˈaɪ̯	ˈɛːi̯	0.255
ˈaɪ̯	ˈɛ	0.085
ˈaɪ̯	ˈœː	0.072
ˈaɪ̯	ˈɛi̯	0.044
ˈaʊ̯	ˈuː	0.406
ˈaʊ̯	ˈœːy̯	0.288
ˈaʊ̯	ˈa	0.098
ˈaʊ̯	ˈiː	0.098
ˈaʊ̯	ˈœː	0.073
ˈaː	ˈaː	0.332
ˈaː	ˈɑːu̯	0.212
ˈaː	ˈœ	0.112
ˈaː	ˈɛː	0.075
ˈaː	ˈɛːi̯	0.074
ˈeː	j_ˈoːu̯	0.239
ˈeː	ˈɛ	0.142
ˈeː	j	0.142
ˈeː	ˈɛː	0.124
ˈeː	ˈɪː	0.094
ˈiː	j	0.283
ˈiː	ˈoːu̯	0.277
ˈiː	ˈɛː	0.193
ˈiː	ˈiː	0.118
ˈiː	ˈʏː	0.102
ˈoː	ˈœːy̯	0.321
ˈoː	ˈɑːu̯	0.141
ˈoː	ˈʏ	0.107
ˈoː	ˈʏː	0.107
ˈoː	ˈɔ	0.079
ˈuː	ˈoːu̯	0.65
ˈuː	ˈuː	0.136
ˈuː	ˈɔu̯	0.091
ˈuː	ˈiː	0.091
ˈyː	ˈaːi̯	0.488
ˈyː	ˈi	0.28
ˈyː	ˈai̯	0.164
ˈøː	ˈou̯	0.176
ˈøː	ˈœy̯	0.133
ˈøː	ˈɛːi̯	0.133
ˈœ	ˈʏ	0.574
ˈœ	ˈou̯	0.269
ˈɔ	ˈɔ	0.276
ˈɔ	ˈʏ_t	0.209
ˈɔ	ˈɪ	0.124
ˈɔ	ˈɔu̯	0.082
ˈɔ	ˈu	0.082
ˈɔɪ̯	ˈeːi̯	0.468
ˈɔʏ̯	ˈiː	0.52
ˈɔʏ̯	ˈʏː	0.149
ˈɔʏ̯	ˈʏ	0.103
ˈɔʏ̯	ˈi	0.1
ˈɔʏ̯	ˈai̯	0.065
ˈɛ	ˈɛ	0.461
ˈɛ	ˈa	0.14
ˈɛ	ˈɛː	0.088
ˈɛ	ˈɪ	0.064
ˈɛ	ˈaːi̯	0.064
ˈɛː	ˈɑːu̯	0.355
ˈɛː	ˈœ	0.078
ˈɪ	ˈɪ	0.349
ˈɪ	ˈɪː	0.223
ˈɪ	ˈiː	0.118
ˈɪ	ˈi	0.111
ˈɪ	ˈɛ	0.089
ˈʊ	ˈɔ	0.293
ˈʊ	ˈoːu̯	0.229
ˈʊ	ˈʏ	0.174
ˈʊ	ˈu	0.138
ˈʊ	-	0.115
ˈʏ	ˈʏ	0.384
ˈʏ	ˈɪ	0.237
ˈʏ	ˈai̯	0.17
