Dutch	Dutch	probability
χ_#>	ɡ̊_#>	1.0
ˈɑ_χ	ˈa_x	1.0
ˈɑ_ɾ	ˈaː	1.0
ˈɑ_d̥	ˈɔː_d̥	1.0
ˈøː	ˈɔː	1.0
ˈyː	ˈaɪ̯	1.0
ˈeː_n	ˈeː	1.0
ˈaː_t	ˈa_s	1.0
ʋ	ʋ	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɦ	h	1.0
ə_ɾ	ɑ	1.0
ə_v̥	f	1.0
ə_n	ə	1.0
z̥	s	1.0
w	-	1.0
v̥	b̥	1.0
v_ə	ʋ	1.0
v	f	1.0
s_χ	ʃ	1.0
n_s	n_ʃ	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
k_#>	x_#>	1.0
j	j	1.0
i	eː	1.0
d_ə	d̥	1.0
d	d	1.0
b	b	1.0
<#_ɾ	<#_ɾ	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
#>	ɑ_#>	1.0
d̥	d̥	0.933
s	ʃ	0.905
ŋ	ŋ	0.846
ˈɪ	ˈɪ	0.792
n	n	0.78
ˈœy̯	ˈaʊ̯	0.75
z	s	0.75
ˈɑ	ˈa	0.739
ˈɛi̯	ˈaɪ̯	0.733
ˈʏ	ˈɪ	0.714
k	k	0.704
p	f	0.692
ə	-	0.667
ˈu	ˈuː	0.647
ˈi	ˈiː	0.647
χ_ə	j	0.6
ˈɑu̯	ˈa_l	0.6
ˈɔ	ˈʊ	0.565
χ	ɡ	0.556
ˈeː	ˈeː	0.542
ˈoː_ɾ	ˈaː	0.5
ˈoː_ɾ	ˈa	0.5
ɾ	ɾ	0.5
ˈɛ	ˈɛ	0.471
t	s	0.429
χ_ə	ɣ	0.4
ˈɑu̯	-	0.4
ɾ	ɑ	0.391
t	t	0.357
ˈɔ	ˈɔ	0.348
ə	ɪ	0.333
p	p	0.308
ˈaː	ˈoː	0.304
k	ç	0.296
ˈʏ	ˈɛ	0.286
ˈoː	ˈoː	0.276
ˈɛi̯	ˈeː	0.267
ˈaː	ˈɔː	0.261
ˈœy̯	ˈaɪ̯	0.25
z	ʃ	0.25
ˈoː	ˈɔː	0.241
ˈɛ	ˈɛː	0.235
ˈu	ˈiː	0.235
n	ə	0.22
ˈeː	ˈɛ	0.208
χ	ç	0.185
χ	k	0.185
ˈɛ	ˈɪ	0.176
ˈi	ˈeː	0.176
ˈi	ˈaɪ̯	0.176
ˈɑ	ˈɔː	0.174
ˈaː	ˈɛː	0.174
ˈaː	ˈa	0.174
ˈoː	ˈʊ	0.172
ŋ	ç	0.154
ˈoː	ˈeː	0.138
ˈɪ	ˈaɪ̯	0.125
t	ʦ	0.119
ˈɛ	-	0.118
ˈu	ˈʊ	0.118
ˈoː	-	0.103
t	d	0.095
s	k_s	0.095
ˈɔ	ˈaː	0.087
ˈɑ	ˈɛ	0.087
ˈaː	ˈɛ	0.087
ˈɪ	ˈa	0.083
ˈeː	ˈɪ	0.083
ˈeː	ˈɛ_d	0.083
ˈeː	-	0.083
χ	x	0.074
ˈoː	ˈɔ	0.069
d̥	-	0.067
ɾ	ˈɛː_ɑ	0.065
