Saterland Frisian	West Flemish	probability
b	b	0.926
b	-	0.074
d	d	0.446
d	t	0.302
d	-	0.146
d	ɾ_t	0.077
f	v	0.892
f	f	0.108
h	-	0.842
h	k	0.08
h	ɦ	0.078
i	iə̯	1.0
j	ˈiə̯	0.552
j	ɦ	0.202
j	-	0.088
j	j	0.064
k	k	0.668
k	h	0.31
l	l	0.714
l	w	0.208
l	-	0.077
m	m	0.925
m	-	0.075
n	n	0.958
p	p	0.987
r	ɾ	0.902
r	-	0.098
s	z	0.401
s	s	0.396
s	ʃ	0.111
s	-	0.059
t	t	0.896
t	d	0.076
v	ʋ	0.831
v	v	0.101
w	ə	0.662
w	ʋ	0.338
x	h	0.628
x	k	0.11
x	ç	0.074
x	ɦ	0.074
x	-	0.053
z	s	0.835
z	z	0.165
ŋ	ŋ	0.887
ŋ	-	0.113
ə	-	0.397
ə	ə	0.333
ə	n	0.253
ɡ	ɦ	1.0
ɣ	ɦ	0.923
ɣ	v	0.077
ɪ	ə	0.844
ɪ	ɪ	0.09
ɪ	-	0.066
ˈa	ˈɑ	0.603
ˈa	ˈæ	0.249
ˈa	ˈɔ	0.148
ˈaː	ˈɑ	0.508
ˈaː	ˈeː	0.194
ˈaː	ˈæ	0.194
ˈaː	ˈɛː	0.104
ˈaːi̯	ˈɒː	0.479
ˈaːi̯	ˈɑ	0.334
ˈaːi̯	ˈæ	0.187
ˈaːu̯	ɾ	0.774
ˈaːu̯	ˈɔ	0.168
ˈaːu̯	ˈoː	0.058
ˈeː	ˈɛː	0.461
ˈeː	ˈeː	0.311
ˈeː	ˈoː	0.157
ˈeːu̯	ˈeː	1.0
ˈi	ˈi	0.695
ˈi	ˈeː	0.135
ˈi	ˈiə̯	0.064
ˈi	ə	0.058
ˈiː	ˈɪ	0.312
ˈiː	ˈɒː	0.27
ˈiː	ˈæ	0.133
ˈiː	ˈiə̯	0.115
ˈiː	ˈi	0.078
ˈiː	ˈœ	0.052
ˈiːu̯	ˈeː	1.0
ˈoː	-	0.461
ˈoː	ˈoː	0.26
ˈoː	ˈɒː	0.101
ˈoː	ˈɑ	0.051
ˈoː	ˈeː	0.051
ˈoːu̯	ˈɑ	0.339
ˈoːu̯	ˈuə̯	0.288
ˈoːu̯	ˈoː	0.135
ˈoːu̯	ˈɒː	0.073
ˈoːu̯	ʋ	0.053
ˈu	-	0.5
ˈu	ˈu	0.264
ˈu	ˈuə̯	0.236
ˈuː	-	0.247
ˈuː	ˈyː	0.229
ˈuː	ˈoː	0.227
ˈuː	ˈøː	0.09
ˈuː	ˈuə̯	0.084
ˈyː	ˈiə̯	0.714
ˈyː	ˈyː	0.286
ˈøː	ˈoː	1.0
ˈœː	ˈoː	1.0
ˈɔ	ˈœ	0.516
ˈɔ	ˈɔ	0.371
ˈɔ	ˈɑ	0.078
ˈɔː	ˈɑ	0.261
ˈɔː	ˈɒː	0.254
ˈɔː	ˈɔ	0.181
ˈɔː	ˈøː	0.144
ˈɔːɪ̯	ˈɛː	1.0
ˈɛ	ˈɛ	0.418
ˈɛ	ˈæ	0.306
ˈɛ	ˈɑ	0.276
ˈɛɪ̯	ˈuə̯	0.445
ˈɛɪ̯	ˈɒː	0.21
ˈɛɪ̯	ˈiə̯	0.167
ˈɛɪ̯	ˈɛː	0.165
ˈɛː	ˈæ	0.372
ˈɛː	ˈɪ	0.206
ˈɛː	-	0.166
ˈɛː	ˈœ	0.104
ˈɛː	ˈɑ	0.093
ˈɛː	ˈɒː	0.06
ˈɪ	ˈɪ	0.491
ˈɪ	ˈæ	0.231
ˈɪ	ˈɛ	0.149
ˈɪ	ˈiə̯	0.128
ˈʊ	ˈu	0.396
ˈʊ	ˈɪ	0.159
ˈʊ	ˈœ	0.131
ˈʊ	ˈɒː	0.13
ˈʊ	ˈɔ	0.116
ˈʊ	ˈæ	0.067
