Mainland North Frisian	Mainland North Frisian	probability
ˈɛː	ˈɛ	1.0
ˈɛi̯_#>	ˈeɪ̯_#>	1.0
ˈɔ	ˈɔ	1.0
ˈɒ_x	ˈʌɪ̯	1.0
ˈœi̯	ˈu	1.0
ˈœ_ʀ	ˈɝ	1.0
ˈuː_x	ˈaɪ̯	1.0
ˈuː_l	ˈæ	1.0
ˈu	-	1.0
ˈi_#>	ˈi_#>	1.0
ˈeː_l	ˈɛ_ɫ	1.0
ˈaː	ˈʌ	1.0
ˈa_ʀ	ɹ	1.0
ˈa_x	ˈʌɪ̯	1.0
ʀ_n	ɹ_n	1.0
ɡ	ɡ	1.0
ɛi̯	t_i	1.0
ə_ʀ	ɚ	1.0
ə_n	n	1.0
ə_l	ɫ	1.0
ç	-	1.0
z̥	θ	1.0
z	-	1.0
x	-	1.0
w	l_ˈaɪ̯	1.0
v̥_#>	f_#>	1.0
v̥	v	1.0
v_ə	v	1.0
s	s	1.0
m	m	1.0
k_ˈɒ	kʰ	1.0
k_#>	#>	1.0
h	h	1.0
d̥	d	1.0
dʲ	d	1.0
d_ə	ɾ	1.0
<#_ʀ	<#_ɹ	1.0
<#_k	<#	1.0
<#_j	<#	1.0
<#	<#_w	1.0
#>	θ_#>	1.0
f	f	0.92
v	w	0.913
b	b	0.913
ʃ	ʃ	0.857
p	p	0.833
ŋ	ŋ	0.818
ə	-	0.795
ˈɛ	ˈi	0.778
ˈuː	ˈi	0.778
tʲ	ʔ	0.778
ˈɛi̯	ˈi	0.75
n	n	0.722
i	i	0.667
d	d	0.652
n_ə	n_d	0.625
lʲ	ɫ_d	0.6
ˈʏ	ˈaʊ̯	0.571
ˈɔu̯	ˈʌ	0.571
ʀ	ɹ	0.571
l	l	0.559
ˈyː	ˈɛ	0.556
k	k	0.522
ˈɒː	ˈɛ	0.5
ˈɒː	ˈæ	0.5
ˈɒ	ˈɑ	0.5
ˈɒ	-	0.5
ˈai̯	ˈɪ	0.5
ˈai̯	-	0.5
ˈa	ˈɪ	0.5
j	-	0.5
ˈi	ˈaɪ̯	0.45
l	ɫ	0.441
ˈɔu̯	ˈu	0.429
ˈœː	ˈaʊ̯	0.429
ˈeː	ˈɪ	0.429
ˈiː	ˈi	0.407
lʲ	ɫ	0.4
n_ə	n	0.375
t	ʔ	0.352
ˈʊ	ˈʌ	0.35
ˈʊ	-	0.35
ʀ	ɚ	0.347
ˈiː	ˈoʊ̯	0.333
nʲ	n_d	0.333
nʲ	n	0.333
nʲ	-	0.333
i	-	0.333
k	kʰ	0.304
ˈœː	ˈʌ	0.286
ˈœː	-	0.286
ˈeː	ˈæ	0.286
ˈeː	-	0.286
ˈɔː	ˈɑ	0.273
d	ð	0.261
ˈiː	-	0.259
t	t	0.259
ˈɛi̯	-	0.25
ˈœ	ˈɛə̯	0.25
ˈi	ˈɪ	0.25
ˈa	ˈʌ	0.25
ˈa	ˈɑ	0.25
j	oʊ̯	0.25
j	j	0.25
ˈɛ	-	0.222
ˈyː	ˈoʊ̯	0.222
ˈyː	-	0.222
ˈuː	-	0.222
tʲ	-	0.222
ˈʏ	ˈʌ	0.214
ˈʏ	-	0.214
ˈʊ	ˈɪ	0.2
ˈœ	ˈʊ	0.188
ˈœ	ˈoʊ̯	0.188
ˈɔː	ˈɛə̯	0.182
ˈɔː	ˈɛ	0.182
ˈɔː	ˈeɪ̯	0.182
ˈɔː	-	0.182
ŋ	-	0.182
k	ʧ	0.174
t	θ	0.167
t	tʰ	0.167
p	pʰ	0.167
ˈi	ˈʌɪ̯	0.15
ˈi	-	0.15
ʃ	-	0.143
ˈœ	ˈʌ	0.125
ˈœ	ˈu	0.125
ˈœ	-	0.125
ə	ə	0.114
n	n_d	0.111
ˈʊ	ˈeɪ̯	0.1
v	v	0.087
d	θ	0.087
b	-	0.087
n	ˈɛ_n	0.083
n	-	0.083
f	-	0.08
t	-	0.056
