Logudorese	Logudorese	probability
β	-	1.0
ˈɛ_n	ˈe	1.0
ˈɔ_ɾ	ˈo_r	1.0
ˈu_n	ˈy	1.0
ˈo_ɣ	ˈø_k	1.0
ˈo_u	ˈø_f	1.0
ˈi_ɾ	ˈi	1.0
ˈi_ɛ	ˈi	1.0
ˈi_n	ˈi	1.0
ˈi_a	ˈi_a	1.0
ˈa_ɾ	ˈa	1.0
ˈa_n	ˈa	1.0
ʦ_a	s_a	1.0
ʣ_u	j	1.0
ʣ	ˈø_l	1.0
ʃ	s	1.0
ɾ_ʦ	l_s	1.0
ɾ_u_#>	r_#>	1.0
ɾ_a	a	1.0
ɲ	ɲ	1.0
ɛ̆	-	1.0
ɛ_ɾ_ɛ_#>	#>	1.0
ɖː	l	1.0
ɔ̆	-	1.0
ɔ_z	ʧ	1.0
ŋ	n	1.0
ð_a	d_a	1.0
z_u	s	1.0
z	-	1.0
u_z_ŭ_#>	#>	1.0
u_z	y	1.0
u_#>	#>	1.0
t_ɛ	ʧ	1.0
t_a	t_a	1.0
s_k	s	1.0
s	s	1.0
p	p	1.0
o	o	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	#>	1.0
m_ˈe	m_ˈɛ	1.0
m_i	m	1.0
m_b	ŋ_k	1.0
m	m	1.0
k_ɾ	ʧ	1.0
j_u	ʧ	1.0
f	f	1.0
a_#>	#>	1.0
<#_ʣ	<#_z	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
<#_b_ˈi	<#_ˈe	1.0
<#_b	<#	1.0
<#_a	<#	1.0
ɛ_#>	#>	0.938
l	l	0.913
a	a	0.901
n	n	0.889
ˈa	ˈa	0.872
d	d	0.833
t	t	0.818
k	k	0.783
ˈe	ˈɛ	0.778
ɾ	r	0.774
ð	t	0.733
e	e	0.727
u	o	0.714
<#_ˈa	<#_ˈa	0.714
ɡ	ɡ	0.667
ɛ_ɾ	d	0.6
r	r	0.6
b	b	0.556
ˈɛ	ˈɛ	0.545
ˈo	ˈɔ	0.5
j	-	0.5
i	i	0.467
ˈɛ	ˈe	0.455
ˈi	ˈi	0.429
ɛ_ɾ	ˈi	0.4
r	r_n	0.4
ɔ	o	0.375
ɔ	-	0.375
nː	ɲ	0.375
nː	n	0.375
ˈɔ	ˈu	0.367
ɛ	-	0.348
ɡ	ʤ	0.333
j	j	0.333
ɣ	s	0.318
ˈɔ	ˈɔ	0.3
ˈi	ˈɛ	0.286
u	r	0.286
<#_ˈa	<#	0.286
ˈu	ˈo	0.278
e	-	0.273
ˈɔ	ˈø	0.267
ð	d	0.267
i	e	0.267
i	-	0.267
ˈu	ˈø	0.25
ˈu	ˈy	0.25
ɔ	u	0.25
nː	ŋ	0.25
ɣ	-	0.227
ˈe	ˈe	0.222
ɛ	e	0.217
ˈi	ˈe	0.214
b	ɡ	0.185
b	z	0.185
ɣ	ʤ	0.182
k	s	0.174
ˈo	ˈø	0.167
ˈo	ˈu	0.167
ˈo	-	0.167
j	e	0.167
d	t	0.167
ɣ	ɡ	0.136
ɣ	k	0.136
ɛ	ˈi	0.13
ɛ	a	0.13
ɾ	j	0.113
ˈu	ˈu	0.111
n	-	0.111
ɛ	ˈe	0.087
ɛ	f	0.087
l	-	0.087
ˈa	ˈo	0.085
b	ʋ	0.074
ˈi	j	0.071
ˈɔ	o	0.067
ɛ_#>	e_#>	0.062
t	ʧ	0.061
t	s	0.061
t	-	0.061
ˈu	ˈɔ	0.056
ˈu	-	0.056
a	-	0.056
