Alsatian	Limburgish	probability
b̥	b	0.878
b̥	v	0.067
b̥	f	0.057
d̥	d	0.47
d̥	t	0.34
d̥	-	0.134
d̥	j	0.048
e	-	0.242
f	v	0.688
f	p	0.175
f	f	0.092
f	ˈv	0.042
h	ɦ	1.0
i	ə	0.489
i	ə_x	0.274
i	ɪ	0.208
j	j	0.437
j	ɣ	0.331
j	x	0.219
k	-	0.384
k	x	0.284
k	k	0.2
kʰ	k	0.909
kʰ	-	0.085
l	l	0.873
l	j	0.049
l	-	0.037
l	n	0.032
l	ə	0.031
m	m	0.954
m	-	0.05
n	n	0.869
n	-	0.125
p	p	0.492
p͡f	p	0.644
p͡f	t	0.24
s	z	0.369
s	t	0.316
s	s	0.291
s	-	0.03
t	t	0.462
t	-	0.202
t	d	0.166
t	j	0.157
t	β	0.031
v	v	0.517
v	ɡ	0.297
v	ɣ	0.111
w	ˈʏ	0.45
w	ˈʏː	0.221
w	β	0.125
x	x	0.822
x	k	0.143
ŋ	ŋ	1.0
ə	ə	0.871
ə	-	0.112
ə	ʀ	0.03
ɡ̊	ɣ	0.886
ɡ̊	k	0.114
ʁ	ʀ	0.95
ʁ	-	0.048
ʁ_n	ʀ	1.0
ʃ	s	0.514
ʃ	k	0.197
ʃ	z	0.106
ʃ	ʃ	0.076
ʃ	t	0.042
ʃ_t	x	0.492
ʋ	β	0.941
ʋ	-	0.061
ʦ	t	1.0
ˈai̯	ˈœi̯	0.492
ˈaː	ˈɛ	0.66
ˈaː	ˈaː	0.16
ˈe	ˈeː	0.367
ˈe	ˈɪ	0.339
ˈe	-	0.099
ˈe	ˈɛ	0.096
ˈe	ˈaː	0.07
ˈei̯	ˈeː	0.322
ˈei̯	ˈɛi̯	0.182
ˈei̯	ˈœi̯	0.182
ˈei̯	ˈɛːi̯	0.121
ˈeː	ˈi	0.428
ˈeː	ˈyː	0.128
ˈeː	ˈu	0.128
ˈeː	ˈeː	0.118
ˈeː	ˈɛ	0.083
ˈi	ˈɪː	0.338
ˈi	ˈeː	0.122
ˈi	-	0.096
ˈi	ˈœi̯	0.083
ˈi	ˈɛː	0.073
ˈiː	ˈeː	0.326
ˈiː	ˈiː	0.19
ˈiː	ˈøː	0.181
ˈiː	ˈyː	0.069
ˈiː	ˈɛː	0.059
ˈo	ˈɔ	0.466
ˈo	ˈʊː	0.21
ˈo	ˈɔː	0.111
ˈo	ˈoː	0.111
ˈo	ˈœ	0.085
ˈoː	ˈɒː	0.453
ˈoː	ˈu	0.283
ˈoː	ˈʊː	0.093
ˈoː	ˈuː	0.093
ˈoː	ˈɔ	0.068
ˈu	ˈʊː	0.369
ˈu	ˈɔ	0.137
ˈu	ˈœ	0.095
ˈu	ˈyː	0.082
ˈu	ˈœː	0.079
ˈyː	ˈuː	0.899
ˈyː	ˈʊː	0.08
ˈæ	ˈeː	0.837
ˈæ	ˈæː	0.136
ˈæː	ˈeː	0.519
ˈæː	ˈi	0.187
ˈæː	ˈiː	0.187
ˈæː	ˈɒː	0.083
ˈø	ˈoː	0.492
ˈøi̯	ˈuː	0.492
ˈøː	ˈoː	0.574
ˈøː	ˈʊː	0.282
ˈœ	ˈɔu̯	0.492
ˈɒ	ˈaː	0.445
ˈɒ	ˈɑ	0.239
ˈɒ	ˈɑː	0.198
ˈɒ	ˈɒː	0.041
ˈɒ	ˈɪː	0.041
ˈɒː	ˈaː	0.201
ˈɒː	ˈɑː	0.153
ˈɒː	ˈɑ	0.153
ˈɒː	ˈæ	0.133
ˈɒː	ˈi	0.133
ˈɔi̯	ˈɔu̯	0.242
ˈəi̯	ˈɛː	0.669
ˈəi̯	ˈɛːi̯	0.191
ˈəi̯	ˈi	0.126
ˈɛ	ˈeː	0.282
ˈɛ	ˈɑ	0.282
ˈʊː	ˈʊː	0.31
ˈʊː	ˈɔː	0.302
ˈʊː	ˈoː	0.195
ˈʊː	ˈɔ	0.085
ˈʊː	ˈøː	0.083
