Alsatian	Limburgish	probability
b̥	b	1.0
h	ɦ	1.0
kʰ	k	1.0
p͡f	p	1.0
v	v	1.0
ɡ̊	ɣ	1.0
ʋ	β	1.0
ʦ	t	1.0
ˈeː	ˈi	1.0
ˈæː	ˈeː	1.0
l	j	0.061
s	s	0.241
s	t	0.351
ŋ	ŋ_ɡ̊	0.291
ʃ	k	0.161
ˈe	ˈeː	0.251
ˈiː	ˈiː	0.101
ˈiː	ˈøː	0.411
ˈo	ˈɔ	0.291
ˈæ	ˈæː	0.451
ˈɒ	ˈɑː	0.311
n	n	0.902
t	d	0.142
t	t	0.222
ʁ	ʀ	0.982
ˈei̯	ˈɛː	0.902
ˈiː	ˈɪ	0.132
ˈoː	ˈu	0.342
ˈyː	ˈɔu̯	0.062
d̥	d	0.63
i	ɪ_ŋ	0.33
x	x	0.753
ʃ	x	0.093
ʃ	ʃ	0.203
ˈi	ˈiː	0.083
ˈɒ	ˈaː	0.473
i	ə_x	0.104
k	k	0.704
t	d̥	0.44
ˈɒː	ˈɑː	0.774
d̥	-	0.135
d̥	d̥	0.235
ʃ	s	0.45
ˈi	ˈɪː	0.685
ˈəi̯	ˈɛːi̯	0.225
ˈəi̯	ˈɛː	0.775
ˈʊː	ˈɔː	0.445
ˈʊː	ˈʊː	0.485
f	f	0.086
f	v	0.666
i	ə	0.566
j	j	0.316
k	x	0.296
ə	-	0.076
ˈiː	ˈeː	0.356
ˈɒ	ˈɑ	0.216
j	-	0.237
m	ə_m	0.057
t	j	0.147
x	k	0.247
ˈi	ˈeː	0.127
ˈu	ˈœ	0.137
ˈu	ˈoː	0.157
ˈu	ˈʊː	0.667
ˈɒː	ˈɑ	0.107
ˈʊː	ˈoː	0.07
f	p	0.248
j	ɣ	0.448
n	-	0.098
s	z	0.408
ˈei̯	ˈɛːi̯	0.098
ˈoː	ˈɒː	0.658
ˈyː	ˈuː	0.938
l	l_ə	0.149
l	l	0.729
m	m	0.9
ŋ	ŋ	0.709
ə	ə	0.879
ʃ	ə_#>	0.059
ˈe	ˈɪ	0.749
ˈo	ˈʊː	0.709
ˈæ	ˈeː	0.549
ˈɒː	ˈaː	0.119
