Campidanese	Romanian	probability
a	ə	0.548
a	-	0.22
a	a	0.055
ă	e	0.661
ă	ə	0.339
b	v	0.56
b	b	0.21
b	-	0.062
b	ʤ	0.061
b	t	0.061
d	d	0.47
d	z	0.335
d	t	0.093
d	-	0.066
e	e	0.575
e	-	0.163
e	ˈe	0.068
e	i	0.058
ĕ	e	0.635
ĕ	j	0.365
f	f	0.936
f	-	0.064
i	e	0.667
i	-	0.232
j	e	0.25
j	r_e	0.246
j	j	0.181
j	w	0.162
j	-	0.105
k	k	0.802
k	ʧ	0.109
k	t	0.08
l	l	0.503
l	r	0.305
l	ŋ	0.086
l	j	0.054
m	m	0.973
n	n	0.776
n	-	0.192
o	u	0.511
o	o	0.236
o	nʲ	0.078
o	-	0.071
o	j	0.06
ŏ	-	1.0
p	p	0.94
p	p_j	0.06
r	r	0.769
r	-	0.156
r	l	0.075
s	s	0.555
s	-	0.195
s	ʃ	0.179
t	t	0.701
t	-	0.119
t	p_t	0.101
t	ʦ	0.079
u	-	0.621
u	u	0.163
u	ə	0.118
ŭ	-	1.0
v	-	0.842
v	b	0.158
w	-	1.0
z	-	0.791
z	s	0.162
ð	t	0.709
ð	d	0.152
ð	r	0.113
ŋ	n	0.656
ŋ	m	0.23
ŋ	ŋ	0.114
ɖ	-	0.62
ɖ	l	0.38
ɡ	ɡ	0.763
ɡ	b	0.082
ɡ	ʤ	0.082
ɡ	m	0.073
ɣ	k	0.984
ɲ	n	0.575
ɲ	j	0.312
ɲ	m	0.113
ʃ	t	0.464
ʃ	ʃ	0.402
ʃ	ʧʲ	0.09
ʒ	ʧ	0.71
ʒ	ʃ	0.166
ʒ	k	0.109
ʣ	-	0.887
ʣ	z	0.113
ʤ	ʤ	0.664
ʤ	-	0.23
ʤ	ʒ	0.106
ʦ	t	0.661
ʦ	ʦ	0.339
ʧ	ʧ	0.673
ʧ	k	0.175
ʧ	s	0.152
ˈa	ˈa	0.685
ˈa	ˈɨ	0.181
ˈa	ˈɨ_j	0.083
ˈe	ˈi	0.203
ˈe	ˈa	0.145
ˈe	ˈe	0.143
ˈe	j_ˈe	0.115
ˈe	-	0.108
ˈe	e̯ˈa	0.1
ˈi	ˈi	0.454
ˈi	ˈe	0.258
ˈi	e̯ˈa	0.076
ˈo	ˈo	0.355
ˈo	o̯ˈa	0.28
ˈo	ˈu	0.249
ˈo	u	0.077
ˈu	ˈu	0.851
ˈu	ˈo	0.1
β	p	0.714
β	-	0.286
