Dutch	Middle English	probability
χ_ɾ	ɡ_r	1.0
ˈɛ_χ	ˈæi̯	1.0
ˈɔ_n	ˈuː	1.0
ˈɑ_χ	ˈi_ç	1.0
ˈøː	ˈɔː	1.0
ˈyː	-	1.0
ˈi_χ	ˈiː	1.0
ɾ_d̥	r_d	1.0
ɦ	h	1.0
ə_χ	iː	1.0
ə_ɾ	r_ə	1.0
ə_ɫ	ə_ɫ	1.0
ə_n	n	1.0
w	-	1.0
v̥	v	1.0
t	t	1.0
s_χ	ʃ	1.0
p	p	1.0
m	m	1.0
k_n	k_n	1.0
j	j	1.0
i	eː	1.0
d_ˈɪ	θ_ˈi	1.0
b	b	1.0
ə	ə	0.984
d̥	d	0.924
z	s	0.922
ɾ	r	0.885
ʋ	w	0.882
n	n	0.852
ˈœy̯	ˈuː	0.795
v	f	0.795
ˈɛi̯	ˈiː	0.791
ˈɑ	ˈa	0.737
ɫ	l	0.681
k	k	0.678
d	d	0.677
ˈɔ	ˈu	0.676
s	s	0.647
ˈi	ˈeː	0.611
ˈɑu̯	-	0.606
ŋ	ŋ_ɡ	0.604
ˈʏ	ˈi	0.557
ˈu	ˈoː	0.551
ˈɪ	ˈi	0.519
ˈɛ	ˈɛ	0.517
ˈɑ_n	ˈɔː_n	0.507
ˈɑ_n	ˈoː	0.493
ˈʏ	ˈu	0.443
ˈaː	ˈɛː	0.416
ˈeː	ˈɔː	0.414
ˈɑu̯	ˈɔː	0.394
ˈɪ	ˈiː	0.393
ˈu	ˈeː	0.352
ˈoː	ˈɛː	0.325
ɫ	ɫ	0.319
ˈɛ	ˈi	0.318
d	θ	0.284
k	ʧ	0.27
ˈaː	ˈaː	0.252
ˈɔ	ˈɔ	0.242
χ	ɡ	0.241
ˈoː	ˈu	0.226
ˈeː	ˈɛː	0.223
ˈɛi̯	ˈɔː	0.209
ˈœy̯	ˈiː	0.205
v	v	0.205
ˈoː	ˈɔ	0.202
ŋ	n_ɡ	0.2
ŋ	ŋ	0.196
s	ʃ	0.181
ˈi	-	0.178
χ	x	0.174
s	k_s	0.172
χ	ç	0.167
ˈɛ	-	0.165
ˈeː	ˈɛ	0.165
ˈɑ	-	0.16
χ	ʤ	0.148
ˈoː	ˈeː	0.144
χ	ˈæi̯	0.128
ˈi	ˈɔu̯	0.126
ˈaː	ˈoː	0.125
ʋ	ʍ	0.118
ˈeː	-	0.116
ˈaː	ˈɛ	0.115
ˈoː	-	0.103
ˈu	ˈuː	0.097
n	n_ə	0.097
ˈaː	-	0.091
ˈɪ	-	0.088
ˈi	ˈiu̯	0.085
ˈɔ	-	0.082
ˈeː	ˈi	0.082
ɾ	r_ə	0.082
χ	-	0.081
z	z	0.078
d̥	ɫ_d	0.076
χ	ˈiː	0.061
ˈɑ	ˈaː	0.055
k	-	0.052
n	-	0.05
