Campidanese	Italian	probability
f	f	1.0
m	m	1.0
ŏ	-	1.0
p	p	1.0
w	w	1.0
ŋ	ŋ	1.0
ɖː	lː	1.0
ɡ	ɡ	1.0
ɲː	ɲː	1.0
ʣ	ʎː	1.0
i	e	0.671
n	n	0.911
o	i	0.221
ʧ	ʧ	0.821
a	a	0.902
i	-	0.122
k	-	0.062
k	k	0.752
s	s	0.882
z	z	0.102
ʤ	ʤ	0.092
ˈa	ˈa_r	0.12
e	i	0.143
u	o	0.963
ð	t	0.883
ˈe	j_ˈɛ	0.053
ˈu	ˈo	0.393
β	p	0.693
d	-	0.174
r	j	0.104
rː	r_n	0.634
t	t	0.584
ʃː	ʃː	0.724
ˈe	ˈe	0.294
ˈi	ˈi	0.574
b	v	0.545
j	e	0.315
nː	-	0.485
nː	nː	0.515
ɣ	k	0.245
ʒ	ʤ	0.185
ʒ	ʧ	0.815
ˈa	ˈa	0.845
ˈo	ˈo	0.225
b	b	0.276
d	d	0.826
rː	rː	0.366
ʃː	sː	0.276
ˈe	ˈɛ	0.586
ˈi	ˈe	0.426
i	i	0.137
j	j	0.087
n	-	0.07
t	tː	0.377
ð	-	0.117
ɣ	-	0.097
ˈo	ˈɔ	0.597
ˈu	ˈu	0.607
β	v	0.307
e	e	0.818
k	kː	0.168
s	-	0.118
z	-	0.898
ɣ	ɡ	0.658
ʤ	-	0.908
b	ʤ	0.059
i	o	0.059
j	-	0.219
j	kː_j	0.379
l	l	0.959
o	o	0.779
r	r	0.859
ʧ	k_j	0.179
ˈo	w_ˈɔ	0.079
