Štokavian	Macedonian	probability
â	ˈa	1.0
âː	ˈa	1.0
ǎ	ˈa	1.0
ǎː	ˈa	1.0
e	ɛ	1.0
eː	ɛ	1.0
ê	ˈɛ	1.0
êː	ˈɛ	1.0
ě	ˈɛ	1.0
ěː	ˈɛ	1.0
i	i	1.0
î	ˈi	1.0
îː	ˈi	1.0
ǐː	ˈi	1.0
j	j	1.0
k	k	1.0
m	m	1.0
n	n	1.0
ô	ˈo	1.0
ôː	ˈo	1.0
ǒ	ˈo	1.0
p	p	1.0
r	r	1.0
r̂ː	ˈr̩	1.0
r̩̂	ˈr̩	1.0
r̩̂ː	ˈr̩	1.0
r̩̂	ˈr̩	1.0
s	s	1.0
û	ˈo_ɫ	1.0
x	f	1.0
ʎ	l	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ûː	ˈa	0.501
z	z	0.971
a	ɛ	0.142
d	t	0.152
ʒ	ʒ	0.892
a	a	0.733
l	l	0.363
ûː	ˈo_ɫ	0.393
o	o	0.954
t	-	0.194
ɡ	k	0.244
b	p	0.335
b	b	0.665
ʋ	f	0.135
ʋ	v	0.865
t	t	0.806
ûː	ˈu	0.106
ɡ	ɡ	0.756
a	u	0.077
l	ɫ	0.637
d	d	0.848
ʒ	ʃ	0.108
