Scots	Scots	probability
θ	d	1.0
ˈɪ_ɡ	ˈɛː_x	1.0
ˈɪ_ð	ˈuː	1.0
ˈɪ_v	ˈiːu̯	1.0
ˈɛː	ˈi	1.0
ˈɛ_ɡ	ˈɔːɪ̯	1.0
ˈəi̯_d	ˈiː_d	1.0
ˈɔɪ̯	ˈɛ_r	1.0
ˈɑː_n	ˈoːu̯_n	1.0
ˈɑː_f	ˈoː_l	1.0
ˈøː	k_ˈoːu̯	1.0
ˈø	ˈoːu̯	1.0
ˈoː	ˈoː	1.0
ˈo_r	ˈoːu̯_d	1.0
ˈi_ŋ	ˈœː	1.0
ˈeː_r	ˈɛɪ̯_d	1.0
ˈaːɪ̯	ˈiː	1.0
ˈaː	ˈi_k	1.0
ʧ	s	1.0
ʍ	v	1.0
ʃ	s_k	1.0
ɪ	k	1.0
ɡ_ˈiː	ˈeːu̯	1.0
ɛ	-	1.0
ə_r	r	1.0
ŋ	ŋ	1.0
ð	d	1.0
ç	x	1.0
z	z	1.0
x	x	1.0
w	v	1.0
v	w	1.0
s	s	1.0
r_t	t	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
h	h	1.0
f	f	1.0
e	ə_x	1.0
d	d	1.0
b	b	1.0
<#_θ	<#_t	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_kʰ	<#_k	1.0
<#_d	<#	1.0
#>	x_#>	1.0
ə	ə	0.913
l	l	0.911
r	r	0.909
ɡ	ɣ	0.875
t	t	0.833
k	k	0.789
n	n	0.774
ˈəi̯	ˈi	0.75
ˈu	ˈuː	0.692
i	ɪ_x	0.667
<#_j	<#_j	0.667
ˈuː	ˈuː	0.6
ˈʌu̯	ˈoːu̯_l	0.5
ˈʌu̯	-	0.5
ˈo	ˈɔː	0.5
ˈo	ˈɔ	0.5
ˈʌ	ˈʊ	0.462
ˈe	ˈeː	0.45
ˈɑː	ˈoː	0.429
ˈuː	ˈʊ_l	0.4
ˈʌ	-	0.385
ˈeː	ˈoː	0.385
ˈi	ˈɛɪ̯	0.379
ˈɛ	-	0.353
ˈɪ	ˈɪ	0.342
i	i	0.333
<#_j	<#	0.333
ˈeː	ˈɔː	0.308
ˈɑː	ˈeː	0.286
ˈɑː	ˈaː	0.286
ˈa	ˈɔ	0.286
ˈa	-	0.286
ˈəi̯	-	0.25
ˈe	ˈoː	0.25
ˈi	ˈoː	0.241
ˈɛ	ˈaː	0.235
ˈu	-	0.231
k	k_ə	0.211
ˈiː	ˈoː_ɣ	0.2
ˈiː	ˈi	0.2
ˈɛ	ˈɛ	0.176
ˈi	-	0.172
t	t_ə	0.167
ˈʌ	ˈuː	0.154
ˈeː	ˈiː	0.154
ˈeː	-	0.154
ˈiː	ˈoː	0.15
ˈiː	ˈeː	0.15
ˈe	ˈɔː	0.15
ˈe	-	0.15
ˈa	ˈɛ	0.143
ˈa	ˈɔː	0.143
ˈa	ˈeː	0.143
ˈɪ	ˈiː	0.132
ɡ	ɡ	0.125
ˈɛ	ˈeː	0.118
ˈɛ	ˈa	0.118
ˈɪ	ˈuː	0.105
ˈɪ	-	0.105
ˈiː	ˈɛɪ̯	0.1
ˈiː	j_ˈoː	0.1
ˈiː	j	0.1
l	l_j	0.089
ə	-	0.087
ˈɪ	ˈʊ	0.079
ˈɪ	j_ˈʊ	0.079
ˈu	ˈøː	0.077
n	ə_n	0.075
n	n_ə	0.075
ˈi	ˈyː	0.069
ˈi	ˈiː	0.069
ˈi	ˈi	0.069
r	ˈɛɪ̯	0.055
ˈɪ	ˈɛː	0.053
ˈɪ	ˈɛ	0.053
ˈɪ	ˈɔː	0.053
