Friulian	Friulian	probability
ˈɔː	w	1.0
ˈuː_r	ˈiː_r	1.0
ʧ_#>	#>	1.0
ɲ_#>	ɲ_#>	1.0
ɲ	ɲ	1.0
ɟ	ʥ	1.0
ŋ_k	ŋ	1.0
ŋ_#>	n_#>	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈi	ˈuː	1.0
w_ˈa	ˈɔː	1.0
w_r	w_r	1.0
t	t	1.0
r_ˈi	r_ˈiː	1.0
r_t	r_t	1.0
r_e	r_ə	1.0
p_ˈa	p_ˈaː	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l_i	ʎ	1.0
k_#>	w_#>	1.0
f_#>	f_#>	1.0
f	f	1.0
d_ˈu	t_ˈu	1.0
d_i	j_r	1.0
c_e	k_ə	1.0
c	ʨ	1.0
a_d	ə_d	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɲ	<#_n	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_ə	1.0
<#	<#_l	1.0
e	ə	0.964
d	d	0.926
r	r	0.895
b	b	0.875
v	v	0.871
k	k	0.826
l	l	0.808
s_#>	ʃ_#>	0.778
a	ə	0.778
s	s	0.771
ˈoː	ˈu	0.75
ɡ	ɡ	0.714
t_#>	ʨ_#>	0.7
l_#>	l_#>	0.688
ˈeː	ˈa_j	0.667
ʧ	ʧ	0.647
r_i	ə_r	0.6
ˈa	ˈa	0.564
o	u	0.556
w	-	0.545
j	j	0.533
ˈo	ˈu	0.5
ʤ	ʥ	0.5
ʤ	ʃ	0.5
ŋ	w_n	0.5
j_ˈɛ	ˈɛː	0.5
j_ˈɛ	ˈɛ	0.5
ˈi	ˈiː	0.48
ˈaː	ˈaː_r	0.48
ˈu	ˈu	0.455
o	o	0.444
ˈe	ˈe	0.421
ˈe	ˈa_j	0.421
ˈɔ	ˈu	0.4
ˈaː	ˈa	0.4
r_i	r	0.4
ˈuː	ˈɔ	0.375
ˈuː	j_ˈɛ	0.375
z	ʃ	0.375
z	-	0.375
u	u	0.375
u	-	0.375
ˈɛ	ˈɛ	0.357
ˈeː	j	0.333
i	ə	0.333
l_#>	#>	0.312
ˈiː	ˈiː_r	0.3
ˈiː	ˈi	0.3
ŋ	ŋ	0.3
t_#>	#>	0.3
ˈɛ	-	0.286
ɡ	-	0.286
i	ə_r	0.286
ˈi	ˈɛ	0.28
ˈu	ˈiː	0.273
ˈu	ˈi	0.273
w	w	0.273
j	-	0.267
ˈuː	ˈi	0.25
ˈoː	ˈuː	0.25
z	ʒ	0.25
u	i	0.25
ˈi	ˈi	0.24
ʧ	ʦ	0.235
ˈo	ˈuː	0.233
s	ʃ	0.229
s_#>	#>	0.222
a	-	0.222
#>	s_#>	0.222
#>	r_#>	0.222
ˈɛ	ˈɛː	0.214
ˈa	ˈɔ	0.205
ˈɔ	ˈɔ	0.2
ˈɔ	ˈo	0.2
ˈɔ	-	0.2
ˈiː	ˈiə̯	0.2
ˈiː	-	0.2
ŋ	-	0.2
j	ʥ	0.2
i	i	0.19
i	-	0.19
w	ˈɔː	0.182
ˈa	ˈaː	0.179
k	ʨ	0.174
ˈe	ˈeː	0.158
ˈɛ	ˈa_j	0.143
b	v	0.125
ˈaː	ˈaː	0.12
ʧ	s	0.118
l	ʎ	0.115
#>	ʎ_#>	0.111
#>	ə_#>	0.111
#>	w_#>	0.111
#>	n_#>	0.111
#>	m_#>	0.111
ˈo	ˈa	0.1
ˈo	-	0.1
l	w	0.077
d	-	0.074
ˈo	ˈuɔ̯	0.067
v	ɡ	0.065
v	-	0.065
r	r_ˈa	0.053
r	-	0.053
ˈa	ˈa_w	0.051
