Middle High German	Standard German	probability
ˈɛ_h	ˈeː	1.0
ˈɑː_r	ˈaː_ɐ	1.0
ˈɑ_r	ˈa_ɐ	1.0
ˈøː	ˈøː	1.0
ˈøy̯	-	1.0
ˈæː	ˈɛː	1.0
ˈyː	ˈɔʏ̯	1.0
ˈyə̯	ˈyː	1.0
ˈuː	ˈaʊ̯	1.0
ˈuə̯	ˈuː	1.0
ˈu	ˈʊ	1.0
ˈoː	ˈoː	1.0
ˈou̯	ˈaʊ̯	1.0
ˈiː	ˈaɪ̯	1.0
ˈiə̯	ˈiː	1.0
ˈi_r	ˈiː_ɐ	1.0
ˈeː	ˈeː	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ʃː	ʃ	1.0
ʃ	ʃ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛ	eː	1.0
ə_ɡ̊	ɪ_ç	1.0
ə_r	ɐ	1.0
ɑː	ˈɛː	1.0
ɑ	ə	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː_ə	ç	1.0
xː	x	1.0
x_s	k_s	1.0
v	f	1.0
tː	t	1.0
t_ə	t	1.0
s̻ː	s	1.0
s̻	s	1.0
s_ˈu	z	1.0
s_t	s_t	1.0
rː	-	1.0
r_ə	ɐ	1.0
r_n	ɐ_n	1.0
p͡f	p͡f	1.0
p	p	1.0
oː	-	1.0
ou̯	ˈaʊ̯	1.0
nː_ə	n_ə	1.0
n_s	n_z̥	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ˈiə̯	l	1.0
l	l	1.0
kː	k	1.0
kʰ	kʰ	1.0
j	j	1.0
i	ɪ	1.0
fː	f	1.0
f	f	1.0
d	d	1.0
b	b	1.0
n	n	0.99
ˈi	ˈɪ	0.914
w	v	0.891
ˈei̯	ˈaɪ̯	0.871
d̥	d̥	0.862
ˈo	ˈɔ	0.827
s	z	0.822
b̥	b̥	0.812
ˈy	ˈʏ	0.8
h	h	0.799
ˈɑ	ˈa	0.719
ˈɛ	ˈɛ	0.697
x	ç	0.691
ˈe	ˈɛ	0.674
t	t	0.633
ə	-	0.588
k	kʰ	0.555
r	ɐ	0.551
ˈɑː	ˈoː	0.514
ˈɑː	ˈaː	0.486
r	ʁ	0.449
k	k	0.445
ə	ə	0.401
t	tʰ	0.367
ˈe	ˈeː	0.326
x	x	0.309
ˈɑ	ˈaː	0.281
h	-	0.201
ˈy	ˈyː	0.2
b̥	-	0.188
s	z̥	0.178
ˈɛ	ˈeː	0.176
ˈo	ˈoː	0.173
d̥	-	0.138
ˈei̯	-	0.129
ˈɛ	-	0.127
ˈi	ˈiː	0.086
w	-	0.059
