Dutch	Dutch	probability
χ_ə	ɡ̊	1.0
χ_t	ʰt	1.0
ˈɛi̯_n	ˈʊ̯iː_n	1.0
ˈɔ_ɾ	ˈɔ_ɹ	1.0
ˈɑ_χ	ˈɔ	1.0
ˈɑ_d̥_#>	ˈɛːa̯_#>	1.0
ˈøː	ˈøː	1.0
ˈyː	ˈʊ̯iː	1.0
ˈu_d̥	ˈɔːu̯_w	1.0
ˈoː_d̥	ˈɛːi̯_j	1.0
ˈi_χ	v̥	1.0
ɾ_ə	t͡n̥	1.0
ɪ	ŋ	1.0
ɦ	h	1.0
ə_ɾ	ɪ_ɹ	1.0
ə_n	a	1.0
ŋ_k	ʰk	1.0
z̥_#>	s_#>	1.0
w	ʤ̊ː_ʊ	1.0
s_χ	ʃ	1.0
n_d̥	n	1.0
n_#>	#>	1.0
j	-	1.0
i	a	1.0
d̥_#>	#>	1.0
b	b̥	1.0
<#_χ	<#_ɡ̊	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ʋ	<#	1.0
<#_ɾ	<#_ɹ	1.0
<#_ɫ	<#_l	1.0
<#_ɦ	<#_j	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
m	m	0.923
z	s	0.885
ʋ	v	0.842
ɾ	ɹ	0.833
v	f	0.826
d̥	d̥	0.818
#>	ʊ_ɹ_#>	0.812
v̥	v	0.778
ɫ	l	0.743
ŋ	ŋ	0.727
ˈɔ	ˈʊ	0.706
ˈʏ	ˈɪ	0.667
ˈɛi̯	ˈʊ̯iː	0.615
t	t	0.605
ˈœy̯	ˈʉːu̯	0.6
s	s	0.579
ˈɪ	ˈɪ	0.526
p	p	0.5
n	n	0.489
d	d̥	0.432
ˈu	ˈøː	0.417
ˈi	-	0.412
p	ʰp	0.4
ˈɛ	ˈɛ	0.368
ə	-	0.364
ˈɑ	ˈa	0.348
k	kʰ	0.345
ˈʏ	ˈʊ	0.333
ˈaː	ˈɔ̯aː	0.333
t	ʰt	0.316
k	k	0.31
d	tʰ	0.27
χ	-	0.263
ˈɛ	-	0.263
s	s_k	0.263
ˈɑ	ˈɛːa̯	0.261
ˈu	ˈɔːu̯	0.25
ˈaː	ˈɛːa̯	0.238
ˈaː	ˈa	0.238
ˈi	ˈɔːu̯	0.235
ˈɛi̯	ˈɛːa̯_ɹ	0.231
v̥	v_ʊ	0.222
ˈeː	ˈai̯	0.217
χ	ʤ̊	0.211
ˈɪ	-	0.211
ˈoː	ˈɔ	0.208
ˈœy̯	ˈʏ	0.2
ˈœy̯	ˈʊ	0.2
d	-	0.189
ə	a	0.182
ŋ	ɡ̊	0.182
d̥	-	0.182
ˈɔ	-	0.176
ˈi	ˈʊ̯iː	0.176
ˈi	ˈʉːu̯	0.176
ˈɑ	ˈɔ	0.174
ˈeː	ˈeː	0.174
v	v	0.174
ɫ	t͡l̥	0.171
n	nː	0.17
ˈu	ˈɛ_ɡ̊	0.167
ˈu	ˈɔːu̯_w	0.167
ˈoː	ˈɔːi̯	0.167
#>	a_#>	0.167
χ	ɡ̊	0.158
χ	v	0.158
ˈɪ	ˈiː	0.158
ˈɛ	ˈɪ	0.158
ʋ	kʰ_v	0.158
s	ʃ	0.158
ˈɛi̯	ˈai̯	0.154
ə	ʊ	0.136
ə	ɪ	0.136
ˈɑ	ˈɛ	0.13
ˈeː	ˈɛ	0.13
ˈeː	ˈiː	0.13
ˈeː	ˈaːi̯	0.13
ˈeː	-	0.13
ˈoː	ˈɛːi̯	0.125
ˈoː	ˈoː	0.125
ˈoː	-	0.125
ˈɔ	ˈœ	0.118
z	ʃ	0.115
n	a	0.106
χ	ʤ̊ː	0.105
χ	ɡ̊ː	0.105
ˈɪ	ˈʊ̯iː	0.105
ˈɛ	ˈɔ	0.105
ˈɛ	j_ˈœ	0.105
k	ʰk	0.103
k	ʧʰ	0.103
k	ʧ	0.103
p	pʰ	0.1
ˈaː	ˈøː	0.095
ˈaː	-	0.095
ə	ɹ	0.091
ə	ɡ̊_ʊ	0.091
ŋ	ɲ	0.091
ˈɑ	ˈœ	0.087
ˈeː	j	0.087
ɫ	l̥	0.086
n	-	0.085
ˈoː	ˈʊ	0.083
ˈoː	ˈɔ̯aː	0.083
ˈoː	ˈiː	0.083
m	mː	0.077
n	n̥	0.064
ɾ	t͡n̥	0.062
ɾ	-	0.062
d	ʧʰ	0.054
d	j	0.054
t	ʈ	0.053
