Occitan	Walloon	probability
b	b	1.0
p	p	1.0
t	t	1.0
u	ɔ	1.0
v	v	1.0
w	-	1.0
ð	-	1.0
ŋ	-	1.0
ʎ	-	1.0
ʦ	ʃ	1.0
ʧ	t	1.0
a	ɛ	0.21
k	ʧ	0.521
ɾ	-	0.291
ˈa	ˈɛ̃	0.091
ˈa	ˈe	0.201
ˈe	ˈɛ	0.271
ˈi	ˈiː	0.191
ˈu	ˈɔ	0.421
ˈɔ	ˈa	0.151
ˈɔ	w	0.251
m	m	0.912
s	-	0.062
z	-	0.672
ˈa	ˈɔː	0.12
ˈɔ	ˈuː	0.232
a	-	0.083
d	d	0.983
i	-	0.633
j	-	0.73
r	ʀ	0.893
ɲ	ɲ	0.923
ʤ	ʤ	0.733
ˈa	ˈiː	0.093
ˈa	ˈɛ	0.113
ˈɔ	ˈøː	0.063
ˈɛ	j_ˈɛ	0.113
e	ˈɛ	0.064
f	f_w	0.104
n	-	0.234
r	-	0.084
s	s	0.894
ɡ	ɡ	0.734
ˈɔ	w_ˈa	0.124
β	-	0.674
j	j	0.255
ɣ	ɡ	0.195
ɣ	-	0.805
ɥ	ˈuː	0.395
ɥ	-	0.605
ˈi	ˈɛ	0.365
ˈu	ˈɔ̃	0.175
ˈɛ	j	0.565
f	f	0.896
k	-	0.06
n	n	0.766
ɔ	w	0.106
ˈa	ˈɑ̃	0.086
ˈa	ˈa	0.206
ˈi	ˈi	0.186
ˈy	ˈy	0.186
ˈy	ˈɔ̃	0.536
ˈɛ	-	0.116
β	v	0.326
e	ɛ	0.307
i	i	0.367
l	l	0.67
ɡ	-	0.187
ɲ	-	0.077
ʤ	-	0.267
a	a	0.648
l	ˈa	0.288
z	ʒ	0.288
ɔ	j	0.848
ˈy	ˈu	0.188
ˈɔ	ˈɔ	0.178
ˈɛ	ˈiː	0.168
a	ɔː	0.059
e	-	0.579
k	k	0.419
ɡ	k	0.079
ɾ	ʀ	0.709
ˈe	ˈɛ̃ː	0.09
ˈe	w	0.59
ˈi	ˈẽ	0.259
ˈu	ˈøː	0.059
ˈu	ˈɛ	0.059
ˈu	ˈuː	0.209
ˈy	ˈɛ	0.09
