Russian	Lower Sorbian	probability
ˈ	-	1.0
ʨ	ʦ	1.0
ʐ̊	ʐ̊	1.0
ʊ	u	1.0
ʉ	u	1.0
ʂ	ʂ	1.0
ɵ	-	1.0
ɪ_tʲ	e_ɕ	1.0
ɪ_r	ɔ_r	1.0
ɪ_j	i	1.0
ɨ_j	ɨ	1.0
ɡ̊	ɡ̊	1.0
ɡʲ	j_kʲ	1.0
z̥	z̥	1.0
zʲ	z	1.0
xʲ	x	1.0
vʲ	vʲ	1.0
v	v	1.0
u	u	1.0
tʲ_i	t͡ʂ	1.0
sʲ	s	1.0
s_a	s_a	1.0
s	s	1.0
pʲ	pʲ	1.0
n	n	1.0
m	m	1.0
lʲ	l	1.0
kʲ	kʲ	1.0
k_o	k_ɛ	1.0
k_a	k_a	1.0
k	k	1.0
j	ɨ	1.0
i	i	1.0
fʲ	-	1.0
f	f	1.0
e_ˈ	a	1.0
d̥ʲ	ʨ	1.0
d̥	d̥	1.0
dʲ	ʑ	1.0
d	d	1.0
b̥ʲ	b̥	1.0
b̥	b̥	1.0
b	b	1.0
a	a	0.919
t	t	0.898
z	z	0.872
r	r	0.851
nʲ	ɲ	0.839
ɡ	ɡ	0.834
rʲ	rʲ	0.825
ʐ	ʐ	0.8
ɨ	ɨ	0.767
tʲ	ɕ	0.759
mʲ	mʲ	0.743
ɫ	w	0.74
ɵ_ˈ	a	0.699
x	x	0.693
p	p	0.667
ʦ	ʦ	0.651
bʲ	bʲ	0.585
ə	a	0.481
o	ɔ	0.425
bʲ	-	0.415
o	-	0.396
ə	-	0.374
e	ɪ	0.373
ɐ	-	0.361
ʦ	k	0.349
p	-	0.333
ɪ	-	0.308
x	k	0.307
ɵ_ˈ	ɔ	0.301
ɐ	ɛ	0.28
ɪ	e	0.273
mʲ	m	0.257
e	ɛ	0.257
ɐ	ɔ	0.245
e	e	0.245
tʲ	-	0.241
ɨ	-	0.233
ʐ	ʒ	0.2
o	ɛ	0.179
rʲ	ɕ	0.175
ɪ	ɪ	0.166
ɡ	-	0.166
ɪ	ɛ	0.163
nʲ	nʲ	0.161
r	ʂ	0.149
ə	ɔ	0.145
ɫ	l	0.14
z	-	0.128
e	-	0.125
ɐ	v_ɛ	0.115
t	-	0.102
ɪ	ɨ	0.089
a	ɪ	0.081
ɫ	d_w	0.072
