West Flemish	West Flemish	probability
ˈɪ	ˈɘ̟	1.0
ˈɑ_ɾ	ˈi̯ø	1.0
ˈøː	-	1.0
ˈyː	ˈɑi̯	1.0
ˈi	ˈai̯	1.0
ʃ_h	ʃ	1.0
ɾ_ˈiə̯	r_ˈai̯	1.0
ɪ	-	1.0
ɦ̥	-	1.0
ɦ_ə_#>	k_#>	1.0
ɦ_ə	ɡ̊	1.0
ɦ_n	ɟ_a	1.0
ə_n	a	1.0
ŋ	ŋ	1.0
ç	k_ə	1.0
z̥	s	1.0
v̥	b̥	1.0
t_n	s_a	1.0
s_#>	ʃ_#>	1.0
p_#>	f_#>	1.0
m	m	1.0
l	w	1.0
k_ˈɔ	ˈoi̯	1.0
k_ə	x	1.0
j	j	1.0
iə̯	ɑ	1.0
h	x	1.0
d̥_#>	#>	1.0
d_ə	d_ɛ	1.0
b	b	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ˈyː	<#_ˈɑi̯	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
<#_l	<#_w	1.0
<#_k	<#_k	1.0
<#_d	<#_t	1.0
<#	<#_h	1.0
v	f	0.806
d	d	0.778
ɦ	ɡ	0.75
ə	-	0.727
n	n	0.72
l_#>	w_#>	0.714
ʋ	v	0.706
ɾ	r	0.684
ˈɛ	-	0.667
ˈuə̯	ˈʏ	0.667
ˈɑ	ˈɑ	0.625
w	w	0.625
ˈiə̯	ˈi	0.615
ˈɛː	ˈa	0.6
z	z	0.591
s	ʃ	0.571
ˈoː	ˈu	0.533
d̥	t	0.526
ˈɔ	ˈu	0.5
p	p	0.5
p	f	0.5
t	t	0.483
d̥	d̥	0.474
ˈæ	-	0.455
ˈɒː	-	0.429
ˈœ	ˈɘ̟	0.429
k	x	0.417
#>	ɡ̊_#>	0.417
ˈɛː	-	0.4
ˈeː	ˈɑ	0.385
ˈɑ	ˈɔ	0.375
ˈu	ˈɑ_w	0.375
ˈu	ˈu	0.375
w	l	0.375
ˈɛ	ˈa	0.333
ˈuə̯	ˈi	0.333
ˈeː	ˈa	0.308
ˈeː	-	0.308
ˈɔ	-	0.3
ˈɒː	ˈɔ	0.286
ˈɒː	ˈø	0.286
ˈœ	ˈu	0.286
ˈœ	-	0.286
s	s	0.286
l_#>	l_#>	0.286
t	s	0.276
ˈæ	ˈɘ̟	0.273
ˈæ	ˈa	0.273
ˈoː	ˈɑi̯	0.267
ˈu	w	0.25
ɦ	-	0.25
k	ɡ̊	0.25
k	ç	0.25
#>	ə_#>	0.25
t	ʦ	0.241
ˈiə̯	ˈɑi̯	0.231
z	ʃ	0.227
d	t_ɛ	0.222
n	a	0.22
ˈɔ	ˈɔ	0.2
ˈoː	-	0.2
ɾ	ɛ_r	0.184
ʋ	v_ˈɛ	0.176
#>	x_#>	0.167
#>	t_#>	0.167
ˈiə̯	ˈɑ	0.154
s	k_s	0.143
ɾ	-	0.132
ʋ	-	0.118
ə	ɛ	0.091
z	z_ˈei̯	0.091
z	-	0.091
k	c	0.083
v	v_ɛ	0.065
v	v	0.065
v	-	0.065
ə	ɪ	0.061
ə	u	0.061
ə	a	0.061
n	-	0.06
